name,console,genre,region,publisher,views,download,released,rate,site,link
The Legend of Zelda: Link’s Awakening,Game Boy (GB),"action,adventure",,Nintendo,"2,758","3,585","June 6, 1993",3.8/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/the-legend-of-zelda-links-awakening.html
Super Mario Land,Game Boy (GB),platformer,WW,Nintendo,"3,228","2,751","April 21, 1989",4.6/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/super-mario-land.html
Super Mario Land 2: 6 Golden Coins,Game Boy (GB),platformer,WW,Nintendo,"2,363","2,617","October 21, 1992",5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/super-mario-land-2-6-golden-coins.html
Kirby’s Dream Land,Game Boy (GB),"action,platformer",US,Nintendo,"4,393","2,342","April 27, 1992",3.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/kirbys-dream-land.html
Pokemon Red Version,Game Boy (GB),role-playing,EU,Nintendo,"4,055","2,052","September 28, 1998",3.5/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/pokemon-red-version.html
Tetris,Game Boy (GB),puzzle,WW,Nintendo,"2,128","1,890","June 14, 1989",3.6/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/tetris-3.html
Donkey Kong,Game Boy (GB),"platformer,puzzle",WW,Nintendo,"2,361","1,823","June 14, 1994",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/donkey-kong.html
Wario Land: Super Mario Land 3,Game Boy (GB),platformer,WW,Nintendo,"3,438","1,699","January 21, 1994",4.1/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/wario-land-super-mario-land-3.html
Kirby’s Dream Land 2,Game Boy (GB),platformer,EU,Nintendo,"2,802","1,468"," March 21, 1995",3.1/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/kirbys-dream-land-2.html
Pokemon Blue Version,Game Boy (GB),role-playing,EU,Nintendo,"2,756","1,462","September 28, 1998",3/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/pokemon-blue-version.html
Street Fighter II,Game Boy (GB),other,EU,Nintendo,"1,587","1,401",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/street-fighter-ii.html
Metroid II: Return of Samus,Game Boy (GB),"action,adventure",WW,Nintendo,"2,423","1,259",November 1991,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/metroid-ii-return-of-samus.html
Dr. Mario,Game Boy (GB),puzzle,WW,Nintendo,"1,394","1,239",27 July 1990,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/dr-mario.html
Donkey Kong Land III,Game Boy (GB),platformer,EU,Nintendo,"1,303","1,231","October 27, 1997",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/donkey-kong-land-iii.html
DuckTales,Game Boy (GB),platformer,EU,Capcom,"1,441","1,007",None,2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/ducktales.html
Castlevania: The Adventure,Game Boy (GB),platformer,EU,Konami,"1,274",974,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/castlevania-the-adventure.html
Mega Man II,Game Boy (GB),"action,platformer",EU,Capcom,"1,151",929,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mega-man-ii.html
Mortal Kombat,Game Boy (GB),"action,fighting",EU,Acclaim,"1,625",857,"September 13, 1993",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mortal-kombat-5.html
James Bond 007,Game Boy (GB),"action,adventure",EU,Nintendo,788,763,"January 29, 1998",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/james-bond-007.html
Plaguemon: Lost Diaries (Pokemon Red Hack),Game Boy (GB),role-playing,WW,Hikikomori,"1,800",759,Unknown,4.3/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/plaguemon-lost-diaries-pokemon-red-hack.html
Donkey Kong Land,Game Boy (GB),"action,platformer",WW,Nintendo,"1,097",747,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/donkey-kong-land.html
Mega Man V,Game Boy (GB),"action,platformer",WW,Capcom,996,730,"July 22, 1994",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mega-man-v.html
Mega Man III,Game Boy (GB),"action,platformer",EU,Capcom,"1,200",716,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mega-man-iii.html
Yoshi’s Cookie,Game Boy (GB),puzzle,EU,Nintendo,891,701,"November 21, 1992",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/yoshis-cookie.html
Mortal Kombat 3,Game Boy (GB),fighting,WW,Midway,913,685,"April 15, 1995",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mortal-kombat-3-2.html
Mega Man: Dr. Wily’s Revenge,Game Boy (GB),puzzle,EU,Capcom,"1,008",678,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/mega-man-dr-wilys-revenge.html
Aladdin,Game Boy (GB),"action,platformer",EU,SEGA,982,675,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy/aladdin-2.html
Mega Man IV,Game Boy (GB),action,EU,Capcom,905,654,"October 29, 1993",4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy/mega-man-iv.html
