name,console,genre,region,publisher,views,download,released,rate,site,link
"Legend Of Zelda, The – Link’s Awakening DX",Game Boy Color,platformer,FR,Nintendo,"3,755","5,938",1998,3.6/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/legend-of-zelda-the-links-awakening-dx.html
Super Mario Bros. Deluxe,Game Boy Color,platformer,JP,Nintendo,"2,827","3,593",1999,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/super-mario-bros-deluxe.html
Pokemon Prism,Game Boy Color,other,WW,Nintendo,"5,417","2,498",Unknown,3.7/5 (23 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/pokemon-prism-h.html
Pokemon Crystal Clear (Pokemon Crystal Hack),Game Boy Color,role-playing,WW,ShockSlayer,"2,639","2,243",Unknown,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/pokemon-crystal-clear-pokemon-crystal-hack.html
Pokemon – Gold Version,Game Boy Color,role-playing,US,Nintendo,"3,263","1,942","November 21, 1999",3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/pokemon-gold-version.html
Pokemon Trading Card Game,Game Boy Color,card,EU,Nintendo,"1,528","1,919"," December 18, 1998",4.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/pokemon-trading-card-game.html
"Legend Of Zelda, The – Oracle Of Ages",Game Boy Color,"action,adventure",EU,Nintendo,"2,193","1,879",2001,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/legend-of-zelda-the-oracle-of-ages.html
Pokemon Light Platinum (Pokemon Ruby Hack),Game Boy Color,role-playing,WW,Wesley FG,"2,415","1,783",Unknown,4.4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/pokemon-light-platinum-pokemon-ruby-hack.html
"Legend Of Zelda, The – Oracle Of Seasons",Game Boy Color,"action,adventure",EU,Nintendo,"2,119","1,724","May 14, 2001",4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/legend-of-zelda-the-oracle-of-seasons.html
Mortal Kombat 4,Game Boy Color,"action,fighting",EU,Midway,"1,522","1,675",December 1998,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/mortal-kombat-4-3.html
Pokemon – Silver Version,Game Boy Color,role-playing,US,Nintendo,"2,525","1,493","October 15, 2000 ",4.1/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/pokemon-silver-version.html
Grand Theft Auto,Game Boy Color,"action,adventure", EU,Rockstar Games,"1,670","1,348","November 22, 1999",2.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/grand-theft-auto.html
Pokemon Pinball,Game Boy Color,other,EU,Nintendo,"1,375","1,167","April 14, 1999",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/pokemon-pinball.html
Donkey Kong Country,Game Boy Color,platformer,US,Nintendo,"1,320","1,008",21 November 1994,3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/donkey-kong-country-3.html
Resident Evil Gaiden,Game Boy Color,"action,adventure",EU,Capcom,"1,646",996,"December 14, 2001",5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/resident-evil-gaiden.html
Mario Tennis,Game Boy Color,sport,EU,Nintendo,"1,158",885,"January 16, 2001",4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-color/mario-tennis-2.html
