name,console,genre,region,publisher,views,download,released,rate,site,link
New Super Mario Bros,Nintendo Wii,"action,platformer",EU,Nintendo,"49,565","48,804",None,4/5 (63 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/new-super-mario-bros.html
Mario Kart Wii,Nintendo Wii,racing,EU,Nintendo,"57,834","48,423",None,3.6/5 (135 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/mario-kart-wii.html
The Legend of Zelda: Skyward Sword,Nintendo Wii,action,EU,Nintendo,"30,878","40,567",None,4/5 (98 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/the-legend-of-zelda-skyward-sword.html
Super Smash Bros. Brawl,Nintendo Wii,"action,fighting",EU,Nintendo,"43,572","40,145",None,3.9/5 (77 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/super-smash-bros-brawl.html
Wii Sports,Nintendo Wii,sport,EU,Nintendo,"26,570","38,928",None,3.8/5 (22 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/wii-sports.html
Super Mario Galaxy,Nintendo Wii,platformer,EU,Nintendo,"42,460","37,341",None,3.9/5 (80 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/super-mario-galaxy.html
Resident Evil 4: Wii Edition,Nintendo Wii,action,EU,Capcom,"28,511","28,355",None,4/5 (71 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/resident-evil-4-wii-edition.html
Super Mario Galaxy 2,Nintendo Wii,platformer,EU,Nintendo,"24,414","24,972",None,4.1/5 (67 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/super-mario-galaxy-2.html
Call of Duty: Black Ops,Nintendo Wii,"action,fps",EU,Activision,"29,563","24,651",None,3.9/5 (39 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/call-of-duty-black-ops-4.html
Dragon Ball Z: Budokai Tenkaichi 3,Nintendo Wii,"action,fighting",EU,Atari,"21,824","20,128",None,4/5 (22 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/dragon-ball-z-budokai-tenkaichi-3.html
Mario Party 9,Nintendo Wii,other,EU,Nintendo,"18,466","19,196",None,4/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/mario-party-9.html
Super Paper Mario,Nintendo Wii,"action,adventure",EU,Nintendo,"13,867","16,962",None,3.7/5 (25 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/super-paper-mario.html
Pokémon Battle Revolution,Nintendo Wii,fighting,EU,Nintendo,"18,451","16,192",None,4/5 (24 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-wii/pokemon-battle-revolution.html
