name,console,genre,region,publisher,views,download,released,rate,site,link
Grand Theft Auto V,PS4,"action,adventure",WW,Rockstar Games,"24,153","5,622","November 18, 2014",3.9/5 (19 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/grand-theft-auto-v-3.html
Marvel’s Spider-Man,PS4,"action,adventure",WW,Sony Interactive Entertainment,"29,512","5,502",None,3.7/5 (30 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/marvels-spider-man.html
Sonic Mania,PS4,platformer,WW,SEGA,"12,174","5,243",None,4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/sonic-mania.html
Mortal Kombat 11,PS4,fighting,EU,Warner Bros. Interactive Entertainment,"10,050","3,740",None,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/mortal-kombat-11.html
FIFA 21,PS4,sports,World,EA Sports,"1,379","3,262",None,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/fifa-21.html
Uncharted 4: A Thief’s End,PS4,"action,adventure",,Sony Computer Entertainment,"10,396","3,035",None,4/5 (21 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/uncharted-4-a-thiefs-end.html
The Last of Us Part II,PS4,"action,adventure",None,Sony Computer Entertainment,"7,310","2,358",None,3.4/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/the-last-of-us-part-ii.html
Hatsune Miku: Project Diva Future Tone,PS4,other,WW,SEGA,"2,351","2,232","January 10, 2017",3.1/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/hatsune-miku-project-diva-future-tone.html
Gran Turismo Sport,PS4,racing,WW,Sony Interactive Entertainment,"7,911","2,141","October 17, 2017",3.5/5 (33 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/gran-turismo-sport.html
Watch_Dogs 2,PS4,"action,adventure",None,Ubisoft,"1,066","1,966",None,3.7/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/watch_dogs-2.html
Crash Bandicoot N. Sane Trilogy,PS4,platformer,WW,Activision,"5,938","1,746",None,4.1/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/crash-bandicoot-n-sane-trilogy.html
inFAMOUS: Second Son,PS4,"action,adventure",WW,Sony Computer Entertainment,"3,487","1,724",None,3.2/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/infamous-second-son.html
Bloodborne,PS4,"action,role-playing",JP,Sony Computer Entertainment,"7,358","1,565",None,3.5/5 (23 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/bloodborne.html
Call of Duty: Black Ops III,PS4,other,WW,Activision,"7,540","1,555",None,3.1/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/call-of-duty-black-ops-iii.html
Final Fantasy VII Remake,PS4,"action,role-playing",World,Square Enix,"1,144","1,434",None,3.5/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/final-fantasy-vii-remake.html
God of War III: Remastered,PS4,action,None,Sony Computer Entertainment,"1,230","1,405",None,3.9/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/god-of-war-iii-remastered.html
Assassin’s Creed IV: Black Flag,PS4,"action,adventure", WW,Ubisoft,"2,542","1,388","October 29, 2013",3.8/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/assassins-creed-iv-black-flag-3.html
World War Z,PS4,horror,World,Saber Interactive,"4,120","1,280",None,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/world-war-z.html
Marvel's Spider-Man: Miles Morales,PS4,action,None,Sony Interactive Entertainment,"1,311","1,204",None,3.7/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/marvels-spider-man-miles-morales.html
Resident Evil 2,PS4,"action,horror",Japan,Capcom,"1,051","1,200",None,3.9/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/resident-evil-2-4.html
Resident Evil 7: Biohazard,PS4,"action,adventure",WW,Capcom,"3,547","1,197","December 12, 2017",4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/resident-evil-7-biohazard-gold-edition.html
God of War,PS4,"action,adventure",World,Sony Interactive Entertainment,"1,080","1,181",None,3.4/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/god-of-war-2.html
Shadow of the Tomb Raider,PS4,"action,adventure",None,Square Enix,937,"1,180",None,3.5/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/shadow-of-the-tomb-raider.html
Red Dead Redemption 2,PS4,"action,adventure",WW,Rockstar Games,"3,660","1,172",None,4.1/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/red-dead-redemption-2.html
WWE 2K19,PS4,sport,WW,2K Sports,"5,372","1,161",None,4.1/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/wwe-2k19.html
Days Gone,PS4,"action,adventure",WW,Sony Interactive Entertainment,"3,578","1,135",None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/days-gone.html
Star Wars Jedi: Fallen Order,PS4,"action,adventure",None,Electronic Arts,923,"1,128",None,4.5/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/star-wars-jedi-fallen-order.html
Need for Speed Payback,PS4,racing,None,Electronic Arts,"2,659","1,115",None,4.2/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/need-for-speed-payback.html
The Last of Us Remastered,PS4,"action,adventure",WW,Sony Computer Entertainment,"12,202","1,094",None,3.7/5 (24 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/the-last-of-us-remastered.html
Lego Marvel’s Avengers,PS4,"action,adventure",WW,Warner Bros. Interactive Entertainment,"3,393","1,058",None,3.7/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/lego-marvels-avengers-4.html
Need for Speed: Rivals,PS4,racing,EU,Electronic Arts,"3,374","1,058",None,4.2/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/need-for-speed-rivals-2.html
Final Fantasy XV,PS4,"action,role-playing",WW,Square Enix,"2,522","1,038",None,3/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/final-fantasy-xv.html
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,action,None,Bandai Namco Games,"1,279","1,011",None,4.1/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/naruto-shippuden-ultimate-ninja-storm-4.html
Angry Birds: Star Wars,PS4,puzzle,None,Activision,"1,159",980,None,3.6/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/angry-birds-star-wars-6.html
Ghost of Tsushima,PS4,"action,sandbox",None,Sony Interactive Entertainment,"1,192",941,None,3.9/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/ghost-of-tsushima.html
Sekiro: Shadows Die Twice,PS4,"action,adventure",WW,Activision,"2,453",938,None,3.8/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/sekiro-shadows-die-twice.html
WWE 2K17,PS4,sport,WW,2K Sports,"2,697",921,None,3.4/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/wwe-2k17-2.html
Jump Force,PS4,fighting,None,BANDAI NAMCO Entertainment,"1,279",902,None,4.3/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/jump-force.html
Resident Evil 3,PS4,"action,horror",Japan,Capcom,984,871,None,4/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/resident-evil-3-2.html
Dragon Ball Z: Kakarot,PS4,"action,role-playing",None,Bandai Namco Games,"1,147",871,None,3.5/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/dragon-ball-z-kakarot.html
Crash Team Racing Nitro-Fueled,PS4,racing,None,Activision,"1,062",861,None,2.9/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/crash-team-racing-nitro-fueled.html
Nioh,PS4,"action,role-playing",None,Koei Tecmo,773,841,None,4.7/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/nioh.html
Tricky Towers,PS4,puzzle,WW,WeirdBeard,"1,573",829,None,3.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/tricky-towers.html
Cuphead,PS4,adventure,World,Studio MDHR,"1,041",829,None,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/cuphead.html
PaRappa the Rapper 2,PS4,rhythm,World,Sony Computer Entertainment,707,816,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/parappa-the-rapper-2-3.html
Dragon Ball Fighterz,PS4,fighting,WW,BANDAI NAMCO Entertainment,"1,075",814,None,4.1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/dragon-ball-fighterz-2.html
Metal Gear Solid V: The Phantom Pain Definitive Edition,PS4,"action,stealth",None,Konami,828,808,None,4/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/metal-gear-solid-v-the-phantom-pain-definitive-edition.html
Kingdom Hearts III,PS4,"action,role-playing",WW,Square Enix,"2,448",805,None,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/kingdom-hearts-iii.html
Detroit: Become Human,PS4,adventure,WW,Sony Interactive Entertainment,"2,102",795,None,3.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/detroit-become-human.html
FIFA 20,PS4,sports,None,EA Sports,"1,023",795,None,4.7/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/fifa-20.html
Shadow of the Colossus,PS4,"action,adventure",JP,Sony Interactive Entertainment,"1,010",782,None,3.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/shadow-of-the-colossus-3.html
Godzilla (2015),PS4,"action,adventure",Unknown,Bandai Namco Games,"6,016",782,None,3.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/godzilla-2015.html
EA Sports UFC 4,PS4,"fighting,sports",World,EA Sports,"1,040",780,None,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/ea-sports-ufc-4.html
Call of Duty: WWII,PS4,other,WW,Activision,"2,123",767,None,3.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/call-of-duty-wwii.html
Plants vs. Zombies: Garden Warfare,PS4,other,WW,Electronic Arts,"1,777",747,"February 25, 2014",3.3/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/plants-vs-zombies-garden-warfare-2.html
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,fighting,None,Bandai Namco,"1,029",738,None,5/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/jojos-bizarre-adventure-eyes-of-heaven-2.html
Ace Combat 7: Skies Unknown,PS4,flight-simulator,Japan,BANDAI NAMCO Entertainment,"1,259",732,None,4.3/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/ace-combat-7-skies-unknown.html
eFootball PES 2020,PS4,sports,World,EA Sports,"1,048",731,None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/efootball-pes-2020.html
Grand Theft Auto: San Andreas,PS4,"action,adventure",World,Rockstar Games,"1,055",714,None,4.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/grand-theft-auto-san-andreas-4.html
The Sims 4,PS4,construction-and-management-simulation,None,Electronic Arts,948,714,None,3/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/the-sims-4-2.html
Monster Hunter: World,PS4,"action,role-playing",WW,Capcom,"1,987",666,"January 26, 2018",3.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/monster-hunter-world.html
Assassin’s Creed Origins,PS4,"action,adventure",WW,Ubisoft,"1,852",665,None,4.2/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/assassins-creed-origins.html
The Last of Us: Remastered,PS4,"action,adventure",None,Sony Computer Entertainment,910,665,None,3.7/5 (0 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-4/the-last-of-us-remastered-2.html
Call of Duty: Ghosts,PS4,other,EU,Activision,"1,657",662,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation-4/call-of-duty-ghosts-4.html
