name,console,genre,region,publisher,views,download,released,rate,site,link
SNES ROM Pack – Full Set 1857 SNES Game,PlayStation (PS),other,WW,Nintendo,"42,454","20,577",2020,3.7/5 (144 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/snes-rom-pack.html
Final Fantasy IX,PlayStation (PS),role-playing,EU,Square Electronic Arts,"9,179","17,578","July 7, 2000",4/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/final-fantasy-ix.html
Metal Gear Solid,PlayStation (PS),"action,adventure",EU,Konami,"6,187","13,918","September 3, 1998",4.2/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/metal-gear-solid.html
Final Fantasy VIII,PlayStation (PS),role-playing,EU,Square,"19,341","13,400","February 11, 1999",3.7/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/final-fantasy-viii.html
Resident Evil 2 (Biohazard 2),PlayStation (PS),"action,other",EU,Capcom,"6,159","10,640","January 21, 1998",3.8/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/__trashed-75.html
The Legend of Dragoon,PlayStation (PS),role-playing,EU,Sony Computer Entertainment,"5,641","9,896",None,3.7/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/the-legend-of-dragoon.html
Tomb Raider,PlayStation (PS),"action,adventure",EU,Eidos Interactive,"8,332","9,796",25 October 1996,3.8/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/tomb-raider-5.html
Gran Turismo 2,PlayStation (PS),"racing,simulator",EU,Sony Computer Entertainment,"6,718","9,516",None,4.3/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/gran-turismo-2-2.html
Final Fantasy VII,PlayStation (PS),role-playing,JP,Sony Computer Entertainment,"15,434","9,248","January 31, 1997",4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/final-fantasy-vii.html
Crash Bandicoot,PlayStation (PS),platformer,EU,Sony Computer Entertainment,"9,330","8,958",None,4/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/crash-bandicoot.html
Parasite Eve 2,PlayStation (PS),"action,other",EU,Square,"6,136","7,977",None,3.7/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/parasite-eve-2.html
Driver 2: Back on the Streets,PlayStation (PS),"action,other",EU,Infogrames,"2,586","7,371",17 November 2000,4.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation/driver-2-back-on-the-streets.html
Resident Evil 3 : Nemesis (Biohazard 3 – Last Escape),PlayStation (PS),action,EU,Capcom,"6,177","6,974",1999,4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/resident-evil-3-nemesis.html
Tekken 3,PlayStation (PS),fighting,EU,Namco Ltd. Namco Hometek,"7,560","6,966",None,3.7/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/tekken-3.html
Koudelka,PlayStation (PS),role-playing,EU,Infogrames,"3,469","5,948",None,3.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation/koudelka.html
Tomb Raider 2,PlayStation (PS),"action,adventure",EU,Eidos Interactive,"4,441","5,722",31 October 1997,3.8/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/tomb-raider-2.html
Dino Crisis,PlayStation (PS),other,EU,Capcom,"3,647","5,176","July 1, 1999",3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/playstation/dino-crisis.html
Crash Team Racing,PlayStation (PS),racing,EU,Sony Computer Entertainment,"4,249","4,730",None,4.1/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/crash-team-racing.html
Mortal Kombat Trilogy,PlayStation (PS),fighting,WW,Williams Entertainment,"2,811","4,560","October 10, 1996",4.2/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/playstation/__trashed-4.html
