name,console,genre,region,publisher,views,download,released,rate,site,link
Panzer Dragoon Saga,Sega Saturn,"action,role-playing",WW,SEGA,"2,056","3,059",29 January 1998,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/panzer-dragoon-saga.html
Sega Rally Championship,Sega Saturn,racing,WW,SEGA,"1,817","1,952","October 11, 1994",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/sega-rally-championship-2.html
Saturn Bomberman,Sega Saturn,action,WW,SEGA,"1,841","1,846","July 19, 1996",3.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/saturn-bomberman.html
Daytona USA,Sega Saturn,racing,WW,SEGA,"1,207","1,819",1 April 1995,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/daytona-usa.html
Enemy Zero,Sega Saturn,adventure,WW,SEGA,"1,200","1,787"," December 13, 1996",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/enemy-zero.html
Nights Into Dreams,Sega Saturn,action,WW,SEGA,"1,420","1,650",5 July 1996,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/nights-into-dreams.html
Guardian Heroes,Sega Saturn,"action,beat-em-up",WW,SEGA,"1,816","1,570","January 25, 1996",4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/guardian-heroes.html
House of the Dead,Sega Saturn,other,WW,SEGA,"1,364","1,225","March 26, 1998",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/house-of-the-dead.html
Dragon Force,Sega Saturn,role-playing,WW,SEGA,"1,393","1,192","March 29, 1996",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/dragon-force.html
Rayman,Sega Saturn,platformer,WW,Ubi Soft,"1,219","1,063",1 September 1995,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/rayman.html
Mortal Kombat Trilogy,Sega Saturn,fighting,WW,Williams Entertainment,"1,534","1,053","August 8, 1997",4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/mortal-kombat-trilogy-2.html
Mr Bones,Sega Saturn,platformer,WW,SEGA,"1,022","1,016","October 1, 1996",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/mr-bones.html
Marvel Super Heroes,Sega Saturn,fighting,WW,Capcom,"1,238",995,"August 8, 1997",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/marvel-super-heroes-2.html
Doom,Sega Saturn,other,WW,id Software,"1,124",903,"March 31, 1997",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/doom-6.html
Manx TT Superbike,Sega Saturn,racing,WW,SEGA,"1,324",887,"March 14, 1997",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/manx-tt-superbike.html
Burning Rangers,Sega Saturn,action,WW,SEGA,"1,205",870,26 February 1998,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/burning-rangers.html
Resident Evil,Sega Saturn,action,WW,SEGA,"1,392",834,Unknown,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/resident-evil-3.html
Road Rash,Sega Saturn,racing,WW,Electronic Arts,"1,204",796,September 1991,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/road-rash-5.html
Golden Axe The Duel,Sega Saturn,fighting,WW,SEGA,"1,050",721,"September 29, 1995",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/golden-axe-the-duel.html
Panzer Dragoon II Zwei,Sega Saturn,other,WW,SEGA,960,714," March 22, 1996",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/panzer-dragoon-ii-zwei.html
Bug!,Sega Saturn,platformer,WW,SEGA,943,695,August 1995,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/bug.html
Alien Trilogy,Sega Saturn,other,WW,Acclaim Entertainment,854,692,"August 8, 1996",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/alien-trilogy-2.html
Die Hard Arcade,Sega Saturn,beat-em-up,WW,SEGA,"1,096",661,"January 24, 1997",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/die-hard-arcade.html
Quake,Sega Saturn,other,WW,GT Interactive,"1,227",656,"June 22, 1996",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/quake.html
Sega Touring Car Championship,Sega Saturn,racing,WW,SEGA,"1,168",641,"November 27, 1997",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/sega-touring-car-championship.html
Albert Odyssey,Sega Saturn,role-playing,WW,SunSoft,"1,032",630,9 August 1996,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/sega-saturn/albert-odyssey.html
