name,console,genre,region,publisher,views,download,released,rate,site,link
Super Mario 3D World,Wii U,"adventure,platformer",EU,Nintendo,"58,968","36,884",None,3.6/5 (156 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/super-mario-3d-world-5.html
Mario Kart 8,Wii U,racing,EU,Nintendo,"55,411","32,869",None,3.3/5 (227 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/mario-kart-8-wiiu.html
The Legend of Zelda: The Wind Waker HD,Wii U,"action,adventure",EU,Nintendo,"40,659","22,382",None,3.6/5 (106 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/the-legend-of-zelda-the-wind-waker-hd.html
New Super Mario Bros. U,Wii U,platformer,EU,Nintendo,"41,349","22,257",None,3.7/5 (72 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/new-super-mario-bros-u.html
Super Smash Bros. for Wii U,Wii U,fighting,EU,Nintendo,"39,420","21,757",None,3.3/5 (85 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/super-smash-bros-for-wii-u.html
The Legend of Zelda: Twilight Princess HD,Wii U,"action,adventure",EU,Nintendo,"36,210","17,969",None,3.4/5 (140 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/the-legend-of-zelda-twilight-princess-hd.html
Super Mario Maker,Wii U,platformer,EU,Nintendo,"20,529","9,616",None,3.5/5 (47 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/super-mario-maker-2-1.html
Donkey Kong Country: Tropical Freeze,Wii U,platformer,EU,Nintendo,"17,878","9,390",None,3.7/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/donkey-kong-country-tropical-freeze.html
Pokkén Tournament,Wii U,action,EU,Nintendo,"19,424","8,765",None,4.1/5 (31 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/pokken-tournament.html
Mario Party 10,Wii U,other,EU,Nintendo,"20,853","8,189",None,3.7/5 (69 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/mario-party-10.html
Xenoblade Chronicles X,Wii U,adventure,EU,Nintendo,"16,183","7,958",None,3.5/5 (33 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/xenoblade-chronicles-x.html
Splatoon,Wii U,other,EU,Nintendo,"13,804","5,942",None,3.5/5 (35 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/splatoon.html
Monster Hunter 3 Ultimate,Wii U,"action,adventure",EU,Capcom,"11,736","5,399",None,3.4/5 (26 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/monster-hunter-3-ultimate-11.html
New Super Mario Bros. U + New Super Luigi U Bundle,Wii U,adventure,EU,Nintendo,"16,087","5,256","Oct 15, 2015",3.1/5 (88 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/new-super-mario-bros-u-new-super-luigi-u-bundle.html
Minecraft: Wii U Edition,Wii U,"action,adventure",WW,Mojang AB,"10,536","4,942","Dec 16, 2015",3.4/5 (33 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/minecraft-wii-u-edition.html
Tekken Tag Tournament 2,Wii U,fighting,EU,Bandai Namco,"11,305","4,857",None,3.5/5 (29 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/tekken-tag-tournament-2-2.html
Hyrule Warriors,Wii U,"action,fighting",EU,Nintendo,"9,496","4,849",None,3.6/5 (24 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/hyrule-warriors.html
Paper Mario: Color Splash,Wii U,"action,adventure",EU,Nintendo,"10,155","4,355",None,3.2/5 (32 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/paper-mario-color-splash.html
Yoshi’s Woolly World,Wii U,platformer,EU,Nintendo,"9,253","4,162",None,3.2/5 (19 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/yoshis-woolly-world.html
Bayonetta 2,Wii U,"action,fighting",EU,Nintendo,"9,213","4,130",None,3.7/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/bayonetta-2.html
Captain Toad: Treasure Tracker,Wii U,"puzzle,strategy",EU,Nintendo,"6,018","3,809",None,3.5/5 (31 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/captain-toad-treasure-tracker-2.html
Call of Duty: Black Ops II,Wii U,action,EU,Activision,"8,834","3,410",None,3.6/5 (19 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/call-of-duty-black-ops-ii-2.html
Pikmin 3,Wii U,"adventure,strategy",EU,Nintendo,"6,366","3,379",None,3.7/5 (61 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/pikmin-3-3.html
New Super Luigi U,Wii U,platformer,AU,Nintendo,"8,049","3,333",None,3.6/5 (35 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/new-super-luigi-u.html
Ben 10: Omniverse,Wii U,action,EU,D3Publisher,"6,975","3,136",None,4/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/ben-10-omniverse.html
Sonic Boom: Rise of Lyric,Wii U,"action,adventure",EU,SEGA,"7,833","3,126",None,3.7/5 (21 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/sonic-boom-rise-of-lyric.html
Mario Tennis: Ultra Smash,Wii U,sport,EU,Nintendo,"6,137","3,098",None,3.7/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/mario-tennis-ultra-smash.html
Sonic Lost World,Wii U,"action,platformer",EU,SEGA,"7,213","3,043",None,3.8/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/sonic-lost-world-2.html
Star Fox Zero,Wii U,action,EU,Nintendo,"6,420","2,738",None,3.7/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/star-fox-zero.html
Mario &amp; Sonic at the Rio 2016 Olympic Games,Wii U,sport,EU,Nintendo,"5,974","2,719",None,4.1/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/mario-sonic-at-the-rio-2016-olympic-games.html
LEGO City: Undercover,Wii U,"action,adventure",EU,Nintendo,"4,630","2,619",None,3.7/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/lego-city-undercover.html
LEGO Dimensions,Wii U,"action,adventure",EU,Warner Bros. Interactive,"6,165","2,556",None,3.4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/lego-dimensions.html
Wii Party U,Wii U,other,EU,Nintendo,"5,432","2,532",None,3.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/wii-party-u.html
The Amazing Spider-Man 2,Wii U,"action,adventure",EU,Activision,"7,283","2,499","April 29, 2014",3.1/5 (20 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/the-amazing-spider-man-2-3.html
Ninja Gaiden 3: Razor’s Edge,Wii U,"action,adventure",EU,Nintendo,"6,000","2,420",None,4/5 (16 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/ninja-gaiden-3-razors-edge.html
NES Remix Pack,Wii U,action,JP,Nintendo,"5,581","2,341",None,4.8/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/nes-remix-pack.html
Nintendo Land,Wii U,other,EU,Nintendo,"5,061","2,333",None,3.8/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/nintendo-land.html
Rayman Legends,Wii U,platformer,EU,Ubisoft,"5,152","2,149",None,2.9/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/rayman-legends-2.html
Need for Speed: Most Wanted U,Wii U,racing,EU,Electronic Arts,"4,941","2,027",None,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/wii-u/need-for-speed-most-wanted-u.html
Wii Sports Club,Wii U,sport,EU,Nintendo,"5,242","2,007",None,3.1/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/wii-sports-club.html
Kirby and the Rainbow Curse,Wii U,"action,adventure",EU,Nintendo,"4,692","1,997",None,4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/kirby-and-the-rainbow-curse.html
Call of Duty: Ghosts,Wii U,other,EU,Activision,"5,383","1,927",None,3.4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/call-of-duty-ghosts.html
LEGO Marvel Super Heroes,Wii U,action,EU,Warner Bros. Interactive,"4,908","1,890",None,4/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/lego-marvel-super-heroes-2.html
Disney-Pixar Cars 3: Driven to Win,Wii U,racing,WW,Warner Bros. Interactive,"4,943","1,835","June 13, 2017",3.6/5 (19 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/disney-pixar-cars-3-driven-to-win.html
Bayonetta,Wii U,"action,fighting",EU,Nintendo,"5,157","1,826",None,3.7/5 (37 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/bayonetta-3.html
Tokyo Mirage Sessions #FE,Wii U,role-playing,EU,Nintendo,"4,996","1,796",None,3.1/5 (21 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/tokyo-mirage-sessions-fe.html
Phineas and Ferb: Quest for Cool Stuff,Wii U,"action,platformer",US,Majesco,"4,957","1,742",None,3.4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/phineas-and-ferb-quest-for-cool-stuff-2.html
Watch Dogs,Wii U,action,EU,Ubisoft,"4,805","1,705",None,3.4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/watch-dogs-2.html
Animal Crossing: Amiibo Festival,Wii U,other,EU,Nintendo,"4,158","1,574",None,3.7/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/animal-crossing-amiibo-festival.html
Sonic &amp; All-Stars Racing Transformed,Wii U,racing,EU,SEGA,"3,235","1,538",None,3.3/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/sonic-all-stars-racing-transformed-2.html
ZombiU,Wii U,action,EU,Ubisoft,"3,376","1,521",None,4.1/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/zombiu.html
Resident Evil Revelations,Wii U,"action,adventure",EU,Capcom,"3,695","1,452",None,3.5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/resident-evil-revelations.html
Mass Effect 3: Special Edition,Wii U,role-playing,EU,Electronic Arts,"3,944","1,415",None,3.8/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/mass-effect-3.html
Game and Wario,Wii U,other,EU,Nintendo,"3,417","1,398",None,3.3/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/game-and-wario.html
Transformers Prime,Wii U,action,EU,Activision,"2,937","1,398",None,4.3/5 (28 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/transformers-prime-2.html
Skylanders Imaginators,Wii U,"action,adventure",EU,Activision,"3,172","1,387",None,3.4/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/skylanders-imaginators.html
Mario &amp; Sonic at the Sochi 2014 Olympic Winter Games,Wii U,sport,EU,SEGA,"3,307","1,363",None,3.8/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/mario-sonic-at-the-sochi-2014-olympic-winter-games.html
The Amazing SpiderMan: Ultimate Edition,Wii U,action,EU,Activision,"4,060","1,343",None,3.9/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/the-amazing-spiderman-ultimate-edition.html
Minecraft: Story Mode – The Complete Adventure,Wii U,adventure,EU,Telltale Games,"2,954","1,319",None,3.6/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/minecraft-story-mode-the-complete-adventure.html
Assassin’s Creed IV Black Flag,Wii U,"action,adventure",EU,Ubisoft,"3,874","1,304",None,4/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/assassins-creed-iv-black-flag-4.html
LEGO Marvel’s Avengers,Wii U,"action,adventure",EU,Warner Bros. Interactive,"3,629","1,294",None,4/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/lego-marvels-avengers-2.html
DuckTales: Remastered,Wii U,platformer,US,Capcom,"2,919","1,287","August 13, 2013",4/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/ducktales-remastered.html
Skylanders Giants,Wii U,adventure,EU,Activision,"2,587","1,228",None,3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/wii-u/skylanders-giants-2.html
Just Dance 2019,Wii U,other,WW,Ubisoft,"3,454","1,213",23rd Oct 2018,3.1/5 (12 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/just-dance-2019.html
Batman: Arkham City Armored Edition,Wii U,"action,adventure",EU,Warner Bros,"4,018","1,191",None,4.2/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/batman-arkham-city-armored-edition.html
Shovel Knight,Wii U,action,WW,Yacht Club Games,"3,539","1,164","June 26, 2014",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/shovel-knight.html
Disney Epic Mickey 2: The Power of Two,Wii U,"adventure,platformer",EU,Disney Interactive Studios,"2,943","1,147",None,4.3/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/disney-epic-mickey-2-the-power-of-two-2.html
James Bond: 007 Legends,Wii U,fps,EU,Activision,"3,511","1,144",None,3.1/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/james-bond-007-legends.html
Devil’s Third,Wii U,action,EU,Nintendo,"2,987","1,119",None,4/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/devils-third.html
Assassin’s Creed III,Wii U,"action,adventure",EU,Ubisoft,"4,253","1,111",None,4.1/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/assassins-creed-iii-2.html
Injustice: Gods Among Us,Wii U,fighting,EU,Warner Bros,"3,772","1,102",None,3.8/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/injustice-gods-among-us.html
FIFA 13,Wii U,sport,EU,Electronic Arts,"2,888","1,078",None,3.5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/fifa-13-2.html
Wipeout 3,Wii U,adventure,US,Activision,"4,133","1,077",None,3.4/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/wipeout-3-2.html
Disney Infinity 3.0,Wii U,"action,adventure",EU,Disney Interactive Studios,"2,384","1,068",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/wii-u/disney-infinity-3-0.html
PacMan and the Ghostly Adventures 2,Wii U,"action,adventure",EU,Bandai Namco,"2,753","1,064",None,3.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/pacman-and-the-ghostly-adventures-2.html
Warriors Orochi 3 Hyper,Wii U,action,EU,Tecmo Koei,"3,202","1,064",None,3.2/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/warriors-orochi-3-hyper.html
Terraria,Wii U,"adventure,platformer",EU,505 Games,"2,614","1,061",None,4.2/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/terraria-3.html
Batman: Arkham Origins,Wii U,"action,adventure",EU,Warner Bros. Interactive,"3,393","1,060",None,4.7/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/batman-arkham-origins-2.html
LEGO Batman 3: Beyond Gotham,Wii U,"action,adventure",EU,Warner Bros,"2,962","1,035",None,3/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/lego-batman-3-beyond-gotham-2.html
Skylanders Trap Team,Wii U,"action,adventure",EU,Activision,"2,228","1,016",None,4.3/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/skylanders-trap-team.html
Sniper Elite V2,Wii U,fps,EU,505 Games,"2,317",998,None,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/sniper-elite-v2.html
The Walking Dead: Survival Instinct,Wii U,"action,adventure",EU,Activision,"2,924",988,None,3.5/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/the-walking-dead-survival-instinct.html
The LEGO Movie Videogame,Wii U,"action,adventure",EU,Warner Bros. Interactive,"1,851",977,None,3.6/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/the-lego-movie-videogame-2.html
Angry Birds Trilogy,Wii U,"action,strategy",EU,Activision,"2,692",957,None,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/wii-u/angry-birds-trilogy-2.html
