name,console,genre,region,publisher,views,download,released,rate,site,link
Call of Cthulhu: Dark Corners of the Earth,XBOX,action,WW,Bethesda Softworks,"4,888","8,358","October 24, 2005",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/call-of-cthulhu-dark-corners-of-the-earth.html
Conker: Live &amp; Reloaded,XBOX,platformer,WW,Microsoft Game Studios,"18,548","6,852",21 June 2005,3.3/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/conker-live-reloaded.html
Halo: Combat Evolved,XBOX,action,WW,Microsoft Game Studios,"12,513","6,613","November 15, 2001",3.6/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/halo-combat-evolved.html
Grand Theft Auto: San Andreas,XBOX,"action,adventure",WW,Rockstar Games,"12,535","6,158",26 October 2004,3/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/grand-theft-auto-san-andreas-2.html
Forza Motorsport,XBOX,"racing,simulator",WW,Microsoft Game Studios,"6,173","5,528","May 3, 2005",3.5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/forza-motorsport.html
Ninja Gaiden,XBOX,"action,adventure",WW,Tecmo,"9,753","5,412","March 2, 2004",3.9/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/ninja-gaiden.html
Dead or Alive Xtreme Beach Volleyball,XBOX,sport,WW,Tecmo,"7,625","4,254","January 22, 2003",3.2/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/dead-or-alive-xtreme-beach-volleyball.html
Def Jam Fight for NY,XBOX,fighting,WW,EA Games,"11,492","4,137","September 21, 2004",3.6/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/def-jam-fight-for-ny.html
Crash Twinsanity,XBOX,platformer,WW,Vivendi Universal Games,"5,681","4,135","September 28, 2004",4.5/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/crash-twinsanity-2.html
Need for Speed Most Wanted,XBOX,racing,WW,Electronic Arts,"7,460","3,805","November 15, 2005",3.6/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/xbox/need-for-speed-most-wanted-2.html
