name,console,genre,region,publisher,views,download,released,rate,site,link
Grand Theft Auto V,Xbox 360,"action,adventure",WW,Rockstar Games,"43,288","17,000","September 17, 2013",3.7/5 (36 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/grand-theft-auto-v.html
Red Dead Redemption,Xbox 360,"action,adventure",WW,Rockstar Games,"25,010","14,023","May 18, 2010",3.7/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/red-dead-redemption-4.html
SONIC UNLEASHED,Xbox 360,"action,adventure",WW,SEGA,"17,359","11,524","November 18, 2008",3.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox-360/sonic-unleashed-4.html
Forza Horizon,Xbox 360,racing,WW,Turn 10 Studios,"22,627","6,914","October 23, 2012",3.5/5 (38 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/forza-horizon.html
Grand Theft Auto IV,Xbox 360,"action,adventure",WW,Rockstar Games,"13,896","6,829",29 April 2008,3.9/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/grand-theft-auto-iv.html
Minecraft,Xbox 360,"action,adventure",WW,Microsoft Game Studios,"19,538","6,789","May 9, 2012",3.5/5 (25 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/minecraft-4.html
Forza Horizon 2,Xbox 360,racing,WW,Microsoft Studios,"13,055","6,760",30 September 2014,3.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox-360/forza-horizon-2.html
Fable II,Xbox 360,"action,role-playing",WW,Microsoft Game Studios,"10,491","6,623",21 October 2008,3.4/5 (48 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/fable-ii.html
Skate 3,Xbox 360,sport,WW,Electronic Arts,"14,198","6,206"," May 11, 2010",3.4/5 (58 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/skate-3-2.html
Sonic the Hedgehog,Xbox 360,"action,adventure",WW,SEGA,"12,801","6,112","November 14, 2006",4/5 (22 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/sonic-the-hedgehog-5.html
Call of Duty: Black Ops II,Xbox 360,action,WW,Activision,"12,437","5,663","November 13, 2012",3.4/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/call-of-duty-black-ops-ii-3.html
Gears of War 2,Xbox 360,"action,adventure",WW,Microsoft Game Studios,"11,967","5,452","November 7, 2008",3.3/5 (17 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/gears-of-war-2.html
Halo 4,Xbox 360,other,WW,Microsoft Studios,"7,942","5,147"," November 6, 2012",3.5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/halo-4.html
The Simpsons Game,Xbox 360,"action,platformer",WW,Electronic Arts,"5,862","4,838"," October 30, 2007",3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox-360/the-simpsons-game-6.html
Naruto: Rise of a Ninja,Xbox 360,other,WW,Ubisoft,"10,546","4,557","October 30, 2007",3.5/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/naruto-rise-of-a-ninja.html
Forza Motorsport 4,Xbox 360,racing,WW,Microsoft Studios,"10,385","4,527","October 13, 2011",3.9/5 (19 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/forza-motorsport-4.html
Blue Dragon,Xbox 360,role-playing,WW,Microsoft Game Studios,"5,262","4,332","December 7, 2006",3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/xbox-360/blue-dragon.html
Gears of War 3,Xbox 360,other,WW,Microsoft Studios,"8,532","4,155",None,3.3/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/gears-of-war-3.html
Midnight Club: Los Angeles,Xbox 360,racing,WW,Rockstar Games,"9,651","3,940","October 20, 2008",3.3/5 (29 votes),ROMSFUN.com,https://romsfun.com/roms/xbox-360/midnight-club-los-angeles-2.html
