name,console,genre,region,publisher,views,download,released,rate,site,link
God of War – Ghost of Sparta,PSP,"action,adventure",Asia,Sony Computer Entertainment,"100,982","68,356","November 2, 2010",4.1/5 (64 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/god-of-war-ghost-of-sparta.html
God of War – Chains of Olympus,PSP,role-playing,Asia,WW: Sony Computer Entertainment / JP: Capcom,"74,758","54,137","March 4, 2008",4/5 (104 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/god-of-war-chains-of-olympus.html
Grand Theft Auto – Vice City Stories,PSP,"action,adventure",EU,Rockstar Games,"44,784","31,062",31 October 2006,4/5 (65 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/grand-theft-auto-vice-city-stories.html
Tekken 6,PSP,"beat-em-up,fighting",EU,Namco Bandai Games,"38,016","26,369","November 24, 2009",4.2/5 (24 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/tekken-6.html
Need for Speed – ProStreet,PSP,racing,Asia,Electronic Arts,"27,792","22,874","February 18, 2008",3.8/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/need-for-speed-prostreet.html
Assassin’s Creed – Bloodlines,PSP,"action,adventure",EU,Ubisoft,"24,659","19,375","November 17, 2009",3.9/5 (28 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/assassins-creed-bloodlines.html
Dante’s Inferno,PSP,"action,adventure",EU,Electronic Arts,"20,276","17,785","February 4, 2010",3.9/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/dantes-inferno.html
Crisis Core – Final Fantasy VII,PSP,role-playing,EU,Square Enix,"18,108","17,200","September 13, 2007",4/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/crisis-core-final-fantasy-vii.html
Naruto Shippuden – Ultimate Ninja Heroes 3,PSP,"action,fighting",EU,Namco Bandai Games,"29,600","16,738","March 5, 2013",3.9/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/naruto-shippuden-ultimate-ninja-heroes-3.html
Spider-Man 3,PSP,"action,adventure",EU,Activision,"28,574","16,278","October 16, 2007",4/5 (27 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/spider-man-3.html
WWE SmackDown vs. RAW 2011,PSP,"action,fighting",EU,THQ,"15,014","16,255","October 26, 2010",4.3/5 (35 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/wwe-smackdown-vs-raw-2011-2.html
FIFA 12,PSP,sport,DE,EA Sports,"8,872","15,907",30 September 2011,3.8/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/fifa-12.html
Midnight Club 3 – DUB Edition,PSP,racing,EU,Rockstar Games,"16,536","15,002","June 27, 2005",4.2/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/midnight-club-3-dub-edition.html
Grand Theft Auto – Liberty City Stories,PSP,"action,adventure",DE,Rockstar Games,"10,793","14,262",24 October 2005,4/5 (16 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/grand-theft-auto-liberty-city-stories.html
Metal Gear Solid – Peace Walker,PSP,action,EU,Konami,"17,834","13,820","April 29, 2010",3.9/5 (24 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/metal-gear-solid-peace-walker.html
Mortal Kombat – Unchained,PSP,fighting,EU,Midway,"21,568","13,103","November 13, 2006",3.8/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/playstation-portable/mortal-kombat-unchained.html
