console,link,site
Nintendo DS,https://www.romsgames.net/roms/nintendo-ds/,https://www.romsgames.net/
Playstation Portable,https://www.romsgames.net/roms/playstation-portable/,https://www.romsgames.net/
Gameboy Advance,https://www.romsgames.net/roms/gameboy-advance/,https://www.romsgames.net/
GameCube,https://www.romsgames.net/roms/gamecube/,https://www.romsgames.net/
Nintendo Wii,https://www.romsgames.net/roms/nintendo-wii/,https://www.romsgames.net/
Super Nintendo,https://www.romsgames.net/roms/super-nintendo/,https://www.romsgames.net/
Playstation 2,https://www.romsgames.net/roms/playstation-2/,https://www.romsgames.net/
Nintendo 64,https://www.romsgames.net/roms/nintendo-64/,https://www.romsgames.net/
Playstation,https://www.romsgames.net/roms/playstation/,https://www.romsgames.net/
Nintendo,https://www.romsgames.net/roms/nintendo/,https://www.romsgames.net/
SEGA Genesis,https://www.romsgames.net/roms/sega-genesis/,https://www.romsgames.net/
Gameboy Color,https://www.romsgames.net/roms/gameboy-color/,https://www.romsgames.net/
Dreamcast,https://www.romsgames.net/roms/dreamcast/,https://www.romsgames.net/
Gameboy,https://www.romsgames.net/roms/gameboy/,https://www.romsgames.net/
MAME 037b11,https://www.romsgames.net/roms/mame-037b11/,https://www.romsgames.net/
Sega Saturn,https://www.romsgames.net/roms/sega-saturn/,https://www.romsgames.net/
Atari 2600,https://www.romsgames.net/roms/atari-2600/,https://www.romsgames.net/
Microsoft Xbox,https://www.romsgames.net/roms/microsoft-xbox/,https://www.romsgames.net/
SNK Neo Geo,https://www.romsgames.net/roms/snk-neo-geo/,https://www.romsgames.net/
Amiga 500,https://www.romsgames.net/roms/amiga-500/,https://www.romsgames.net/
Sega Master System,https://www.romsgames.net/roms/sega-master-system/,https://www.romsgames.net/
ZX Spectrum,https://www.romsgames.net/roms/zx-spectrum/,https://www.romsgames.net/
Game Gear,https://www.romsgames.net/roms/game-gear/,https://www.romsgames.net/
Commodore 64,https://www.romsgames.net/roms/commodore-64/,https://www.romsgames.net/
TurboGrafx-16,https://www.romsgames.net/roms/turbografx-16/,https://www.romsgames.net/
Amstrad CPC,https://www.romsgames.net/roms/amstrad-cpc/,https://www.romsgames.net/
Capcom Play System,https://www.romsgames.net/roms/capcom-play-system/,https://www.romsgames.net/
Nokia N Gage,https://www.romsgames.net/roms/nokia-n-gage/,https://www.romsgames.net/
Atari 800,https://www.romsgames.net/roms/atari-800/,https://www.romsgames.net/
Sega 32X,https://www.romsgames.net/roms/sega-32x/,https://www.romsgames.net/
ColecoVision,https://www.romsgames.net/roms/colecovision/,https://www.romsgames.net/
Capcom Play System 2,https://www.romsgames.net/roms/capcom-play-system-2/,https://www.romsgames.net/
MSX Computer,https://www.romsgames.net/roms/msx-computer/,https://www.romsgames.net/
WonderSwan,https://www.romsgames.net/roms/wonderswan/,https://www.romsgames.net/
Atari 7800 ProSystem,https://www.romsgames.net/roms/atari-7800-prosystem/,https://www.romsgames.net/
Nintendo Pokemon Mini,https://www.romsgames.net/roms/nintendo-pokemon-mini/,https://www.romsgames.net/
Nintendo Famicom Disk System,https://www.romsgames.net/roms/nintendo-famicom-disk-system/,https://www.romsgames.net/
Atari Lynx,https://www.romsgames.net/roms/atari-lynx/,https://www.romsgames.net/
Neo Geo Pocket Color,https://www.romsgames.net/roms/neo-geo-pocket-color/,https://www.romsgames.net/
Atari Jaguar,https://www.romsgames.net/roms/atari-jaguar/,https://www.romsgames.net/
Apple II,https://www.romsgames.net/roms/apple-ii/,https://www.romsgames.net/
MSX-2,https://www.romsgames.net/roms/msx-2/,https://www.romsgames.net/
Intellivision,https://www.romsgames.net/roms/intellivision/,https://www.romsgames.net/
Nintendo Virtual Boy,https://www.romsgames.net/roms/nintendo-virtual-boy/,https://www.romsgames.net/
Atari 5200 SuperSystem,https://www.romsgames.net/roms/atari-5200-supersystem/,https://www.romsgames.net/
Atari ST,https://www.romsgames.net/roms/atari-st/,https://www.romsgames.net/
Commodore VIC20,https://www.romsgames.net/roms/commodore-vic20/,https://www.romsgames.net/
Sega Pico,https://www.romsgames.net/roms/sega-pico/,https://www.romsgames.net/
Capcom Play System 3,https://www.romsgames.net/roms/capcom-play-system-3/,https://www.romsgames.net/
BBC Micro,https://www.romsgames.net/roms/bbc-micro/,https://www.romsgames.net/
Sega SG1000,https://www.romsgames.net/roms/sega-sg1000/,https://www.romsgames.net/
Magnavox Odyssey 2,https://www.romsgames.net/roms/magnavox-odyssey-2/,https://www.romsgames.net/
