name,console,region,rating,size,link,site
Sim City (1990)(Superior Software-Acornsoft),Acorn Electron,US English,2.00 (1 votes),39.0 kB,https://www.romsgames.net/acorn-electron-rom-sim-city-1990superior-software-acornsoft/,https://www.romsgames.net/
Questprobe 2 - Spiderman (1984)(Adventure International),Acorn Electron,US English,4.00 (1 votes),10.7 kB,https://www.romsgames.net/acorn-electron-rom-questprobe-2---spiderman-1984adventure-international/,https://www.romsgames.net/
Classic Arcade Games (198x)(Electron User),Acorn Electron,US English,5.00 (1 votes),32.8 kB,https://www.romsgames.net/acorn-electron-rom-classic-arcade-games-198xelectron-user/,https://www.romsgames.net/
10 Of The Best Vol.2 - Code Breaker (198x)(Sinclair User),Acorn Electron,US English,4.00 (1 votes),2.36 kB,https://www.romsgames.net/acorn-electron-rom-10-of-the-best-vol2---code-breaker-198xsinclair-user/,https://www.romsgames.net/
Repton (1985)(Superior Software),Acorn Electron,US English,5.00 (1 votes),17.2 kB,https://www.romsgames.net/acorn-electron-rom-repton-1985superior-software/,https://www.romsgames.net/
Crystal Castles (198x)(U.S. Gold),Acorn Electron,US English,5.00 (1 votes),12.6 kB,https://www.romsgames.net/acorn-electron-rom-crystal-castles-198xus-gold/,https://www.romsgames.net/
Yie Ar Kung Fu (198x)(Konami-Imagine),Acorn Electron,US English,5.00 (1 votes),19.2 kB,https://www.romsgames.net/acorn-electron-rom-yie-ar-kung-fu-198xkonami-imagine/,https://www.romsgames.net/
Chuckie Egg (1984)(A&amp;F Software)[a],Acorn Electron,US English,5.00 (1 votes),8.35 kB,https://www.romsgames.net/acorn-electron-rom-chuckie-egg-1984a-f-softwarea/,https://www.romsgames.net/
Stripper II (198x)(Aggressive Software),Acorn Electron,US English,5.00 (1 votes),1.13 kB,https://www.romsgames.net/acorn-electron-rom-stripper-ii-198xaggressive-software/,https://www.romsgames.net/
WhiteKnight Mk11 (1984)(BBC Soft)[a],Acorn Electron,US English,5.00 (1 votes),13.0 kB,https://www.romsgames.net/acorn-electron-rom-whiteknight-mk11-1984bbc-softa/,https://www.romsgames.net/
Boxer (1984)(Acornsoft),Acorn Electron,US English,5.00 (1 votes),10.0 kB,https://www.romsgames.net/acorn-electron-rom-boxer-1984acornsoft/,https://www.romsgames.net/
Space Agent Zelda Meets The Bug Eyes (1985)(Icon Software),Acorn Electron,US English,5.00 (1 votes),10.0 kB,https://www.romsgames.net/acorn-electron-rom-space-agent-zelda-meets-the-bug-eyes-1985icon-software/,https://www.romsgames.net/
Sphinx Adventure (198x)(Acornsoft),Acorn Electron,US English,5.00 (1 votes),11.8 kB,https://www.romsgames.net/acorn-electron-rom-sphinx-adventure-198xacornsoft/,https://www.romsgames.net/
Superman - The Game (1987)(First Star),Acorn Electron,US English,5.00 (1 votes),15.5 kB,https://www.romsgames.net/acorn-electron-rom-superman---the-game-1987first-star/,https://www.romsgames.net/
Citadel (1985)(Superior Software),Acorn Electron,US English,5.00 (1 votes),20.5 kB,https://www.romsgames.net/acorn-electron-rom-citadel-1985superior-software/,https://www.romsgames.net/
Starship Command (198x)(Acornsoft),Acorn Electron,US English,5.00 (1 votes),13.1 kB,https://www.romsgames.net/acorn-electron-rom-starship-command-198xacornsoft/,https://www.romsgames.net/
Gauntlet (1984)(Micro Power),Acorn Electron,US English,5.00 (1 votes),11.5 kB,https://www.romsgames.net/acorn-electron-rom-gauntlet-1984micro-power/,https://www.romsgames.net/
Tempest (1982-85)(Atari-Superior Software),Acorn Electron,US English,5.00 (1 votes),8.93 kB,https://www.romsgames.net/acorn-electron-rom-tempest-1982-85atari-superior-software/,https://www.romsgames.net/
PCW Games Collection - Robotank (198x)(PCW),Acorn Electron,US English,5.00 (1 votes),61.7 kB,https://www.romsgames.net/acorn-electron-rom-pcw-games-collection---robotank-198xpcw/,https://www.romsgames.net/
Pinball Arcade (198x)(-),Acorn Electron,US English,5.00 (1 votes),8.39 kB,https://www.romsgames.net/acorn-electron-rom-pinball-arcade-198x-/,https://www.romsgames.net/
Mexico 86 Finals (1985)(Doctor Soft)[b],Acorn Electron,US English,5.00 (1 votes),8.69 kB,https://www.romsgames.net/acorn-electron-rom-mexico-86-finals-1985doctor-softb/,https://www.romsgames.net/
Boulderdash (198x)(First Step Software)[b],Acorn Electron,US English,5.00 (1 votes),25.6 kB,https://www.romsgames.net/acorn-electron-rom-boulderdash-198xfirst-step-softwareb/,https://www.romsgames.net/
