name,console,region,rating,size,link,site
SEX - Sex Entertains Xenomorph (UK) (19xx) (PD).dsk,Amstrad CPC,US English,4.50 (12 votes),205 kB,https://www.romsgames.net/amstrad-cpc-rom-sex---sex-entertains-xenomorph-uk-19xx-pddsk/,https://www.romsgames.net/
Fallout (UK) (1987).dsk,Amstrad CPC,US English,3.88 (8 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-fallout-uk-1987dsk/,https://www.romsgames.net/
CPC-Gooding Nul Part System - Dragon Ball Zeta II (19xx).dsk,Amstrad CPC,US English,4.22 (9 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-cpc-gooding-nul-part-system---dragon-ball-zeta-ii-19xxdsk/,https://www.romsgames.net/
Mario Bros (UK) (1987) [a1].dsk,Amstrad CPC,US English,2.67 (3 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-mario-bros-uk-1987-a1dsk/,https://www.romsgames.net/
Star Wars - The Empire Strikes Back (UK) (1988).dsk,Amstrad CPC,US English,4.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-star-wars---the-empire-strikes-back-uk-1988dsk/,https://www.romsgames.net/
Sexy Word (1988).dsk,Amstrad CPC,US English,4.50 (2 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-sexy-word-1988dsk/,https://www.romsgames.net/
Batman (UK) (1986) [a1].dsk,Amstrad CPC,US English,5.00 (0 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-batman-uk-1986-a1dsk/,https://www.romsgames.net/
Adult Two (UK) (1990) [a1].dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-adult-two-uk-1990-a1dsk/,https://www.romsgames.net/
Sexy Cartoons 2 &amp; Mr Pingo [a1].dsk,Amstrad CPC,US English,5.00 (1 votes),197 kB,https://www.romsgames.net/amstrad-cpc-rom-sexy-cartoons-2-mr-pingo-a1dsk/,https://www.romsgames.net/
Manic Miner (UK) (1984) [a2].dsk,Amstrad CPC,US English,4.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-manic-miner-uk-1984-a2dsk/,https://www.romsgames.net/
Thomas The Tank Engine (UK) (1990).dsk,Amstrad CPC,US English,1.00 (2 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-thomas-the-tank-engine-uk-1990dsk/,https://www.romsgames.net/
Sonic Boom (UK) (1990).dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-sonic-boom-uk-1990dsk/,https://www.romsgames.net/
"Prehistorik 2 (UK,F,G) (1993) [a1].dsk",Amstrad CPC,US English,5.00 (1 votes),217 kB,https://www.romsgames.net/amstrad-cpc-rom-prehistorik-2-uk-f-g-1993-a1dsk/,https://www.romsgames.net/
Ghosts'n Goblins &amp; Kong Strikes Back.dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-ghostsn-goblins-kong-strikes-backdsk/,https://www.romsgames.net/
Scooby Doo In The Castle Mystery (UK) (1986) [t1].dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-scooby-doo-in-the-castle-mystery-uk-1986-t1dsk/,https://www.romsgames.net/
Word Finder (UK) (19xx).dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-word-finder-uk-19xxdsk/,https://www.romsgames.net/
Donkey Kong (UK) (1986) [a1].dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-donkey-kong-uk-1986-a1dsk/,https://www.romsgames.net/
Bruce Lee &amp; Kung-Fu Master.dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-bruce-lee-kung-fu-masterdsk/,https://www.romsgames.net/
Super Tank Simulator (UK) (1989) [f1][t1].dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-super-tank-simulator-uk-1989-f1t1dsk/,https://www.romsgames.net/
Sexy Cartoons 2 &amp; Mr Pingo.dsk,Amstrad CPC,US English,4.00 (2 votes),199 kB,https://www.romsgames.net/amstrad-cpc-rom-sexy-cartoons-2-mr-pingodsk/,https://www.romsgames.net/
R-Type (UK) (1987).dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-r-type-uk-1987dsk/,https://www.romsgames.net/
Track And Field (UK) (1988).dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-track-and-field-uk-1988dsk/,https://www.romsgames.net/
Super Robin Hood (UK) (1986).dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-super-robin-hood-uk-1986dsk/,https://www.romsgames.net/
Fruity Frank (UK) (1984) [a2].dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-fruity-frank-uk-1984-a2dsk/,https://www.romsgames.net/
SEX - Shit Egbert's Xploded (UK) (1995) (PD) (Disk 1 Of 2).dsk,Amstrad CPC,US English,5.00 (1 votes),205 kB,https://www.romsgames.net/amstrad-cpc-rom-sex---shit-egberts-xploded-uk-1995-pd-disk-1-of-2dsk/,https://www.romsgames.net/
Wonderboy (UK) (1987) [a1].dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-wonderboy-uk-1987-a1dsk/,https://www.romsgames.net/
Friday The 13th (UK) (1986) [a1].dsk,Amstrad CPC,US English,5.00 (1 votes),195 kB,https://www.romsgames.net/amstrad-cpc-rom-friday-the-13th-uk-1986-a1dsk/,https://www.romsgames.net/
