name,console,region,rating,size,link,site
Donkey Kong (1983)(Atari),Apple II,US English,5.00 (1 votes),32.2 kB,https://www.romsgames.net/apple-ii-rom-donkey-kong-1983atari/,https://www.romsgames.net/
Karateka (1984)(Broderbund),Apple II,US English,3.33 (3 votes),46.4 kB,https://www.romsgames.net/apple-ii-rom-karateka-1984broderbund/,https://www.romsgames.net/
Airplane Simulator (1983)(Ted Kurtz),Apple II,US English,4.00 (2 votes),32.5 kB,https://www.romsgames.net/apple-ii-rom-airplane-simulator-1983ted-kurtz/,https://www.romsgames.net/
Ms. Pacman (19xx)(-)[cr],Apple II,US English,1.00 (2 votes),20.5 kB,https://www.romsgames.net/apple-ii-rom-ms-pacman-19xx-cr/,https://www.romsgames.net/
Mario Bros (19xx)(Atari)[cr],Apple II,US English,5.00 (1 votes),25.0 kB,https://www.romsgames.net/apple-ii-rom-mario-bros-19xxataricr/,https://www.romsgames.net/
Lode Runner (1983)(broderbund)[h Modified Keys],Apple II,US English,5.00 (1 votes),43.7 kB,https://www.romsgames.net/apple-ii-rom-lode-runner-1983broderbundh-modified-keys/,https://www.romsgames.net/
Tron (19xx)(Ivan),Apple II,US English,5.00 (1 votes),14.9 kB,https://www.romsgames.net/apple-ii-rom-tron-19xxivan/,https://www.romsgames.net/
Conan (1984)(Datasoft)[cr][a](Disk 1 Of 1 Side A),Apple II,US English,5.00 (1 votes),48.1 kB,https://www.romsgames.net/apple-ii-rom-conan-1984datasoftcradisk-1-of-1-side-a/,https://www.romsgames.net/
Ghostbusters (1984)(Activision),Apple II,US English,5.00 (1 votes),50.0 kB,https://www.romsgames.net/apple-ii-rom-ghostbusters-1984activision/,https://www.romsgames.net/
"Hitchhiker's Guide To The Galaxy, The (1984)(Infocom)",Apple II,US English,5.00 (1 votes),91.6 kB,https://www.romsgames.net/apple-ii-rom-hitchhikers-guide-to-the-galaxy-the-1984infocom/,https://www.romsgames.net/
Choplifter (19xx)(-),Apple II,US English,5.00 (1 votes),26.3 kB,https://www.romsgames.net/apple-ii-rom-choplifter-19xx-/,https://www.romsgames.net/
Lemonade Stand (1979)(Apple),Apple II,US English,5.00 (1 votes),14.7 kB,https://www.romsgames.net/apple-ii-rom-lemonade-stand-1979apple/,https://www.romsgames.net/
Galaxian (1980)(Starcraft),Apple II,US English,5.00 (1 votes),21.5 kB,https://www.romsgames.net/apple-ii-rom-galaxian-1980starcraft/,https://www.romsgames.net/
