name,console,region,rating,size,link,site
Aladin,Atari 800,US English,3.22 (9 votes),7.13 kB,https://www.romsgames.net/atari-800-rom-aladin/,https://www.romsgames.net/
Pong.xex,Atari 800,US English,4.00 (3 votes),6.08 kB,https://www.romsgames.net/atari-800-rom-pongxex/,https://www.romsgames.net/
PacMan,Atari 800,US English,5.00 (0 votes),7.36 kB,https://www.romsgames.net/atari-800-rom-pacman/,https://www.romsgames.net/
Space Invaders,Atari 800,US English,5.00 (1 votes),7.82 kB,https://www.romsgames.net/atari-800-rom-space-invaders/,https://www.romsgames.net/
Oregon Trail,Atari 800,US English,5.00 (1 votes),5.40 kB,https://www.romsgames.net/atari-800-rom-oregon-trail/,https://www.romsgames.net/
Arkanoid (1987)(Taito),Atari 800,US English,1.50 (2 votes),6.74 kB,https://www.romsgames.net/atari-800-rom-arkanoid-1987taito/,https://www.romsgames.net/
Mario Bros. (1983)(Nintendo),Atari 800,US English,3.00 (4 votes),7.17 kB,https://www.romsgames.net/atari-800-rom-mario-bros-1983nintendo/,https://www.romsgames.net/
Qbert,Atari 800,US English,5.00 (2 votes),5.36 kB,https://www.romsgames.net/atari-800-rom-qbert/,https://www.romsgames.net/
Boulder Dash (1984)(First Star),Atari 800,US English,5.00 (1 votes),6.14 kB,https://www.romsgames.net/atari-800-rom-boulder-dash-1984first-star/,https://www.romsgames.net/
RiverRaid,Atari 800,US English,1.00 (1 votes),8.72 kB,https://www.romsgames.net/atari-800-rom-riverraid/,https://www.romsgames.net/
Galaxia,Atari 800,US English,5.00 (1 votes),8.53 kB,https://www.romsgames.net/atari-800-rom-galaxia/,https://www.romsgames.net/
Pornopoly,Atari 800,US English,4.33 (3 votes),16.7 kB,https://www.romsgames.net/atari-800-rom-pornopoly/,https://www.romsgames.net/
Dragons Lair,Atari 800,US English,3.00 (2 votes),7.09 kB,https://www.romsgames.net/atari-800-rom-dragons-lair/,https://www.romsgames.net/
DigDug 1982,Atari 800,US English,5.00 (1 votes),6.50 kB,https://www.romsgames.net/atari-800-rom-digdug-1982/,https://www.romsgames.net/
Adventure Island,Atari 800,US English,3.00 (1 votes),7.02 kB,https://www.romsgames.net/atari-800-rom-adventure-island/,https://www.romsgames.net/
Bruce Lee (1984)(Datasoft),Atari 800,US English,5.00 (1 votes),7.03 kB,https://www.romsgames.net/atari-800-rom-bruce-lee-1984datasoft/,https://www.romsgames.net/
DonkeyKong,Atari 800,US English,4.50 (2 votes),5.45 kB,https://www.romsgames.net/atari-800-rom-donkeykong/,https://www.romsgames.net/
Digger,Atari 800,US English,5.00 (1 votes),9.49 kB,https://www.romsgames.net/atari-800-rom-digger/,https://www.romsgames.net/
Spiderman GFX,Atari 800,US English,5.00 (2 votes),5.10 kB,https://www.romsgames.net/atari-800-rom-spiderman-gfx/,https://www.romsgames.net/
Centipede (1981)(Atari),Atari 800,US English,5.00 (1 votes),6.96 kB,https://www.romsgames.net/atari-800-rom-centipede-1981atari/,https://www.romsgames.net/
Zorro (1985)(Datasoft),Atari 800,US English,5.00 (1 votes),9.14 kB,https://www.romsgames.net/atari-800-rom-zorro-1985datasoft/,https://www.romsgames.net/
Alley Cat (1983)(Synapse),Atari 800,US English,5.00 (1 votes),8.99 kB,https://www.romsgames.net/atari-800-rom-alley-cat-1983synapse/,https://www.romsgames.net/
Mule,Atari 800,US English,5.00 (1 votes),9.24 kB,https://www.romsgames.net/atari-800-rom-mule/,https://www.romsgames.net/
Atlantis,Atari 800,US English,5.00 (1 votes),6.53 kB,https://www.romsgames.net/atari-800-rom-atlantis/,https://www.romsgames.net/
Pitfall,Atari 800,US English,5.00 (1 votes),5.03 kB,https://www.romsgames.net/atari-800-rom-pitfall/,https://www.romsgames.net/
Ghostbusters,Atari 800,US English,5.00 (1 votes),7.25 kB,https://www.romsgames.net/atari-800-rom-ghostbusters/,https://www.romsgames.net/
Ms. Pac-Man,Atari 800,US English,5.00 (1 votes),6.98 kB,https://www.romsgames.net/atari-800-rom-ms-pac-man/,https://www.romsgames.net/
Zybex 2,Atari 800,US English,5.00 (1 votes),6.34 kB,https://www.romsgames.net/atari-800-rom-zybex-2/,https://www.romsgames.net/
Pro Biker - Pro Mountain Bike Simulator (1989)(Alternative)[k-file],Atari 800,US English,4.00 (1 votes),19.8 kB,https://www.romsgames.net/atari-800-rom-pro-biker---pro-mountain-bike-simulator-1989alternativek-file/,https://www.romsgames.net/
Preliminary Monty (1983)(Utopia),Atari 800,US English,5.00 (1 votes),6.41 kB,https://www.romsgames.net/atari-800-rom-preliminary-monty-1983utopia/,https://www.romsgames.net/
Galaxian (1982)(Atari),Atari 800,US English,5.00 (1 votes),7.52 kB,https://www.romsgames.net/atari-800-rom-galaxian-1982atari/,https://www.romsgames.net/
Archon (1983)(Electronic Arts).atr,Atari 800,US English,5.00 (1 votes),7.92 kB,https://www.romsgames.net/atari-800-rom-archon-1983electronic-artsatr/,https://www.romsgames.net/
