name,console,region,rating,size,link,site
Alien Vs Predator (World),Atari Jaguar,US English,5.00 (2 votes),8.57 kB,https://www.romsgames.net/atari-jaguar-rom-alien-vs-predator-world/,https://www.romsgames.net/
Rayman (World),Atari Jaguar,US English,4.50 (2 votes),9.07 kB,https://www.romsgames.net/atari-jaguar-rom-rayman-world/,https://www.romsgames.net/
Doom (World),Atari Jaguar,US English,5.00 (1 votes),6.47 kB,https://www.romsgames.net/atari-jaguar-rom-doom-world/,https://www.romsgames.net/
[BIOS] Atari Jaguar (World),Atari Jaguar,US English,5.00 (1 votes),6.34 kB,https://www.romsgames.net/atari-jaguar-rom-bios-atari-jaguar-world/,https://www.romsgames.net/
Kasumi Ninja (World),Atari Jaguar,US English,4.00 (2 votes),8.92 kB,https://www.romsgames.net/atari-jaguar-rom-kasumi-ninja-world/,https://www.romsgames.net/
Pitfall - The Mayan Adventure (World),Atari Jaguar,US English,4.00 (1 votes),5.13 kB,https://www.romsgames.net/atari-jaguar-rom-pitfall---the-mayan-adventure-world/,https://www.romsgames.net/
Raiden (World),Atari Jaguar,US English,4.00 (1 votes),8.69 kB,https://www.romsgames.net/atari-jaguar-rom-raiden-world/,https://www.romsgames.net/
Tempest 2000 (World),Atari Jaguar,US English,4.00 (1 votes),7.87 kB,https://www.romsgames.net/atari-jaguar-rom-tempest-2000-world/,https://www.romsgames.net/
Total Carnage (World),Atari Jaguar,US English,5.00 (1 votes),7.61 kB,https://www.romsgames.net/atari-jaguar-rom-total-carnage-world/,https://www.romsgames.net/
Wolfenstein 3D (World),Atari Jaguar,US English,4.00 (3 votes),5.68 kB,https://www.romsgames.net/atari-jaguar-rom-wolfenstein-3d-world/,https://www.romsgames.net/
Worms (World),Atari Jaguar,US English,5.00 (1 votes),7.20 kB,https://www.romsgames.net/atari-jaguar-rom-worms-world/,https://www.romsgames.net/
