name,console,region,rating,size,link,site
Tetris (1996),Atari Lynx,US English,4.00 (4 votes),8.32 kB,https://www.romsgames.net/atari-lynx-rom-tetris-1996/,https://www.romsgames.net/
Ninja Gaiden (1990),Atari Lynx,US English,2.50 (2 votes),6.61 kB,https://www.romsgames.net/atari-lynx-rom-ninja-gaiden-1990/,https://www.romsgames.net/
Gauntlet - The Third Encounter (1990),Atari Lynx,US English,5.00 (1 votes),7.04 kB,https://www.romsgames.net/atari-lynx-rom-gauntlet---the-third-encounter-1990/,https://www.romsgames.net/
Lemmings (1993),Atari Lynx,US English,5.00 (1 votes),9.19 kB,https://www.romsgames.net/atari-lynx-rom-lemmings-1993/,https://www.romsgames.net/
Alien Vs Predator (1993),Atari Lynx,US English,3.50 (2 votes),8.48 kB,https://www.romsgames.net/atari-lynx-rom-alien-vs-predator-1993/,https://www.romsgames.net/
Double Dragon (1993) (Telegames),Atari Lynx,US English,5.00 (1 votes),7.53 kB,https://www.romsgames.net/atari-lynx-rom-double-dragon-1993-telegames/,https://www.romsgames.net/
Desert Strike - Return To The Gulf (1993) (Telegames),Atari Lynx,US English,4.00 (1 votes),9.20 kB,https://www.romsgames.net/atari-lynx-rom-desert-strike---return-to-the-gulf-1993-telegames/,https://www.romsgames.net/
Ninja Gaiden III - The Ancient Ship Of Doom (1993),Atari Lynx,US English,5.00 (0 votes),8.35 kB,https://www.romsgames.net/atari-lynx-rom-ninja-gaiden-iii---the-ancient-ship-of-doom-1993/,https://www.romsgames.net/
Chip's Challenge (1989),Atari Lynx,US English,5.00 (1 votes),9.12 kB,https://www.romsgames.net/atari-lynx-rom-chips-challenge-1989/,https://www.romsgames.net/
Rygar - Legendary Warrior (1990),Atari Lynx,US English,5.00 (1 votes),7.92 kB,https://www.romsgames.net/atari-lynx-rom-rygar---legendary-warrior-1990/,https://www.romsgames.net/
Eye Of The Beholder (1990) (NuFX),Atari Lynx,US English,5.00 (1 votes),5.48 kB,https://www.romsgames.net/atari-lynx-rom-eye-of-the-beholder-1990-nufx/,https://www.romsgames.net/
Xenophobe (1990),Atari Lynx,US English,5.00 (1 votes),5.86 kB,https://www.romsgames.net/atari-lynx-rom-xenophobe-1990/,https://www.romsgames.net/
Batman Returns (1992),Atari Lynx,US English,5.00 (1 votes),8.24 kB,https://www.romsgames.net/atari-lynx-rom-batman-returns-1992/,https://www.romsgames.net/
Dirty Larry - Renegade Cop (1992),Atari Lynx,US English,5.00 (1 votes),7.91 kB,https://www.romsgames.net/atari-lynx-rom-dirty-larry---renegade-cop-1992/,https://www.romsgames.net/
Battlezone 2000 (1996),Atari Lynx,US English,2.00 (2 votes),6.60 kB,https://www.romsgames.net/atari-lynx-rom-battlezone-2000-1996/,https://www.romsgames.net/
Lode Runner (1996) (Kurt Olsen),Atari Lynx,US English,5.00 (1 votes),7.49 kB,https://www.romsgames.net/atari-lynx-rom-lode-runner-1996-kurt-olsen/,https://www.romsgames.net/
