name,console,region,rating,size,link,site
Hyper Street Fighter II: The Anniversary Edition (0402,Capcom Play System 2,US English,3.86 (7 votes),6.06 kB,https://www.romsgames.net/capcom-play-system-2-rom-hyper-street-fighter-ii-the-anniversary-edition-0402/,https://www.romsgames.net/
Marvel Super Heroes Vs Street Fighter (970625 Euro),Capcom Play System 2,US English,4.57 (7 votes),5.19 kB,https://www.romsgames.net/capcom-play-system-2-rom-marvel-super-heroes-vs-street-fighter-970625-euro/,https://www.romsgames.net/
X-Men Vs Street Fighter (961004 Euro),Capcom Play System 2,Europe,5.00 (3 votes),7.42 kB,https://www.romsgames.net/capcom-play-system-2-rom-x-men-vs-street-fighter-961004-euro/,https://www.romsgames.net/
Street Fighter Alpha 2 (960430 USA),Capcom Play System 2,US English,4.17 (6 votes),6.81 kB,https://www.romsgames.net/capcom-play-system-2-rom-street-fighter-alpha-2-960430-usa/,https://www.romsgames.net/
Marvel Vs Capcom - Clash Of Super Heroes (980123 USA),Capcom Play System 2,US English,3.00 (2 votes),9.44 kB,https://www.romsgames.net/capcom-play-system-2-rom-marvel-vs-capcom---clash-of-super-heroes-980123-usa/,https://www.romsgames.net/
Street Fighter Alpha 3 (980904 USA),Capcom Play System 2,US English,3.75 (4 votes),5.21 kB,https://www.romsgames.net/capcom-play-system-2-rom-street-fighter-alpha-3-980904-usa/,https://www.romsgames.net/
Mega Man 2 - The Power Fighters (960708 USA),Capcom Play System 2,US English,5.00 (4 votes),5.67 kB,https://www.romsgames.net/capcom-play-system-2-rom-mega-man-2---the-power-fighters-960708-usa/,https://www.romsgames.net/
Alien Vs Predator (940520 USA),Capcom Play System 2,US English,5.00 (2 votes),7.01 kB,https://www.romsgames.net/capcom-play-system-2-rom-alien-vs-predator-940520-usa/,https://www.romsgames.net/
Marvel Vs Capcom - Clash Of Super Heroes (980123 USA Phoenix Edition),Capcom Play System 2,US English,5.00 (1 votes),7.01 kB,https://www.romsgames.net/capcom-play-system-2-rom-marvel-vs-capcom---clash-of-super-heroes-980123-usa-phoenix-edition/,https://www.romsgames.net/
19XX - The War Against Destiny (951218 Brazil),Capcom Play System 2,US English,3.00 (1 votes),6.52 kB,https://www.romsgames.net/capcom-play-system-2-rom-19xx---the-war-against-destiny-951218-brazil/,https://www.romsgames.net/
Street Fighter Alpha 3 (980904 Euro),Capcom Play System 2,US English,5.00 (1 votes),7.43 kB,https://www.romsgames.net/capcom-play-system-2-rom-street-fighter-alpha-3-980904-euro/,https://www.romsgames.net/
1944 - The Loop Master (000620 USA),Capcom Play System 2,US English,5.00 (1 votes),8.02 kB,https://www.romsgames.net/capcom-play-system-2-rom-1944---the-loop-master-000620-usa/,https://www.romsgames.net/
Alien Vs Predator (940520 Euro),Capcom Play System 2,US English,5.00 (1 votes),5.44 kB,https://www.romsgames.net/capcom-play-system-2-rom-alien-vs-predator-940520-euro/,https://www.romsgames.net/
Marvel Vs Capcom - Clash Of Super Heroes (980123 Euro),Capcom Play System 2,US English,5.00 (1 votes),5.55 kB,https://www.romsgames.net/capcom-play-system-2-rom-marvel-vs-capcom---clash-of-super-heroes-980123-euro/,https://www.romsgames.net/
1944 - The Loop Master (000620 USA Phoenix Edition),Capcom Play System 2,US English,5.00 (1 votes),7.32 kB,https://www.romsgames.net/capcom-play-system-2-rom-1944---the-loop-master-000620-usa-phoenix-edition/,https://www.romsgames.net/
Xmvsf,Capcom Play System 2,US English,5.00 (1 votes),19.6 MB,https://www.romsgames.net/capcom-play-system-2-rom-xmvsf/,https://www.romsgames.net/
Mshvsf,Capcom Play System 2,US English,5.00 (1 votes),23.1 MB,https://www.romsgames.net/capcom-play-system-2-rom-mshvsf/,https://www.romsgames.net/
Sfa2u,Capcom Play System 2,US English,5.00 (1 votes),1.79 MB,https://www.romsgames.net/capcom-play-system-2-rom-sfa2u/,https://www.romsgames.net/
Xmcota,Capcom Play System 2,US English,2.00 (2 votes),20.6 MB,https://www.romsgames.net/capcom-play-system-2-rom-xmcota/,https://www.romsgames.net/
Msh,Capcom Play System 2,US English,5.00 (1 votes),20.1 MB,https://www.romsgames.net/capcom-play-system-2-rom-msh/,https://www.romsgames.net/
Progear,Capcom Play System 2,US English,5.00 (1 votes),14.3 MB,https://www.romsgames.net/capcom-play-system-2-rom-progear/,https://www.romsgames.net/
Avsp,Capcom Play System 2,US English,5.00 (1 votes),11.1 MB,https://www.romsgames.net/capcom-play-system-2-rom-avsp/,https://www.romsgames.net/
