name,console,region,rating,size,link,site
Super Zaxxon (1984)(Sega - Coleco),ColecoVision ADAM,US English,5.00 (1 votes),66.9 kB,https://www.romsgames.net/colecovision-adam-rom-super-zaxxon-1984sega---coleco/,https://www.romsgames.net/
Donkey Kong (1982)(Coleco - Nintendo),ColecoVision ADAM,US English,5.00 (1 votes),12.8 kB,https://www.romsgames.net/colecovision-adam-rom-donkey-kong-1982coleco---nintendo/,https://www.romsgames.net/
Dragon's Lair (1983)(Magicom),ColecoVision ADAM,US English,5.00 (1 votes),84.1 kB,https://www.romsgames.net/colecovision-adam-rom-dragons-lair-1983magicom/,https://www.romsgames.net/
Pacman (19xx)(-),ColecoVision ADAM,US English,5.00 (1 votes),7.39 kB,https://www.romsgames.net/colecovision-adam-rom-pacman-19xx-/,https://www.romsgames.net/
Cabbage Patch Kids - Adventures In The Park (1984)(Coleco)[Req 128k],ColecoVision ADAM,US English,5.00 (1 votes),12.2 kB,https://www.romsgames.net/colecovision-adam-rom-cabbage-patch-kids---adventures-in-the-park-1984colecoreq-128k/,https://www.romsgames.net/
Buck Rogers - Planet Of Zoom (1983)(Sega),ColecoVision ADAM,US English,5.00 (1 votes),71.0 kB,https://www.romsgames.net/colecovision-adam-rom-buck-rogers---planet-of-zoom-1983sega/,https://www.romsgames.net/
Diablo (1984)(Image Microcorp - Extended Software),ColecoVision ADAM,US English,5.00 (1 votes),5.34 kB,https://www.romsgames.net/colecovision-adam-rom-diablo-1984image-microcorp---extended-software/,https://www.romsgames.net/
2010 - The Ultimate Text Adventure (1985)(MGM - United Artists Entertainment),ColecoVision ADAM,US English,5.00 (1 votes),85.8 kB,https://www.romsgames.net/colecovision-adam-rom-2010---the-ultimate-text-adventure-1985mgm---united-artists-entertainment/,https://www.romsgames.net/
Aliens (198x)(-),ColecoVision ADAM,US English,5.00 (1 votes),12.0 kB,https://www.romsgames.net/colecovision-adam-rom-aliens-198x-/,https://www.romsgames.net/
Best Of Electronic Arts - Pinball Construction Set &amp; The Hard Hat Mack (19xx)(K-byte - Coleco),ColecoVision ADAM,US English,5.00 (1 votes),62.9 kB,https://www.romsgames.net/colecovision-adam-rom-best-of-electronic-arts---pinball-construction-set-the-hard-hat-mack-19xxk-byte---coleco/,https://www.romsgames.net/
"Star Trek (19xx)(Archuleta, Ken)",ColecoVision ADAM,US English,5.00 (1 votes),3.39 kB,https://www.romsgames.net/colecovision-adam-rom-star-trek-19xxarchuleta-ken/,https://www.romsgames.net/
Software For The Coleco ADAM (19xx)(-),ColecoVision ADAM,US English,5.00 (1 votes),57.9 kB,https://www.romsgames.net/colecovision-adam-rom-software-for-the-coleco-adam-19xx-/,https://www.romsgames.net/
"Adventure (1986)(Greenberg, Steven)",ColecoVision ADAM,US English,5.00 (1 votes),62.3 kB,https://www.romsgames.net/colecovision-adam-rom-adventure-1986greenberg-steven/,https://www.romsgames.net/
Megadisk 1 (19xx)(Coleco - LMI),ColecoVision ADAM,US English,5.00 (1 votes),31.1 kB,https://www.romsgames.net/colecovision-adam-rom-megadisk-1-19xxcoleco---lmi/,https://www.romsgames.net/
Super Subroc (1984)(Sega - Coleco),ColecoVision ADAM,US English,5.00 (1 votes),69.4 kB,https://www.romsgames.net/colecovision-adam-rom-super-subroc-1984sega---coleco/,https://www.romsgames.net/
Temple Of Apshai (1985)(Epyx)[h],ColecoVision ADAM,US English,5.00 (1 votes),31.7 kB,https://www.romsgames.net/colecovision-adam-rom-temple-of-apshai-1985epyxh/,https://www.romsgames.net/
"Circus (1984)(Setera, Craig - Lowe, N.J.)",ColecoVision ADAM,US English,5.00 (1 votes),3.38 kB,https://www.romsgames.net/colecovision-adam-rom-circus-1984setera-craig---lowe-nj/,https://www.romsgames.net/
Adam Links Golf (1986)(Superior Software),ColecoVision ADAM,US English,5.00 (1 votes),40.1 kB,https://www.romsgames.net/colecovision-adam-rom-adam-links-golf-1986superior-software/,https://www.romsgames.net/
Hangman (1985)(Mix Software),ColecoVision ADAM,US English,5.00 (1 votes),16.2 kB,https://www.romsgames.net/colecovision-adam-rom-hangman-1985mix-software/,https://www.romsgames.net/
"3D Maze (19xx)(Apps, Vince - Lowe, N.J.)",ColecoVision ADAM,US English,5.00 (1 votes),2.95 kB,https://www.romsgames.net/colecovision-adam-rom-3d-maze-19xxapps-vince---lowe-nj/,https://www.romsgames.net/
"Battle Ship (198x)(Pressler, Samuel)",ColecoVision ADAM,US English,5.00 (1 votes),2.72 kB,https://www.romsgames.net/colecovision-adam-rom-battle-ship-198xpressler-samuel/,https://www.romsgames.net/
"General Hospital (19xx)(Rasch, Robert W.)",ColecoVision ADAM,US English,5.00 (1 votes),8.10 kB,https://www.romsgames.net/colecovision-adam-rom-general-hospital-19xxrasch-robert-w/,https://www.romsgames.net/
Chess (19xx)(-),ColecoVision ADAM,US English,5.00 (1 votes),31.4 kB,https://www.romsgames.net/colecovision-adam-rom-chess-19xx-/,https://www.romsgames.net/
"Jumping Jack (19xx)(Burger, Paul - Lowe, N.J.)",ColecoVision ADAM,US English,5.00 (1 votes),2.75 kB,https://www.romsgames.net/colecovision-adam-rom-jumping-jack-19xxburger-paul---lowe-nj/,https://www.romsgames.net/
"Minefield (19xx)(Lowe, N.J.)",ColecoVision ADAM,US English,5.00 (1 votes),3.41 kB,https://www.romsgames.net/colecovision-adam-rom-minefield-19xxlowe-nj/,https://www.romsgames.net/
