name,console,region,rating,size,link,site
Sex_games,Commodore 64,US English,4.35 (37 votes),33.7 kB,https://www.romsgames.net/commodore-64-rom-sex-games/,https://www.romsgames.net/
Bubble Bobble (Europe),Commodore 64,Europe,3.60 (5 votes),6.91 kB,https://www.romsgames.net/commodore-64-rom-bubble-bobble-europe/,https://www.romsgames.net/
"Bruce Lee (USA, Europe) (Alt 1)",Commodore 64,US English,4.30 (10 votes),7.51 kB,https://www.romsgames.net/commodore-64-rom-bruce-lee-usa-europe-alt-1/,https://www.romsgames.net/
"1943 - The Battle Of Midway (USA, Europe)",Commodore 64,US English,5.00 (3 votes),9.16 kB,https://www.romsgames.net/commodore-64-rom-1943---the-battle-of-midway-usa-europe/,https://www.romsgames.net/
Green Beret (Europe),Commodore 64,Europe,2.00 (1 votes),6.56 kB,https://www.romsgames.net/commodore-64-rom-green-beret-europe/,https://www.romsgames.net/
"Ghostbusters (USA, Europe)",Commodore 64,US English,2.00 (1 votes),8.95 kB,https://www.romsgames.net/commodore-64-rom-ghostbusters-usa-europe/,https://www.romsgames.net/
"Wonderboy (USA, Europe)",Commodore 64,US English,5.00 (2 votes),9.12 kB,https://www.romsgames.net/commodore-64-rom-wonderboy-usa-europe/,https://www.romsgames.net/
Spy Vs Spy III - Arctic Antics (Vorpal),Commodore 64,US English,5.00 (3 votes),8.90 kB,https://www.romsgames.net/commodore-64-rom-spy-vs-spy-iii---arctic-antics-vorpal/,https://www.romsgames.net/
"Lode Runner (USA, Europe)",Commodore 64,US English,5.00 (1 votes),9.43 kB,https://www.romsgames.net/commodore-64-rom-lode-runner-usa-europe/,https://www.romsgames.net/
Barbarian - The Ultimate Warrior (Europe) (Side 1),Commodore 64,US English,3.83 (6 votes),5.48 kB,https://www.romsgames.net/commodore-64-rom-barbarian---the-ultimate-warrior-europe-side-1/,https://www.romsgames.net/
Hacker,Commodore 64,US English,1.00 (1 votes),9.44 kB,https://www.romsgames.net/commodore-64-rom-hacker/,https://www.romsgames.net/
"Montezuma's Revenge (USA, Europe)",Commodore 64,US English,5.00 (1 votes),5.68 kB,https://www.romsgames.net/commodore-64-rom-montezumas-revenge-usa-europe/,https://www.romsgames.net/
"Impossible Mission (USA, Europe)",Commodore 64,US English,5.00 (1 votes),8.42 kB,https://www.romsgames.net/commodore-64-rom-impossible-mission-usa-europe/,https://www.romsgames.net/
"Simpsons Arcade Game, The (Side 1)",Commodore 64,US English,1.00 (1 votes),9.43 kB,https://www.romsgames.net/commodore-64-rom-simpsons-arcade-game-the-side-1/,https://www.romsgames.net/
Street Fighter,Commodore 64,US English,4.00 (1 votes),7.96 kB,https://www.romsgames.net/commodore-64-rom-street-fighter/,https://www.romsgames.net/
"Pac-Man (USA, Europe) (Budget)",Commodore 64,US English,5.00 (1 votes),6.51 kB,https://www.romsgames.net/commodore-64-rom-pac-man-usa-europe-budget/,https://www.romsgames.net/
"Arkanoid - Revenge Of Doh (USA, Europe)",Commodore 64,US English,5.00 (1 votes),6.01 kB,https://www.romsgames.net/commodore-64-rom-arkanoid---revenge-of-doh-usa-europe/,https://www.romsgames.net/
Teenage Mutant Ninja Turtles - The Arcade Game (Side 1),Commodore 64,US English,5.00 (3 votes),5.08 kB,https://www.romsgames.net/commodore-64-rom-teenage-mutant-ninja-turtles---the-arcade-game-side-1/,https://www.romsgames.net/
Commando,Commodore 64,US English,5.00 (1 votes),8.77 kB,https://www.romsgames.net/commodore-64-rom-commando/,https://www.romsgames.net/
"Summer Games (USA, Europe)",Commodore 64,US English,5.00 (1 votes),6.79 kB,https://www.romsgames.net/commodore-64-rom-summer-games-usa-europe/,https://www.romsgames.net/
Mario,Commodore 64,US English,1.00 (2 votes),15.2 kB,https://www.romsgames.net/commodore-64-rom-mario/,https://www.romsgames.net/
"Frogger (USA, Europe)",Commodore 64,US English,5.00 (1 votes),9.04 kB,https://www.romsgames.net/commodore-64-rom-frogger-usa-europe/,https://www.romsgames.net/
"Alien (USA, Europe)",Commodore 64,US English,3.00 (2 votes),7.36 kB,https://www.romsgames.net/commodore-64-rom-alien-usa-europe/,https://www.romsgames.net/
Paperboy,Commodore 64,US English,5.00 (1 votes),8.03 kB,https://www.romsgames.net/commodore-64-rom-paperboy/,https://www.romsgames.net/
Aztec Challenge,Commodore 64,US English,5.00 (1 votes),7.48 kB,https://www.romsgames.net/commodore-64-rom-aztec-challenge/,https://www.romsgames.net/
Mariobros,Commodore 64,US English,5.00 (1 votes),11.3 kB,https://www.romsgames.net/commodore-64-rom-mariobros/,https://www.romsgames.net/
Rambo III - The Rescue,Commodore 64,US English,1.00 (1 votes),7.34 kB,https://www.romsgames.net/commodore-64-rom-rambo-iii---the-rescue/,https://www.romsgames.net/
"Transformers, The - Battle To Save The Earth (USA, Europe) (Side 1)",Commodore 64,US English,5.00 (1 votes),6.82 kB,https://www.romsgames.net/commodore-64-rom-transformers-the---battle-to-save-the-earth-usa-europe-side-1/,https://www.romsgames.net/
"Simpsons Arcade Game, The (Side 2)",Commodore 64,US English,5.00 (1 votes),5.56 kB,https://www.romsgames.net/commodore-64-rom-simpsons-arcade-game-the-side-2/,https://www.romsgames.net/
"Winter Games (USA, Europe) (Alt 1) (Side 1)",Commodore 64,US English,1.00 (1 votes),9.04 kB,https://www.romsgames.net/commodore-64-rom-winter-games-usa-europe-alt-1-side-1/,https://www.romsgames.net/
Great_giana_sisters,Commodore 64,US English,5.00 (1 votes),58.0 kB,https://www.romsgames.net/commodore-64-rom-great-giana-sisters/,https://www.romsgames.net/
"Zorro (USA, Europe)",Commodore 64,US English,3.00 (2 votes),6.13 kB,https://www.romsgames.net/commodore-64-rom-zorro-usa-europe/,https://www.romsgames.net/
Ghosts_n_Goblins.Elite.+5mhp-REM,Commodore 64,US English,5.00 (1 votes),36.0 kB,https://www.romsgames.net/commodore-64-rom-ghosts-n-goblinselite5mhp-rem/,https://www.romsgames.net/
Sex_Games.Landisoft.+2d-REM,Commodore 64,US English,5.00 (1 votes),17.5 kB,https://www.romsgames.net/commodore-64-rom-sex-gameslandisoft2d-rem/,https://www.romsgames.net/
"Winter Games (USA, Europe) (Alt 1) (Side 2)",Commodore 64,US English,5.00 (1 votes),7.46 kB,https://www.romsgames.net/commodore-64-rom-winter-games-usa-europe-alt-1-side-2/,https://www.romsgames.net/
"Paradroid (USA, Europe) (Budget)",Commodore 64,US English,5.00 (1 votes),6.56 kB,https://www.romsgames.net/commodore-64-rom-paradroid-usa-europe-budget/,https://www.romsgames.net/
Skate Or Die! (Europe) (Side 1),Commodore 64,Europe,5.00 (1 votes),6.43 kB,https://www.romsgames.net/commodore-64-rom-skate-or-die-europe-side-1/,https://www.romsgames.net/
"10 Top Classics (USA, Europe) (Compilation) (Side 1)",Commodore 64,US English,5.00 (1 votes),8.59 kB,https://www.romsgames.net/commodore-64-rom-10-top-classics-usa-europe-compilation-side-1/,https://www.romsgames.net/
1942,Commodore 64,US English,5.00 (1 votes),36.7 kB,https://www.romsgames.net/commodore-64-rom-1942/,https://www.romsgames.net/
"Addams Family, The (USA, Europe)",Commodore 64,US English,5.00 (1 votes),8.70 kB,https://www.romsgames.net/commodore-64-rom-addams-family-the-usa-europe/,https://www.romsgames.net/
Boulderdash_12.No_One.RCC,Commodore 64,US English,5.00 (1 votes),20.9 kB,https://www.romsgames.net/commodore-64-rom-boulderdash-12no-onercc/,https://www.romsgames.net/
Digdug,Commodore 64,US English,5.00 (1 votes),13.0 kB,https://www.romsgames.net/commodore-64-rom-digdug/,https://www.romsgames.net/
River_Raid.Activision.CRT-original,Commodore 64,US English,5.00 (1 votes),8.57 kB,https://www.romsgames.net/commodore-64-rom-river-raidactivisioncrt-original/,https://www.romsgames.net/
"Zork I - The Great Underground Empire (USA, Europe) (R52) (C128) (Side 1)",Commodore 64,US English,5.00 (1 votes),9.12 kB,https://www.romsgames.net/commodore-64-rom-zork-i---the-great-underground-empire-usa-europe-r52-c128-side-1/,https://www.romsgames.net/
Mariobros2,Commodore 64,US English,5.00 (1 votes),32.8 kB,https://www.romsgames.net/commodore-64-rom-mariobros2/,https://www.romsgames.net/
Ghostbusters_2,Commodore 64,US English,5.00 (1 votes),140 kB,https://www.romsgames.net/commodore-64-rom-ghostbusters-2/,https://www.romsgames.net/
Hawkeye (Europe) (Thalamus Hits 1986-1988 Compilation) (Side 1),Commodore 64,Europe,5.00 (1 votes),7.32 kB,https://www.romsgames.net/commodore-64-rom-hawkeye-europe-thalamus-hits-1986-1988-compilation-side-1/,https://www.romsgames.net/
California_Games_copy2.Epyx.ESI,Commodore 64,US English,5.00 (1 votes),220 kB,https://www.romsgames.net/commodore-64-rom-california-games-copy2epyxesi/,https://www.romsgames.net/
Gyruss,Commodore 64,US English,5.00 (1 votes),13.3 kB,https://www.romsgames.net/commodore-64-rom-gyruss/,https://www.romsgames.net/
Boulderdash_06.No_One.RCC,Commodore 64,US English,5.00 (1 votes),21.3 kB,https://www.romsgames.net/commodore-64-rom-boulderdash-06no-onercc/,https://www.romsgames.net/
Return_of_the_jedi,Commodore 64,US English,5.00 (1 votes),45.3 kB,https://www.romsgames.net/commodore-64-rom-return-of-the-jedi/,https://www.romsgames.net/
"X-Men - Madness In Murderworld (USA, Europe) (Side 1)",Commodore 64,US English,5.00 (1 votes),8.79 kB,https://www.romsgames.net/commodore-64-rom-x-men---madness-in-murderworld-usa-europe-side-1/,https://www.romsgames.net/
Karateka_c2.Broderbund,Commodore 64,US English,5.00 (1 votes),83.4 kB,https://www.romsgames.net/commodore-64-rom-karateka-c2broderbund/,https://www.romsgames.net/
Robocop_2.Ocean.+2-3532,Commodore 64,US English,5.00 (1 votes),113 kB,https://www.romsgames.net/commodore-64-rom-robocop-2ocean2-3532/,https://www.romsgames.net/
Toki,Commodore 64,US English,5.00 (1 votes),124 kB,https://www.romsgames.net/commodore-64-rom-toki/,https://www.romsgames.net/
Zak McKracken And The Alien Mindbenders (Germany) (Side 2),Commodore 64,US English,2.50 (2 votes),6.51 kB,https://www.romsgames.net/commodore-64-rom-zak-mckracken-and-the-alien-mindbenders-germany-side-2/,https://www.romsgames.net/
