name,console,region,rating,size,link,site
"Donkey Kong (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),11.6 kB,https://www.romsgames.net/commodore-vic20-rom-donkey-kong-japan-usa/,https://www.romsgames.net/
Pac-Man (World),Commodore VIC20,US English,5.00 (3 votes),5.34 kB,https://www.romsgames.net/commodore-vic20-rom-pac-man-world/,https://www.romsgames.net/
Galaxian (World),Commodore VIC20,US English,5.00 (1 votes),4.14 kB,https://www.romsgames.net/commodore-vic20-rom-galaxian-world/,https://www.romsgames.net/
Submarine Commander (World),Commodore VIC20,US English,5.00 (1 votes),9.84 kB,https://www.romsgames.net/commodore-vic20-rom-submarine-commander-world/,https://www.romsgames.net/
VIC Radar Rat Race (Europe),Commodore VIC20,US English,5.00 (1 votes),6.12 kB,https://www.romsgames.net/commodore-vic20-rom-vic-radar-rat-race-europe/,https://www.romsgames.net/
Choplifter (Europe),Commodore VIC20,US English,5.00 (1 votes),5.51 kB,https://www.romsgames.net/commodore-vic20-rom-choplifter-europe/,https://www.romsgames.net/
[BIOS] Commodore VIC-20,Commodore VIC20,US English,5.00 (1 votes),15.2 kB,https://www.romsgames.net/commodore-vic20-rom-bios-commodore-vic-20/,https://www.romsgames.net/
"Gorf (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),6.22 kB,https://www.romsgames.net/commodore-vic20-rom-gorf-japan-usa/,https://www.romsgames.net/
"Frogger (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),4.48 kB,https://www.romsgames.net/commodore-vic20-rom-frogger-japan-usa/,https://www.romsgames.net/
"Omega Race (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),6.09 kB,https://www.romsgames.net/commodore-vic20-rom-omega-race-japan-usa/,https://www.romsgames.net/
"Jelly Monsters (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),5.60 kB,https://www.romsgames.net/commodore-vic20-rom-jelly-monsters-japan-usa/,https://www.romsgames.net/
"Jupiter Lander (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),4.26 kB,https://www.romsgames.net/commodore-vic20-rom-jupiter-lander-japan-usa/,https://www.romsgames.net/
"Ms. Pac-Man (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),9.90 kB,https://www.romsgames.net/commodore-vic20-rom-ms-pac-man-japan-usa/,https://www.romsgames.net/
Adventureland Adventure (World) (SYS 32592),Commodore VIC20,US English,5.00 (1 votes),10.4 kB,https://www.romsgames.net/commodore-vic20-rom-adventureland-adventure-world-sys-32592/,https://www.romsgames.net/
Pirate's Cove Adventure (World) (SYS 32592),Commodore VIC20,US English,5.00 (1 votes),10.2 kB,https://www.romsgames.net/commodore-vic20-rom-pirates-cove-adventure-world-sys-32592/,https://www.romsgames.net/
"Moon Patrol (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),10.5 kB,https://www.romsgames.net/commodore-vic20-rom-moon-patrol-japan-usa/,https://www.romsgames.net/
Lode Runner (World),Commodore VIC20,US English,5.00 (1 votes),9.80 kB,https://www.romsgames.net/commodore-vic20-rom-lode-runner-world/,https://www.romsgames.net/
"Centipede (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),9.32 kB,https://www.romsgames.net/commodore-vic20-rom-centipede-japan-usa/,https://www.romsgames.net/
Defender (World) (v1.1),Commodore VIC20,US English,5.00 (1 votes),8.91 kB,https://www.romsgames.net/commodore-vic20-rom-defender-world-v11/,https://www.romsgames.net/
E.T. - The Extra Terrestrial (Europe),Commodore VIC20,US English,5.00 (1 votes),5.52 kB,https://www.romsgames.net/commodore-vic20-rom-et---the-extra-terrestrial-europe/,https://www.romsgames.net/
Mission Impossible Adventure (World) (SYS 32592),Commodore VIC20,US English,5.00 (1 votes),9.89 kB,https://www.romsgames.net/commodore-vic20-rom-mission-impossible-adventure-world-sys-32592/,https://www.romsgames.net/
Gridrunner (Europe),Commodore VIC20,US English,5.00 (1 votes),3.02 kB,https://www.romsgames.net/commodore-vic20-rom-gridrunner-europe/,https://www.romsgames.net/
"Pole Position (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),9.23 kB,https://www.romsgames.net/commodore-vic20-rom-pole-position-japan-usa/,https://www.romsgames.net/
Cosmic Cruncher (World),Commodore VIC20,US English,5.00 (1 votes),5.80 kB,https://www.romsgames.net/commodore-vic20-rom-cosmic-cruncher-world/,https://www.romsgames.net/
"Q-bert (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),5.23 kB,https://www.romsgames.net/commodore-vic20-rom-q-bert-japan-usa/,https://www.romsgames.net/
"Avenger (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),6.01 kB,https://www.romsgames.net/commodore-vic20-rom-avenger-japan-usa/,https://www.romsgames.net/
Voodoo Castle Adventure (World) (SYS 32592),Commodore VIC20,US English,5.00 (1 votes),10.3 kB,https://www.romsgames.net/commodore-vic20-rom-voodoo-castle-adventure-world-sys-32592/,https://www.romsgames.net/
Pinball (Europe),Commodore VIC20,US English,5.00 (1 votes),7.97 kB,https://www.romsgames.net/commodore-vic20-rom-pinball-europe/,https://www.romsgames.net/
Arcadia (Europe),Commodore VIC20,US English,5.00 (1 votes),6.36 kB,https://www.romsgames.net/commodore-vic20-rom-arcadia-europe/,https://www.romsgames.net/
Pharaoh's Curse (World),Commodore VIC20,US English,5.00 (1 votes),11.1 kB,https://www.romsgames.net/commodore-vic20-rom-pharaohs-curse-world/,https://www.romsgames.net/
Demon Attack (Europe),Commodore VIC20,US English,5.00 (1 votes),3.56 kB,https://www.romsgames.net/commodore-vic20-rom-demon-attack-europe/,https://www.romsgames.net/
Raid On Fort Knox (World),Commodore VIC20,US English,5.00 (1 votes),4.60 kB,https://www.romsgames.net/commodore-vic20-rom-raid-on-fort-knox-world/,https://www.romsgames.net/
Attack Of The Mutant Camels (World),Commodore VIC20,US English,5.00 (1 votes),5.71 kB,https://www.romsgames.net/commodore-vic20-rom-attack-of-the-mutant-camels-world/,https://www.romsgames.net/
"Count Adventure, The (World) (SYS 32592)",Commodore VIC20,US English,5.00 (1 votes),10.4 kB,https://www.romsgames.net/commodore-vic20-rom-count-adventure-the-world-sys-32592/,https://www.romsgames.net/
Tutankham (World),Commodore VIC20,US English,5.00 (1 votes),6.93 kB,https://www.romsgames.net/commodore-vic20-rom-tutankham-world/,https://www.romsgames.net/
[BIOS] Commodore VIC-20 (Europe),Commodore VIC20,US English,5.00 (1 votes),15.2 kB,https://www.romsgames.net/commodore-vic20-rom-bios-commodore-vic-20-europe/,https://www.romsgames.net/
"Road Race (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),3.60 kB,https://www.romsgames.net/commodore-vic20-rom-road-race-japan-usa/,https://www.romsgames.net/
Miner 2049'er (Europe),Commodore VIC20,US English,5.00 (1 votes),6.22 kB,https://www.romsgames.net/commodore-vic20-rom-miner-2049er-europe/,https://www.romsgames.net/
Buck Rogers - Planet Of Zoom (World),Commodore VIC20,US English,5.00 (1 votes),8.20 kB,https://www.romsgames.net/commodore-vic20-rom-buck-rogers---planet-of-zoom-world/,https://www.romsgames.net/
"Sea Wolf (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),4.36 kB,https://www.romsgames.net/commodore-vic20-rom-sea-wolf-japan-usa/,https://www.romsgames.net/
"Shamus (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),5.46 kB,https://www.romsgames.net/commodore-vic20-rom-shamus-japan-usa/,https://www.romsgames.net/
Ape Escape (World),Commodore VIC20,US English,5.00 (1 votes),5.84 kB,https://www.romsgames.net/commodore-vic20-rom-ape-escape-world/,https://www.romsgames.net/
"Jungle Hunt (Japan, USA)",Commodore VIC20,US English,5.00 (1 votes),10.8 kB,https://www.romsgames.net/commodore-vic20-rom-jungle-hunt-japan-usa/,https://www.romsgames.net/
Spiders Of Mars (Europe),Commodore VIC20,US English,5.00 (1 votes),5.49 kB,https://www.romsgames.net/commodore-vic20-rom-spiders-of-mars-europe/,https://www.romsgames.net/
