name,console,region,rating,size,link,site
"Galactic Space Wars, Lunar Lander",Fairchild Channel F,US English,5.00 (1 votes),1.76 kB,https://www.romsgames.net/fairchild-channel-f-rom-galactic-space-wars-lunar-lander/,https://www.romsgames.net/
Pinball Challenge,Fairchild Channel F,US English,5.00 (1 votes),1.93 kB,https://www.romsgames.net/fairchild-channel-f-rom-pinball-challenge/,https://www.romsgames.net/
Drag Race,Fairchild Channel F,US English,5.00 (1 votes),1.40 kB,https://www.romsgames.net/fairchild-channel-f-rom-drag-race/,https://www.romsgames.net/
Slot Machine,Fairchild Channel F,US English,5.00 (1 votes),1.49 kB,https://www.romsgames.net/fairchild-channel-f-rom-slot-machine/,https://www.romsgames.net/
Baseball,Fairchild Channel F,US English,5.00 (1 votes),1.62 kB,https://www.romsgames.net/fairchild-channel-f-rom-baseball/,https://www.romsgames.net/
"Robot War, Torpedo Alley",Fairchild Channel F,US English,5.00 (1 votes),1.74 kB,https://www.romsgames.net/fairchild-channel-f-rom-robot-war-torpedo-alley/,https://www.romsgames.net/
Dodge It,Fairchild Channel F,US English,5.00 (1 votes),1.71 kB,https://www.romsgames.net/fairchild-channel-f-rom-dodge-it/,https://www.romsgames.net/
Checkers,Fairchild Channel F,US English,5.00 (1 votes),1.55 kB,https://www.romsgames.net/fairchild-channel-f-rom-checkers/,https://www.romsgames.net/
"Maze, Jailbreak, Blind-man's-bluff, Trailblazer",Fairchild Channel F,US English,2.00 (1 votes),1.88 kB,https://www.romsgames.net/fairchild-channel-f-rom-maze-jailbreak-blind-mans-bluff-trailblazer/,https://www.romsgames.net/
"Backgammon, Acey-Deucey",Fairchild Channel F,US English,5.00 (1 votes),1.40 kB,https://www.romsgames.net/fairchild-channel-f-rom-backgammon-acey-deucey/,https://www.romsgames.net/
Math Quiz I - Addition + Subtraction,Fairchild Channel F,US English,5.00 (1 votes),1.40 kB,https://www.romsgames.net/fairchild-channel-f-rom-math-quiz-i---addition-subtraction/,https://www.romsgames.net/
Memory Match 1 &amp; 2,Fairchild Channel F,US English,5.00 (1 votes),1.57 kB,https://www.romsgames.net/fairchild-channel-f-rom-memory-match-1-2/,https://www.romsgames.net/
Demonstration Cartridge 2,Fairchild Channel F,US English,5.00 (1 votes),1.68 kB,https://www.romsgames.net/fairchild-channel-f-rom-demonstration-cartridge-2/,https://www.romsgames.net/
Rat' Mal (Germany),Fairchild Channel F,US English,5.00 (1 votes),2.99 kB,https://www.romsgames.net/fairchild-channel-f-rom-rat-mal-germany/,https://www.romsgames.net/
