name,console,region,rating,size,link,site
Space Wars (1982),GCE Vectrex,US English,5.00 (1 votes),3.26 kB,https://www.romsgames.net/gce-vectrex-rom-space-wars-1982/,https://www.romsgames.net/
Pole Position (1982),GCE Vectrex,US English,5.00 (1 votes),6.20 kB,https://www.romsgames.net/gce-vectrex-rom-pole-position-1982/,https://www.romsgames.net/
3-D Mine Storm (1983),GCE Vectrex,US English,5.00 (1 votes),5.51 kB,https://www.romsgames.net/gce-vectrex-rom-3-d-mine-storm-1983/,https://www.romsgames.net/
Berzerk (1982),GCE Vectrex,US English,5.00 (1 votes),3.92 kB,https://www.romsgames.net/gce-vectrex-rom-berzerk-1982/,https://www.romsgames.net/
Star Trek - The Motion Picture (1982),GCE Vectrex,US English,5.00 (1 votes),5.15 kB,https://www.romsgames.net/gce-vectrex-rom-star-trek---the-motion-picture-1982/,https://www.romsgames.net/
[BIOS] GCE Vectrex (World),GCE Vectrex,US English,5.00 (1 votes),1.40 kB,https://www.romsgames.net/gce-vectrex-rom-bios-gce-vectrex-world/,https://www.romsgames.net/
Armor Attack (1982),GCE Vectrex,US English,5.00 (1 votes),4.02 kB,https://www.romsgames.net/gce-vectrex-rom-armor-attack-1982/,https://www.romsgames.net/
"Scramble (USA, Europe)",GCE Vectrex,US English,5.00 (1 votes),1.40 kB,https://www.romsgames.net/gce-vectrex-rom-scramble-usa-europe/,https://www.romsgames.net/
3-D Crazy Coaster (1983),GCE Vectrex,US English,5.00 (1 votes),5.89 kB,https://www.romsgames.net/gce-vectrex-rom-3-d-crazy-coaster-1983/,https://www.romsgames.net/
Star Castle (1983),GCE Vectrex,US English,5.00 (1 votes),3.61 kB,https://www.romsgames.net/gce-vectrex-rom-star-castle-1983/,https://www.romsgames.net/
Scramble (1982),GCE Vectrex,US English,5.00 (1 votes),3.66 kB,https://www.romsgames.net/gce-vectrex-rom-scramble-1982/,https://www.romsgames.net/
Spike (1983),GCE Vectrex,US English,5.00 (1 votes),6.98 kB,https://www.romsgames.net/gce-vectrex-rom-spike-1983/,https://www.romsgames.net/
