name,console,region,rating,size,link,site
"Tenis (1985-02-07)(Balint, Nenad)(YU)",Galaksija,US English,5.00 (1 votes),1.67 kB,https://www.romsgames.net/galaksija-rom-tenis-1985-02-07balint-nenadyu/,https://www.romsgames.net/
"Snake 2 (1987-04-05)(Vujkov, Dragan)(YU)",Galaksija,US English,5.00 (1 votes),1.38 kB,https://www.romsgames.net/galaksija-rom-snake-2-1987-04-05vujkov-draganyu/,https://www.romsgames.net/
Maze (19xx)(-)(YU),Galaksija,US English,5.00 (1 votes),1.47 kB,https://www.romsgames.net/galaksija-rom-maze-19xx-yu/,https://www.romsgames.net/
"Tetris (1988-07-21)(Obradovic, Dragoljub)(YU)(en)",Galaksija,US English,5.00 (1 votes),2.31 kB,https://www.romsgames.net/galaksija-rom-tetris-1988-07-21obradovic-dragoljubyuen/,https://www.romsgames.net/
"Dijamantski Rudnik (1985)(Balint, Nenad)(YU)",Galaksija,US English,5.00 (1 votes),1.97 kB,https://www.romsgames.net/galaksija-rom-dijamantski-rudnik-1985balint-nenadyu/,https://www.romsgames.net/
"Galakticki Rat (1985)(Voja, Antonic)(YU)",Galaksija,US English,5.00 (1 votes),2.05 kB,https://www.romsgames.net/galaksija-rom-galakticki-rat-1985voja-antonicyu/,https://www.romsgames.net/
"SvemirskiTrgovac (198x)(Vitanov, Ilija)(YU)",Galaksija,US English,5.00 (1 votes),2.10 kB,https://www.romsgames.net/galaksija-rom-svemirskitrgovac-198xvitanov-ilijayu/,https://www.romsgames.net/
Formula 1 (19xx)(-)(YU),Galaksija,US English,5.00 (1 votes),1.11 kB,https://www.romsgames.net/galaksija-rom-formula-1-19xx-yu/,https://www.romsgames.net/
"Light Show (1987)(Vujkov, Dragan)(YU)",Galaksija,US English,5.00 (1 votes),1.02 kB,https://www.romsgames.net/galaksija-rom-light-show-1987vujkov-draganyu/,https://www.romsgames.net/
"Zamak (1984-03-15)(Voja, Antonic)(YU)",Galaksija,US English,5.00 (1 votes),2.48 kB,https://www.romsgames.net/galaksija-rom-zamak-1984-03-15voja-antonicyu/,https://www.romsgames.net/
"Blade Alley (1985)(Halilovic, Jasmin)(YU)",Galaksija,US English,5.00 (1 votes),1.63 kB,https://www.romsgames.net/galaksija-rom-blade-alley-1985halilovic-jasminyu/,https://www.romsgames.net/
Light Cycles 2 (19xx)(-)(YU),Galaksija,US English,5.00 (1 votes),1.30 kB,https://www.romsgames.net/galaksija-rom-light-cycles-2-19xx-yu/,https://www.romsgames.net/
Memorija (19xx)(-)(YU),Galaksija,US English,5.00 (1 votes),1.59 kB,https://www.romsgames.net/galaksija-rom-memorija-19xx-yu/,https://www.romsgames.net/
"Slalom 2 (1985)(Gerovac, Zeljko)(YU)",Galaksija,US English,5.00 (1 votes),1.01 kB,https://www.romsgames.net/galaksija-rom-slalom-2-1985gerovac-zeljkoyu/,https://www.romsgames.net/
"Mastermajnd (1984-04-07)(Ristanovic, Dejan)(YU)",Galaksija,US English,5.00 (1 votes),1.54 kB,https://www.romsgames.net/galaksija-rom-mastermajnd-1984-04-07ristanovic-dejanyu/,https://www.romsgames.net/
Zvjezdane Staze (1985)(-)(YU),Galaksija,US English,5.00 (1 votes),3.33 kB,https://www.romsgames.net/galaksija-rom-zvjezdane-staze-1985-yu/,https://www.romsgames.net/
"Bombarder (19xx)(Balint, Nenad)(YU)",Galaksija,US English,5.00 (1 votes),1.43 kB,https://www.romsgames.net/galaksija-rom-bombarder-19xxbalint-nenadyu/,https://www.romsgames.net/
Egemond (19xx)(-)(YU),Galaksija,US English,5.00 (1 votes),1.61 kB,https://www.romsgames.net/galaksija-rom-egemond-19xx-yu/,https://www.romsgames.net/
"Four (1986-01-01)(Vujkov, Dragan)(YU)",Galaksija,US English,5.00 (1 votes),1.34 kB,https://www.romsgames.net/galaksija-rom-four-1986-01-01vujkov-draganyu/,https://www.romsgames.net/
Manic Miner (19xx)(-)(YU),Galaksija,US English,5.00 (1 votes),2.20 kB,https://www.romsgames.net/galaksija-rom-manic-miner-19xx-yu/,https://www.romsgames.net/
Scater (19xx)(-)(YU),Galaksija,US English,5.00 (1 votes),1.10 kB,https://www.romsgames.net/galaksija-rom-scater-19xx-yu/,https://www.romsgames.net/
"Jumping Jack (1985)(Voja, Antonic)(YU)",Galaksija,US English,5.00 (1 votes),1.81 kB,https://www.romsgames.net/galaksija-rom-jumping-jack-1985voja-antonicyu/,https://www.romsgames.net/
Zid (1984)(GAC Software)(YU),Galaksija,US English,5.00 (1 votes),1.71 kB,https://www.romsgames.net/galaksija-rom-zid-1984gac-softwareyu/,https://www.romsgames.net/
Bioritam (1984)(Galaxy Computer)(YU),Galaksija,US English,5.00 (1 votes),2.01 kB,https://www.romsgames.net/galaksija-rom-bioritam-1984galaxy-computeryu/,https://www.romsgames.net/
"Highres (2009-01-22)(Solc, Tomaz)",Galaksija,US English,5.00 (1 votes),2.02 kB,https://www.romsgames.net/galaksija-rom-highres-2009-01-22solc-tomaz/,https://www.romsgames.net/
"Igra Diskova (1985)(Mihailovic, Vojislav)(YU)",Galaksija,US English,5.00 (1 votes),1.24 kB,https://www.romsgames.net/galaksija-rom-igra-diskova-1985mihailovic-vojislavyu/,https://www.romsgames.net/
