name,console,region,rating,size,link,site
Super Smash Bros. Melee,GameCube,US English,"4.09 (1,777 votes)",968 MB,https://www.romsgames.net/gamecube-rom-super-smash-bros-melee/,https://www.romsgames.net/
Super Mario Sunshine,GameCube,US English,"4.15 (1,624 votes)",691 MB,https://www.romsgames.net/gamecube-rom-super-mario-sunshine/,https://www.romsgames.net/
"Legend of Zelda, The: The Wind Waker",GameCube,US English,"4.05 (1,107 votes)",748 MB,https://www.romsgames.net/gamecube-rom-legend-of-zelda-the-the-wind-waker/,https://www.romsgames.net/
Mario Kart: Double Dash!!,GameCube,US English,"4.11 (1,171 votes)",342 MB,https://www.romsgames.net/gamecube-rom-mario-kart-double-dash/,https://www.romsgames.net/
"Legend of Zelda, The: Twilight Princess",GameCube,US English,4.03 (967 votes),710 MB,https://www.romsgames.net/gamecube-rom-legend-of-zelda-the-twilight-princess/,https://www.romsgames.net/
Need for Speed: Most Wanted,GameCube,US English,"4.20 (1,255 votes)",934 MB,https://www.romsgames.net/gamecube-rom-need-for-speed-most-wanted/,https://www.romsgames.net/
Luigi's Mansion,GameCube,US English,"4.07 (1,034 votes)",114 MB,https://www.romsgames.net/gamecube-rom-luigis-mansion/,https://www.romsgames.net/
Resident Evil 4  - Disc #1,GameCube,US English,"4.11 (1,507 votes)",916 MB,https://www.romsgames.net/gamecube-rom-resident-evil-4---disc-1/,https://www.romsgames.net/
"Simpsons, The: Hit &amp; Run",GameCube,US English,4.00 (822 votes),593 MB,https://www.romsgames.net/gamecube-rom-simpsons-the-hit-run/,https://www.romsgames.net/
Pokemon XD: Gale of Darkness,GameCube,US English,4.01 (621 votes),728 MB,https://www.romsgames.net/gamecube-rom-pokemon-xd-gale-of-darkness/,https://www.romsgames.net/
Super Mario Strikers,GameCube,US English,4.13 (574 votes),320 MB,https://www.romsgames.net/gamecube-rom-super-mario-strikers/,https://www.romsgames.net/
Paper Mario: The Thousand-Year Door,GameCube,US English,4.13 (450 votes),288 MB,https://www.romsgames.net/gamecube-rom-paper-mario-the-thousand-year-door/,https://www.romsgames.net/
Need for Speed: Underground 2,GameCube,US English,4.09 (613 votes),894 MB,https://www.romsgames.net/gamecube-rom-need-for-speed-underground-2/,https://www.romsgames.net/
Metroid Prime,GameCube,US English,4.20 (283 votes),901 MB,https://www.romsgames.net/gamecube-rom-metroid-prime/,https://www.romsgames.net/
Ultimate Spider-Man,GameCube,US English,4.04 (756 votes),822 MB,https://www.romsgames.net/gamecube-rom-ultimate-spider-man/,https://www.romsgames.net/
Sonic Heroes,GameCube,US English,4.22 (487 votes),890 MB,https://www.romsgames.net/gamecube-rom-sonic-heroes/,https://www.romsgames.net/
Mario Party 7,GameCube,US English,4.10 (220 votes),414 MB,https://www.romsgames.net/gamecube-rom-mario-party-7/,https://www.romsgames.net/
Pokemon Colosseum,GameCube,US English,4.14 (269 votes),426 MB,https://www.romsgames.net/gamecube-rom-pokemon-colosseum/,https://www.romsgames.net/
"Legend of Zelda, The: Ocarina of Time / Master Quest",GameCube,US English,4.15 (238 votes),790 MB,https://www.romsgames.net/gamecube-rom-legend-of-zelda-the-ocarina-of-time-master-quest/,https://www.romsgames.net/
Def Jam: Fight for NY,GameCube,US English,4.12 (377 votes),814 MB,https://www.romsgames.net/gamecube-rom-def-jam-fight-for-ny/,https://www.romsgames.net/
Animal Crossing,GameCube,US English,4.05 (333 votes),14.6 MB,https://www.romsgames.net/gamecube-rom-animal-crossing/,https://www.romsgames.net/
Sonic Adventure 2: Battle,GameCube,US English,4.18 (251 votes),1 GB,https://www.romsgames.net/gamecube-rom-sonic-adventure-2-battle/,https://www.romsgames.net/
Crash Bandicoot: The Wrath of Cortex,GameCube,US English,4.00 (320 votes),412 MB,https://www.romsgames.net/gamecube-rom-crash-bandicoot-the-wrath-of-cortex/,https://www.romsgames.net/
Fire Emblem: Path of Radiance,GameCube,US English,4.14 (146 votes),907 MB,https://www.romsgames.net/gamecube-rom-fire-emblem-path-of-radiance/,https://www.romsgames.net/
Resident Evil,GameCube,US English,4.22 (240 votes),657 MB,https://www.romsgames.net/gamecube-rom-resident-evil/,https://www.romsgames.net/
Shadow the Hedgehog,GameCube,US English,4.26 (230 votes),1.04 GB,https://www.romsgames.net/gamecube-rom-shadow-the-hedgehog/,https://www.romsgames.net/
Sonic Adventure DX: Director's Cut,GameCube,US English,4.09 (298 votes),1.05 GB,https://www.romsgames.net/gamecube-rom-sonic-adventure-dx-directors-cut/,https://www.romsgames.net/
"Legend of Zelda, The: Collector's Edition",GameCube,US English,4.22 (143 votes),749 MB,https://www.romsgames.net/gamecube-rom-legend-of-zelda-the-collectors-edition/,https://www.romsgames.net/
Metal Gear Solid: The Twin Snakes,GameCube,US English,4.18 (164 votes),1.15 GB,https://www.romsgames.net/gamecube-rom-metal-gear-solid-the-twin-snakes/,https://www.romsgames.net/
Sonic Riders,GameCube,US English,4.27 (173 votes),1.04 GB,https://www.romsgames.net/gamecube-rom-sonic-riders/,https://www.romsgames.net/
Dragon Ball Z: Budokai 2,GameCube,US English,4.19 (197 votes),646 MB,https://www.romsgames.net/gamecube-rom-dragon-ball-z-budokai-2/,https://www.romsgames.net/
Need for Speed: Carbon,GameCube,US English,4.20 (209 votes),1.02 GB,https://www.romsgames.net/gamecube-rom-need-for-speed-carbon/,https://www.romsgames.net/
Resident Evil 4,GameCube,US English,4.16 (326 votes),843 MB,https://www.romsgames.net/gamecube-rom-resident-evil-4/,https://www.romsgames.net/
Batman Begins,GameCube,US English,4.25 (283 votes),807 MB,https://www.romsgames.net/gamecube-rom-batman-begins/,https://www.romsgames.net/
"Legend of Zelda, The: Four Swords Adventures",GameCube,US English,4.28 (115 votes),165 MB,https://www.romsgames.net/gamecube-rom-legend-of-zelda-the-four-swords-adventures/,https://www.romsgames.net/
Hitman 2: Silent Assassin,GameCube,US English,4.14 (276 votes),670 MB,https://www.romsgames.net/gamecube-rom-hitman-2-silent-assassin/,https://www.romsgames.net/
Call of Duty 2: Big Red One,GameCube,US English,4.00 (253 votes),831 MB,https://www.romsgames.net/gamecube-rom-call-of-duty-2-big-red-one/,https://www.romsgames.net/
Mario Power Tennis,GameCube,US English,4.49 (109 votes),533 MB,https://www.romsgames.net/gamecube-rom-mario-power-tennis/,https://www.romsgames.net/
Metroid Prime 2: Echoes,GameCube,US English,4.33 (85 votes),1.04 GB,https://www.romsgames.net/gamecube-rom-metroid-prime-2-echoes/,https://www.romsgames.net/
Shonen Jump's One Piece: Grand Adventure,GameCube,US English,3.94 (250 votes),958 MB,https://www.romsgames.net/gamecube-rom-shonen-jumps-one-piece-grand-adventure/,https://www.romsgames.net/
Star Fox Adventures,GameCube,US English,4.26 (76 votes),438 MB,https://www.romsgames.net/gamecube-rom-star-fox-adventures/,https://www.romsgames.net/
Kirby Air Ride,GameCube,US English,4.25 (108 votes),586 MB,https://www.romsgames.net/gamecube-rom-kirby-air-ride/,https://www.romsgames.net/
Spider-Man 2,GameCube,US English,4.06 (174 votes),1.06 GB,https://www.romsgames.net/gamecube-rom-spider-man-2/,https://www.romsgames.net/
