name,console,region,rating,size,link,site
"Blue Angelo - Angels From The Shrine (Europe) (En,Fr,De,Es,It,Pt)",GamePark GP32,US English,5.00 (2 votes),7.58 MB,https://www.romsgames.net/gamepark-gp32-rom-blue-angelo---angels-from-the-shrine-europe-en-fr-de-es-it-pt/,https://www.romsgames.net/
[BIOS] GamePark GP32 (Europe) (v1.5.7),GamePark GP32,US English,5.00 (1 votes),207 kB,https://www.romsgames.net/gamepark-gp32-rom-bios-gamepark-gp32-europe-v157/,https://www.romsgames.net/
Princess Maker 2 (Korea),GamePark GP32,US English,5.00 (1 votes),8.95 MB,https://www.romsgames.net/gamepark-gp32-rom-princess-maker-2-korea/,https://www.romsgames.net/
Astonishia Story R (Korea),GamePark GP32,US English,1.50 (2 votes),26.3 MB,https://www.romsgames.net/gamepark-gp32-rom-astonishia-story-r-korea/,https://www.romsgames.net/
Dungeon &amp; Guarder - Dragon Gore (Europe),GamePark GP32,US English,5.00 (1 votes),7.11 MB,https://www.romsgames.net/gamepark-gp32-rom-dungeon-guarder---dragon-gore-europe/,https://www.romsgames.net/
Little Wizard (Europe),GamePark GP32,US English,5.00 (1 votes),7.02 MB,https://www.romsgames.net/gamepark-gp32-rom-little-wizard-europe/,https://www.romsgames.net/
"Tomak - Save The Earth, Again (Europe) (v1.0)",GamePark GP32,US English,5.00 (1 votes),4.66 MB,https://www.romsgames.net/gamepark-gp32-rom-tomak---save-the-earth-again-europe-v10/,https://www.romsgames.net/
Her Knights - All For Princess - Deadline (Korea),GamePark GP32,US English,5.00 (1 votes),6.54 MB,https://www.romsgames.net/gamepark-gp32-rom-her-knights---all-for-princess---deadline-korea/,https://www.romsgames.net/
GP Fight (Korea),GamePark GP32,US English,5.00 (1 votes),5.93 MB,https://www.romsgames.net/gamepark-gp32-rom-gp-fight-korea/,https://www.romsgames.net/
Kimchiman GP32 (Korea),GamePark GP32,US English,5.00 (1 votes),3.06 MB,https://www.romsgames.net/gamepark-gp32-rom-kimchiman-gp32-korea/,https://www.romsgames.net/
Woody &amp; Kunta - Treasure Island (Korea),GamePark GP32,US English,5.00 (1 votes),6.74 MB,https://www.romsgames.net/gamepark-gp32-rom-woody-kunta---treasure-island-korea/,https://www.romsgames.net/
"Little Girl Mill Of A Gingko, The (Korea)",GamePark GP32,US English,5.00 (1 votes),4.56 MB,https://www.romsgames.net/gamepark-gp32-rom-little-girl-mill-of-a-gingko-the-korea/,https://www.romsgames.net/
Hany Party Game (Korea),GamePark GP32,US English,5.00 (1 votes),2.32 MB,https://www.romsgames.net/gamepark-gp32-rom-hany-party-game-korea/,https://www.romsgames.net/
Therapy (Korea),GamePark GP32,US English,5.00 (1 votes),6.62 MB,https://www.romsgames.net/gamepark-gp32-rom-therapy-korea/,https://www.romsgames.net/
Tanggle's Magic Square (Korea),GamePark GP32,US English,5.00 (1 votes),3.82 MB,https://www.romsgames.net/gamepark-gp32-rom-tanggles-magic-square-korea/,https://www.romsgames.net/
