name,console,region,rating,size,link,site
Pokemon: Emerald Version,Gameboy Advance,US English,"3.88 (5,884 votes)",6.79 MB,https://www.romsgames.net/gameboy-advance-rom-pokemon-emerald-version/,https://www.romsgames.net/
Pokemon: FireRed Version,Gameboy Advance,US English,"3.96 (5,973 votes)",5.19 MB,https://www.romsgames.net/gameboy-advance-rom-pokemon-firered-version/,https://www.romsgames.net/
Pokemon Ultra Violet (1.22) LSA (Fire Red Hack),Gameboy Advance,US English,"3.89 (3,866 votes)",5.33 MB,https://www.romsgames.net/gameboy-advance-rom-pokemon-ultra-violet-122-lsa-fire-red-hack/,https://www.romsgames.net/
Super Mario Advance 2: Super Mario World,Gameboy Advance,US English,"3.93 (2,443 votes)",1.50 MB,https://www.romsgames.net/gameboy-advance-rom-super-mario-advance-2-super-mario-world/,https://www.romsgames.net/
"Legend of Zelda, The: The Minish Cap",Gameboy Advance,US English,"3.94 (1,717 votes)",7.25 MB,https://www.romsgames.net/gameboy-advance-rom-legend-of-zelda-the-the-minish-cap/,https://www.romsgames.net/
Pokemon: Ruby Version,Gameboy Advance,US English,"3.92 (1,512 votes)",4.81 MB,https://www.romsgames.net/gameboy-advance-rom-pokemon-ruby-version/,https://www.romsgames.net/
Super Mario Advance 4 - Super Mario Bros 3 (Menace),Gameboy Advance,US English,"3.97 (1,491 votes)",2.70 MB,https://www.romsgames.net/gameboy-advance-rom-super-mario-advance-4---super-mario-bros-3-menace/,https://www.romsgames.net/
Pokemon - Leaf Green Version (V1.1),Gameboy Advance,US English,"3.97 (1,272 votes)",5.33 MB,https://www.romsgames.net/gameboy-advance-rom-pokemon---leaf-green-version-v11/,https://www.romsgames.net/
Mario Kart: Super Circuit,Gameboy Advance,US English,"3.86 (1,122 votes)",2.10 MB,https://www.romsgames.net/gameboy-advance-rom-mario-kart-super-circuit/,https://www.romsgames.net/
Metroid Fusion,Gameboy Advance,US English,3.97 (795 votes),4.53 MB,https://www.romsgames.net/gameboy-advance-rom-metroid-fusion/,https://www.romsgames.net/
Kirby: Nightmare in Dream Land,Gameboy Advance,US English,3.85 (993 votes),4.57 MB,https://www.romsgames.net/gameboy-advance-rom-kirby-nightmare-in-dream-land/,https://www.romsgames.net/
Pokemon Jupiter - 6.04 (Ruby Hack),Gameboy Advance,US English,"3.82 (1,020 votes)",2.18 MB,https://www.romsgames.net/gameboy-advance-rom-pokemon-jupiter---604-ruby-hack/,https://www.romsgames.net/
Dragon Ball: Advanced Adventure,Gameboy Advance,US English,"3.87 (1,180 votes)",5.12 MB,https://www.romsgames.net/gameboy-advance-rom-dragon-ball-advanced-adventure/,https://www.romsgames.net/
Classic NES Series: Super Mario Bros.,Gameboy Advance,US English,4.00 (771 votes),4.04 MB,https://www.romsgames.net/gameboy-advance-rom-classic-nes-series-super-mario-bros/,https://www.romsgames.net/
