name,console,region,rating,size,link,site
Pokemon - Yellow Version,Gameboy Color,US English,3.91 (685 votes),512 kB,https://www.romsgames.net/gameboy-color-rom-pokemon---yellow-version/,https://www.romsgames.net/
Pokemon: Silver Version,Gameboy Color,US English,3.98 (615 votes),726 kB,https://www.romsgames.net/gameboy-color-rom-pokemon-silver-version/,https://www.romsgames.net/
Pokemon: Gold Version,Gameboy Color,US English,3.91 (543 votes),726 kB,https://www.romsgames.net/gameboy-color-rom-pokemon-gold-version/,https://www.romsgames.net/
Pokemon: Crystal Version,Gameboy Color,US English,3.98 (511 votes),999 kB,https://www.romsgames.net/gameboy-color-rom-pokemon-crystal-version/,https://www.romsgames.net/
Pokemon - Red Version,Gameboy Color,US English,3.98 (367 votes),381 kB,https://www.romsgames.net/gameboy-color-rom-pokemon---red-version/,https://www.romsgames.net/
Pokemon - Crystal Version (V1.1),Gameboy Color,US English,4.12 (225 votes),1.03 MB,https://www.romsgames.net/gameboy-color-rom-pokemon---crystal-version-v11/,https://www.romsgames.net/
Super Mario Bros. Deluxe,Gameboy Color,US English,4.04 (191 votes),336 kB,https://www.romsgames.net/gameboy-color-rom-super-mario-bros-deluxe/,https://www.romsgames.net/
"Legend of Zelda, The: Oracle of Ages",Gameboy Color,US English,3.92 (129 votes),679 kB,https://www.romsgames.net/gameboy-color-rom-legend-of-zelda-the-oracle-of-ages/,https://www.romsgames.net/
"Legend of Zelda, The: Oracle of Seasons",Gameboy Color,US English,4.04 (94 votes),657 kB,https://www.romsgames.net/gameboy-color-rom-legend-of-zelda-the-oracle-of-seasons/,https://www.romsgames.net/
"Legend Of Zelda, The - Link's Awakening (V1.2)",Gameboy Color,US English,4.00 (115 votes),297 kB,https://www.romsgames.net/gameboy-color-rom-legend-of-zelda-the---links-awakening-v12/,https://www.romsgames.net/
Wario Land 3,Gameboy Color,US English,4.03 (110 votes),620 kB,https://www.romsgames.net/gameboy-color-rom-wario-land-3/,https://www.romsgames.net/
Pokemon Trading Card Game,Gameboy Color,US English,4.00 (96 votes),454 kB,https://www.romsgames.net/gameboy-color-rom-pokemon-trading-card-game/,https://www.romsgames.net/
Metal Gear Solid,Gameboy Color,US English,3.85 (98 votes),843 kB,https://www.romsgames.net/gameboy-color-rom-metal-gear-solid/,https://www.romsgames.net/
Wario Land II,Gameboy Color,US English,4.44 (75 votes),512 kB,https://www.romsgames.net/gameboy-color-rom-wario-land-ii/,https://www.romsgames.net/
