name,console,region,rating,size,link,site
Pokemon: Blue Version,Gameboy,US English,3.99 (487 votes),368 kB,https://www.romsgames.net/gameboy-rom-pokemon-blue-version/,https://www.romsgames.net/
Pokemon: Red Version,Gameboy,US English,4.12 (477 votes),368 kB,https://www.romsgames.net/gameboy-rom-pokemon-red-version/,https://www.romsgames.net/
Pokemon: Yellow Version - Special Pikachu Edition,Gameboy,US English,4.14 (287 votes),495 kB,https://www.romsgames.net/gameboy-rom-pokemon-yellow-version---special-pikachu-edition/,https://www.romsgames.net/
Wario Land: Super Mario Land 3,Gameboy,US English,4.03 (145 votes),274 kB,https://www.romsgames.net/gameboy-rom-wario-land-super-mario-land-3/,https://www.romsgames.net/
Super Mario Land (JUE) (V1.1),Gameboy,US English,3.94 (182 votes),37.6 kB,https://www.romsgames.net/gameboy-rom-super-mario-land-jue-v11/,https://www.romsgames.net/
Metroid II: Return of Samus,Gameboy,US English,3.99 (141 votes),105 kB,https://www.romsgames.net/gameboy-rom-metroid-ii-return-of-samus/,https://www.romsgames.net/
Kirby's Dream Land 2,Gameboy,US English,4.00 (137 votes),325 kB,https://www.romsgames.net/gameboy-rom-kirbys-dream-land-2/,https://www.romsgames.net/
Super Mario Land,Gameboy,US English,4.05 (61 votes),36.2 kB,https://www.romsgames.net/gameboy-rom-super-mario-land/,https://www.romsgames.net/
Super Mario Land 2: 6 Golden Coins,Gameboy,US English,4.00 (72 votes),278 kB,https://www.romsgames.net/gameboy-rom-super-mario-land-2-6-golden-coins/,https://www.romsgames.net/
"Legend of Zelda, The: Link's Awakening",Gameboy,US English,4.13 (46 votes),287 kB,https://www.romsgames.net/gameboy-rom-legend-of-zelda-the-links-awakening/,https://www.romsgames.net/
Super Mario Land 2 - 6 Golden Coins (V1.2),Gameboy,US English,3.93 (73 votes),295 kB,https://www.romsgames.net/gameboy-rom-super-mario-land-2---6-golden-coins-v12/,https://www.romsgames.net/
Donkey Kong (JU) (V1.1),Gameboy,US English,3.86 (50 votes),269 kB,https://www.romsgames.net/gameboy-rom-donkey-kong-ju-v11/,https://www.romsgames.net/
Street Fighter II,Gameboy,US English,3.84 (70 votes),297 kB,https://www.romsgames.net/gameboy-rom-street-fighter-ii/,https://www.romsgames.net/
Tetris (JUE) (V1.1),Gameboy,US English,3.88 (42 votes),19.5 kB,https://www.romsgames.net/gameboy-rom-tetris-jue-v11/,https://www.romsgames.net/
Wario Land II,Gameboy,US English,3.91 (33 votes),386 kB,https://www.romsgames.net/gameboy-rom-wario-land-ii/,https://www.romsgames.net/
Pokemon Green,Gameboy,US English,4.03 (59 votes),462 kB,https://www.romsgames.net/gameboy-rom-pokemon-green/,https://www.romsgames.net/
Mega Man V,Gameboy,US English,4.00 (37 votes),294 kB,https://www.romsgames.net/gameboy-rom-mega-man-v/,https://www.romsgames.net/
Donkey Kong Land 2,Gameboy,US English,4.00 (20 votes),388 kB,https://www.romsgames.net/gameboy-rom-donkey-kong-land-2/,https://www.romsgames.net/
Final Fantasy Adventure,Gameboy,US English,3.81 (21 votes),154 kB,https://www.romsgames.net/gameboy-rom-final-fantasy-adventure/,https://www.romsgames.net/
Space Invaders,Gameboy,US English,3.75 (20 votes),214 kB,https://www.romsgames.net/gameboy-rom-space-invaders/,https://www.romsgames.net/
Mario &amp; Yoshi,Gameboy,US English,4.48 (25 votes),34.1 kB,https://www.romsgames.net/gameboy-rom-mario-yoshi/,https://www.romsgames.net/
Contra: The Alien Wars,Gameboy,US English,3.74 (35 votes),93.9 kB,https://www.romsgames.net/gameboy-rom-contra-the-alien-wars/,https://www.romsgames.net/
Castlevania Legends,Gameboy,US English,3.48 (23 votes),114 kB,https://www.romsgames.net/gameboy-rom-castlevania-legends/,https://www.romsgames.net/
Donkey Kong Land,Gameboy,US English,3.82 (22 votes),367 kB,https://www.romsgames.net/gameboy-rom-donkey-kong-land/,https://www.romsgames.net/
Batman: The Animated Series,Gameboy,US English,3.95 (19 votes),95.0 kB,https://www.romsgames.net/gameboy-rom-batman-the-animated-series/,https://www.romsgames.net/
Kirby's Pinball Land,Gameboy,US English,4.57 (21 votes),120 kB,https://www.romsgames.net/gameboy-rom-kirbys-pinball-land/,https://www.romsgames.net/
DuckTales,Gameboy,US English,4.17 (12 votes),44.5 kB,https://www.romsgames.net/gameboy-rom-ducktales/,https://www.romsgames.net/
Mortal Kombat,Gameboy,US English,4.05 (22 votes),149 kB,https://www.romsgames.net/gameboy-rom-mortal-kombat/,https://www.romsgames.net/
"Legend Of Zelda, The - Link's Awakening (V1.2)",Gameboy,US English,4.17 (30 votes),297 kB,https://www.romsgames.net/gameboy-rom-legend-of-zelda-the---links-awakening-v12/,https://www.romsgames.net/
Castlevania II: Belmont's Revenge,Gameboy,US English,4.07 (14 votes),86.6 kB,https://www.romsgames.net/gameboy-rom-castlevania-ii-belmonts-revenge/,https://www.romsgames.net/
