name,console,region,rating,size,link,site
BurgerTime! (1982) (Mattel).int,Intellivision,US English,2.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-burgertime-1982-mattelint/,https://www.romsgames.net/
Advanced Dungeons And Dragons (1982) (Mattel).int,Intellivision,US English,4.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-advanced-dungeons-and-dragons-1982-mattelint/,https://www.romsgames.net/
Donkey Kong (1982) (Coleco).int,Intellivision,US English,3.00 (2 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-donkey-kong-1982-colecoint/,https://www.romsgames.net/
TRON - Deadly Discs (1981) (Mattel).int,Intellivision,US English,3.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-tron---deadly-discs-1981-mattelint/,https://www.romsgames.net/
Astrosmash (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-astrosmash-1981-mattelint/,https://www.romsgames.net/
Pac-Man (1983) (Intv Corp).int,Intellivision,US English,4.50 (2 votes),24.5 kB,https://www.romsgames.net/intellivision-rom-pac-man-1983-intv-corpint/,https://www.romsgames.net/
Shark! Shark! (1982) (Mattel) [a1].int,Intellivision,US English,2.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-shark-shark-1982-mattel-a1int/,https://www.romsgames.net/
Lock 'N' Chase (1982) (Mattel).int,Intellivision,US English,5.00 (2 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-lock-n-chase-1982-mattelint/,https://www.romsgames.net/
Masters Of The Universe-The Power Of He-Man! (1983) (Mattel).int,Intellivision,US English,5.00 (1 votes),32.7 kB,https://www.romsgames.net/intellivision-rom-masters-of-the-universe-the-power-of-he-man-1983-mattelint/,https://www.romsgames.net/
Adventure (AD&amp;D - Cloudy Mountain) (1982) (Mattel).int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-adventure-ad-d---cloudy-mountain-1982-mattelint/,https://www.romsgames.net/
Frogger (1983) (Parker Bros).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-frogger-1983-parker-brosint/,https://www.romsgames.net/
Pitfall! (1982) (Activision) .int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-pitfall-1982-activision-int/,https://www.romsgames.net/
Space Battle (1979) (Mattel).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-space-battle-1979-mattelint/,https://www.romsgames.net/
Advanced D&amp;D - Treasure Of Tarmin (1982) (Mattel).int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-advanced-d-d---treasure-of-tarmin-1982-mattelint/,https://www.romsgames.net/
B-17 Bomber (1981) (Mattel) .int,Intellivision,US English,5.00 (1 votes),24.5 kB,https://www.romsgames.net/intellivision-rom-b-17-bomber-1981-mattel-int/,https://www.romsgames.net/
Utopia (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-utopia-1981-mattelint/,https://www.romsgames.net/
Dracula (1982) (Imagic) .int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-dracula-1982-imagic-int/,https://www.romsgames.net/
Demon Attack (1982) (Imagic) .int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-demon-attack-1982-imagic-int/,https://www.romsgames.net/
Zaxxon (1982) (Coleco).int,Intellivision,US English,4.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-zaxxon-1982-colecoint/,https://www.romsgames.net/
Night Stalker (1982) (Mattel).int,Intellivision,US English,1.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-night-stalker-1982-mattelint/,https://www.romsgames.net/
Atlantis (1981) (Imagic) .int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-atlantis-1981-imagic-int/,https://www.romsgames.net/
Triple Action (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-triple-action-1981-mattelint/,https://www.romsgames.net/
Dig Dug (1987) (Intv Corp).int,Intellivision,US English,5.00 (1 votes),32.7 kB,https://www.romsgames.net/intellivision-rom-dig-dug-1987-intv-corpint/,https://www.romsgames.net/
Bomb Squad (1982) (Mattel) .int,Intellivision,US English,5.00 (1 votes),24.5 kB,https://www.romsgames.net/intellivision-rom-bomb-squad-1982-mattel-int/,https://www.romsgames.net/
Thunder Castle (1982) (Mattel).int,Intellivision,US English,5.00 (1 votes),32.7 kB,https://www.romsgames.net/intellivision-rom-thunder-castle-1982-mattelint/,https://www.romsgames.net/
Space Armada (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-space-armada-1981-mattelint/,https://www.romsgames.net/
River Raid (1982-83) (Activision) .int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-river-raid-1982-83-activision-int/,https://www.romsgames.net/
Stampede (1982) (Activision) .int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-stampede-1982-activision-int/,https://www.romsgames.net/
TRON - Maze-A-Tron (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-tron---maze-a-tron-1981-mattelint/,https://www.romsgames.net/
BeamRider (1983) (Activision) .int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-beamrider-1983-activision-int/,https://www.romsgames.net/
All-Star Major League Baseball (1983) (Mattel).int,Intellivision,US English,5.00 (1 votes),24.5 kB,https://www.romsgames.net/intellivision-rom-all-star-major-league-baseball-1983-mattelint/,https://www.romsgames.net/
Diner (1987) (Intv Corp).int,Intellivision,US English,5.00 (1 votes),32.7 kB,https://www.romsgames.net/intellivision-rom-diner-1987-intv-corpint/,https://www.romsgames.net/
IntelliVoice BIOS (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),2.05 kB,https://www.romsgames.net/intellivision-rom-intellivoice-bios-1981-mattelint/,https://www.romsgames.net/
Defender (1983) (Atarisoft).int,Intellivision,US English,5.00 (1 votes),24.5 kB,https://www.romsgames.net/intellivision-rom-defender-1983-atarisoftint/,https://www.romsgames.net/
Sub Hunt (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-sub-hunt-1981-mattelint/,https://www.romsgames.net/
Scooby Doo's Maze Chase (1983) (Mattel).int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-scooby-doos-maze-chase-1983-mattelint/,https://www.romsgames.net/
Auto Racing (1979) (Mattel).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-auto-racing-1979-mattelint/,https://www.romsgames.net/
Bump 'N' Jump (1982-83) (Mattel).int,Intellivision,US English,5.00 (1 votes),32.7 kB,https://www.romsgames.net/intellivision-rom-bump-n-jump-1982-83-mattelint/,https://www.romsgames.net/
Pinball (1981) (Mattel).int,Intellivision,US English,5.00 (1 votes),24.5 kB,https://www.romsgames.net/intellivision-rom-pinball-1981-mattelint/,https://www.romsgames.net/
Q-bert (1983) (Parker Bros).int,Intellivision,US English,5.00 (1 votes),16.3 kB,https://www.romsgames.net/intellivision-rom-q-bert-1983-parker-brosint/,https://www.romsgames.net/
Commando (1987) (Mattel).int,Intellivision,US English,5.00 (1 votes),32.7 kB,https://www.romsgames.net/intellivision-rom-commando-1987-mattelint/,https://www.romsgames.net/
Pole Position (1986) (Intv Corp).int,Intellivision,US English,5.00 (1 votes),32.7 kB,https://www.romsgames.net/intellivision-rom-pole-position-1986-intv-corpint/,https://www.romsgames.net/
Horse Racing (1980) (Mattel).int,Intellivision,US English,5.00 (1 votes),8.19 kB,https://www.romsgames.net/intellivision-rom-horse-racing-1980-mattelint/,https://www.romsgames.net/
