name,console,region,rating,size,link,site
Microsoft Basic V4.7 (1978)(Microsoft),Interact Family Computer,US English,5.00 (1 votes),7.63 kB,https://www.romsgames.net/interact-family-computer-rom-microsoft-basic-v47-1978microsoft/,https://www.romsgames.net/
Calculator (19xx)(-),Interact Family Computer,US English,5.00 (1 votes),3.67 kB,https://www.romsgames.net/interact-family-computer-rom-calculator-19xx-/,https://www.romsgames.net/
Dogfight (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),4.04 kB,https://www.romsgames.net/interact-family-computer-rom-dogfight-19xxinteract-electronics-inc/,https://www.romsgames.net/
Backgammon (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),4.45 kB,https://www.romsgames.net/interact-family-computer-rom-backgammon-19xxinteract-electronics-inc/,https://www.romsgames.net/
Interact Microchess (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),4.79 kB,https://www.romsgames.net/interact-family-computer-rom-interact-microchess-19xxinteract-electronics-inc/,https://www.romsgames.net/
Star Track (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),5.24 kB,https://www.romsgames.net/interact-family-computer-rom-star-track-19xxinteract-electronics-inc/,https://www.romsgames.net/
Computer-A-Color (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),3.52 kB,https://www.romsgames.net/interact-family-computer-rom-computer-a-color-19xxinteract-electronics-inc/,https://www.romsgames.net/
Computer Maze (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),4 kB,https://www.romsgames.net/interact-family-computer-rom-computer-maze-19xxinteract-electronics-inc/,https://www.romsgames.net/
Edu-Basic (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),3.55 kB,https://www.romsgames.net/interact-family-computer-rom-edu-basic-19xxinteract-electronics-inc/,https://www.romsgames.net/
Knockdown (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),3.28 kB,https://www.romsgames.net/interact-family-computer-rom-knockdown-19xxinteract-electronics-inc/,https://www.romsgames.net/
Music Maestro (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),5.30 kB,https://www.romsgames.net/interact-family-computer-rom-music-maestro-19xxinteract-electronics-inc/,https://www.romsgames.net/
Regatta (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),4 kB,https://www.romsgames.net/interact-family-computer-rom-regatta-19xxinteract-electronics-inc/,https://www.romsgames.net/
Showdown (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),3.71 kB,https://www.romsgames.net/interact-family-computer-rom-showdown-19xxinteract-electronics-inc/,https://www.romsgames.net/
Add Em Up (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),2.60 kB,https://www.romsgames.net/interact-family-computer-rom-add-em-up-19xxinteract-electronics-inc/,https://www.romsgames.net/
Blackjack (19xx)(Interact Electronics Inc.),Interact Family Computer,US English,5.00 (1 votes),4.18 kB,https://www.romsgames.net/interact-family-computer-rom-blackjack-19xxinteract-electronics-inc/,https://www.romsgames.net/
Breakthrough (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),3.75 kB,https://www.romsgames.net/interact-family-computer-rom-breakthrough-19xxinteract-electronics-inc/,https://www.romsgames.net/
Message Center (19xx)(-),Interact Family Computer,US English,5.00 (1 votes),2.58 kB,https://www.romsgames.net/interact-family-computer-rom-message-center-19xx-/,https://www.romsgames.net/
Reversi (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),4.56 kB,https://www.romsgames.net/interact-family-computer-rom-reversi-19xxinteract-electronics-inc/,https://www.romsgames.net/
Biorhythm (19xx)(Interact Electronics Inc),Interact Family Computer,US English,5.00 (1 votes),3.14 kB,https://www.romsgames.net/interact-family-computer-rom-biorhythm-19xxinteract-electronics-inc/,https://www.romsgames.net/
Checkbook Balancer (19xx)(-),Interact Family Computer,US English,5.00 (1 votes),6.09 kB,https://www.romsgames.net/interact-family-computer-rom-checkbook-balancer-19xx-/,https://www.romsgames.net/
