name,console,region,rating,size,link,site
Metal Slug 6,MAME 037b11,US English,4.01 (102 votes),131 MB,https://www.romsgames.net/mame-037b11-rom-metal-slug-6/,https://www.romsgames.net/
Street Fighter 2: Champion Edition,MAME 037b11,US English,4.17 (86 votes),3.90 MB,https://www.romsgames.net/mame-037b11-rom-street-fighter-2-champion-edition/,https://www.romsgames.net/
Cadillacs and Dinosaurs,MAME 037b11,US English,3.77 (64 votes),4.12 MB,https://www.romsgames.net/mame-037b11-rom-cadillacs-and-dinosaurs/,https://www.romsgames.net/
Pepsi Man,MAME 037b11,US English,4.20 (86 votes),607 kB,https://www.romsgames.net/mame-037b11-rom-pepsi-man/,https://www.romsgames.net/
Marvel vs Capcom 2,MAME 037b11,US English,3.89 (57 votes),81.2 MB,https://www.romsgames.net/mame-037b11-rom-marvel-vs-capcom-2/,https://www.romsgames.net/
Metal Slug 2,MAME 037b11,US English,3.83 (58 votes),5.71 kB,https://www.romsgames.net/mame-037b11-rom-metal-slug-2/,https://www.romsgames.net/
Ms Pacman,MAME 037b11,US English,3.68 (19 votes),21.7 kB,https://www.romsgames.net/mame-037b11-rom-ms-pacman/,https://www.romsgames.net/
Tekken 5,MAME 037b11,US English,3.62 (50 votes),6.66 MB,https://www.romsgames.net/mame-037b11-rom-tekken-5/,https://www.romsgames.net/
Metal Slug 3,MAME 037b11,US English,3.89 (27 votes),80.4 MB,https://www.romsgames.net/mame-037b11-rom-metal-slug-3/,https://www.romsgames.net/
Donkey Kong,MAME 037b11,US English,3.61 (23 votes),8.62 kB,https://www.romsgames.net/mame-037b11-rom-donkey-kong/,https://www.romsgames.net/
Tatsunoko Vs Capcom,MAME 037b11,US English,4.00 (14 votes),1.15 GB,https://www.romsgames.net/mame-037b11-rom-tatsunoko-vs-capcom/,https://www.romsgames.net/
King of Fighters XI,MAME 037b11,US English,4.05 (22 votes),233 MB,https://www.romsgames.net/mame-037b11-rom-king-of-fighters-xi/,https://www.romsgames.net/
1943,MAME 037b11,US English,4.05 (20 votes),8.57 kB,https://www.romsgames.net/mame-037b11-rom-1943/,https://www.romsgames.net/
Raiden 2,MAME 037b11,US English,4.13 (16 votes),10.6 MB,https://www.romsgames.net/mame-037b11-rom-raiden-2/,https://www.romsgames.net/
Galaga 3,MAME 037b11,US English,4.00 (8 votes),29.9 kB,https://www.romsgames.net/mame-037b11-rom-galaga-3/,https://www.romsgames.net/
X-Men,MAME 037b11,US English,3.62 (13 votes),9.52 kB,https://www.romsgames.net/mame-037b11-rom-x-men/,https://www.romsgames.net/
Metal Slug,MAME 037b11,US English,3.93 (14 votes),13.1 MB,https://www.romsgames.net/mame-037b11-rom-metal-slug/,https://www.romsgames.net/
Adults Only,MAME 037b11,US English,3.06 (18 votes),180 kB,https://www.romsgames.net/mame-037b11-rom-adults-only/,https://www.romsgames.net/
Teenage Mutant Ninja Turtles - Turtles in Time,MAME 037b11,US English,3.93 (14 votes),6.97 kB,https://www.romsgames.net/mame-037b11-rom-teenage-mutant-ninja-turtles---turtles-in-time/,https://www.romsgames.net/
Marvel vs Capcom (U),MAME 037b11,US English,4.08 (13 votes),879 kB,https://www.romsgames.net/mame-037b11-rom-marvel-vs-capcom-u/,https://www.romsgames.net/
Capcom Vs. SNK,MAME 037b11,US English,3.07 (14 votes),90.8 MB,https://www.romsgames.net/mame-037b11-rom-capcom-vs-snk/,https://www.romsgames.net/
Golden Axe,MAME 037b11,US English,4.83 (6 votes),8 kB,https://www.romsgames.net/mame-037b11-rom-golden-axe/,https://www.romsgames.net/
Sunset Riders,MAME 037b11,US English,4.08 (12 votes),6.86 kB,https://www.romsgames.net/mame-037b11-rom-sunset-riders/,https://www.romsgames.net/
Tekken 3,MAME 037b11,US English,4.57 (14 votes),32.6 MB,https://www.romsgames.net/mame-037b11-rom-tekken-3/,https://www.romsgames.net/
Michael Jackson's Moonwalker,MAME 037b11,US English,4.00 (8 votes),7.09 kB,https://www.romsgames.net/mame-037b11-rom-michael-jacksons-moonwalker/,https://www.romsgames.net/
The Simpsons,MAME 037b11,US English,4.20 (10 votes),9.05 kB,https://www.romsgames.net/mame-037b11-rom-the-simpsons/,https://www.romsgames.net/
The Punisher,MAME 037b11,US English,3.70 (10 votes),7.12 kB,https://www.romsgames.net/mame-037b11-rom-the-punisher/,https://www.romsgames.net/
