name,console,region,rating,size,link,site
Metal Gear (Europe),MSX-2,US English,4.14 (7 votes),8.08 kB,https://www.romsgames.net/msx-2-rom-metal-gear-europe/,https://www.romsgames.net/
Out Run,MSX-2,Japan Japanese,5.00 (2 votes),8.30 kB,https://www.romsgames.net/msx-2-rom-out-run/,https://www.romsgames.net/
"Vampire Killer (Japan, Europe) (Alt 1)",MSX-2,US English,3.60 (5 votes),7.51 kB,https://www.romsgames.net/msx-2-rom-vampire-killer-japan-europe-alt-1/,https://www.romsgames.net/
Aleste,MSX-2,Japan Japanese,5.00 (0 votes),7.56 kB,https://www.romsgames.net/msx-2-rom-aleste/,https://www.romsgames.net/
1942,MSX-2,Japan Japanese,3.00 (1 votes),6.63 kB,https://www.romsgames.net/msx-2-rom-1942/,https://www.romsgames.net/
Contra,MSX-2,Japan Japanese,3.00 (2 votes),6.60 kB,https://www.romsgames.net/msx-2-rom-contra/,https://www.romsgames.net/
Metal Gear 2 - Solid Snake (Demo),MSX-2,Japan Japanese,5.00 (1 votes),9.06 kB,https://www.romsgames.net/msx-2-rom-metal-gear-2---solid-snake-demo/,https://www.romsgames.net/
Bubble Bobble (Alt 1),MSX-2,Japan Japanese,5.00 (1 votes),8.37 kB,https://www.romsgames.net/msx-2-rom-bubble-bobble-alt-1/,https://www.romsgames.net/
Rastan Saga,MSX-2,Japan Japanese,5.00 (1 votes),5.06 kB,https://www.romsgames.net/msx-2-rom-rastan-saga/,https://www.romsgames.net/
Shiryou Sensen - War Of The Dead,MSX-2,Japan Japanese,5.00 (2 votes),7.75 kB,https://www.romsgames.net/msx-2-rom-shiryou-sensen---war-of-the-dead/,https://www.romsgames.net/
Zanac Ex (Alt 1),MSX-2,Japan Japanese,4.50 (2 votes),7.15 kB,https://www.romsgames.net/msx-2-rom-zanac-ex-alt-1/,https://www.romsgames.net/
King Kong 2 - Yomigaeru Densetsu,MSX-2,Japan Japanese,3.67 (3 votes),8.18 kB,https://www.romsgames.net/msx-2-rom-king-kong-2---yomigaeru-densetsu/,https://www.romsgames.net/
Pac-Mania,MSX-2,US English,5.00 (1 votes),48.6 kB,https://www.romsgames.net/msx-2-rom-pac-mania/,https://www.romsgames.net/
Space Manbow,MSX-2,US English,5.00 (1 votes),6.64 kB,https://www.romsgames.net/msx-2-rom-space-manbow/,https://www.romsgames.net/
Xevious - Fardraut Saga,MSX-2,US English,5.00 (1 votes),84.7 kB,https://www.romsgames.net/msx-2-rom-xevious---fardraut-saga/,https://www.romsgames.net/
"Vampire Killer (Japan, Europe) (Alt 2)",MSX-2,US English,4.00 (1 votes),9.47 kB,https://www.romsgames.net/msx-2-rom-vampire-killer-japan-europe-alt-2/,https://www.romsgames.net/
Dragon Quest,MSX-2,Japan Japanese,4.00 (1 votes),7.04 kB,https://www.romsgames.net/msx-2-rom-dragon-quest/,https://www.romsgames.net/
Super Load Runner,MSX-2,Japan Japanese,5.00 (1 votes),7.38 kB,https://www.romsgames.net/msx-2-rom-super-load-runner/,https://www.romsgames.net/
Tetris,MSX-2,US English,5.00 (1 votes),64.4 kB,https://www.romsgames.net/msx-2-rom-tetris/,https://www.romsgames.net/
Super Rambo Special,MSX-2,Japan Japanese,5.00 (1 votes),7.19 kB,https://www.romsgames.net/msx-2-rom-super-rambo-special/,https://www.romsgames.net/
Predator,MSX-2,US English,5.00 (1 votes),72.0 kB,https://www.romsgames.net/msx-2-rom-predator/,https://www.romsgames.net/
Hinotori - Houou Hen,MSX-2,US English,5.00 (1 votes),91.4 kB,https://www.romsgames.net/msx-2-rom-hinotori---houou-hen/,https://www.romsgames.net/
Ganbare Goemon! - Karakuri Douchuu,MSX-2,US English,5.00 (1 votes),88.1 kB,https://www.romsgames.net/msx-2-rom-ganbare-goemon---karakuri-douchuu/,https://www.romsgames.net/
Dragon Slayer IV - Drasle Family,MSX-2,US English,5.00 (1 votes),111 kB,https://www.romsgames.net/msx-2-rom-dragon-slayer-iv---drasle-family/,https://www.romsgames.net/
Arkanoid II - Revenge Of Doh,MSX-2,Japan Japanese,3.00 (1 votes),7.60 kB,https://www.romsgames.net/msx-2-rom-arkanoid-ii---revenge-of-doh/,https://www.romsgames.net/
"Treasure Of Usas, The (Japan, Europe) (Alt 1)",MSX-2,US English,5.00 (1 votes),6 kB,https://www.romsgames.net/msx-2-rom-treasure-of-usas-the-japan-europe-alt-1/,https://www.romsgames.net/
"Vampire Killer (Japan, Europe) (Alt 3)",MSX-2,US English,5.00 (1 votes),8.53 kB,https://www.romsgames.net/msx-2-rom-vampire-killer-japan-europe-alt-3/,https://www.romsgames.net/
Zombie Hunter,MSX-2,US English,5.00 (1 votes),57.0 kB,https://www.romsgames.net/msx-2-rom-zombie-hunter/,https://www.romsgames.net/
[BIOS] Kanji ROM - JIS 1st+2nd Class,MSX-2,Japan Japanese,5.00 (1 votes),5.62 kB,https://www.romsgames.net/msx-2-rom-bios-kanji-rom---jis-1st2nd-class/,https://www.romsgames.net/
Lupin Sansei - Cagliostro No Shiro,MSX-2,US English,5.00 (1 votes),71.2 kB,https://www.romsgames.net/msx-2-rom-lupin-sansei---cagliostro-no-shiro/,https://www.romsgames.net/
Penguin-kun Wars 2,MSX-2,US English,5.00 (1 votes),105 kB,https://www.romsgames.net/msx-2-rom-penguin-kun-wars-2/,https://www.romsgames.net/
Ikari,MSX-2,US English,1.00 (1 votes),71.1 kB,https://www.romsgames.net/msx-2-rom-ikari/,https://www.romsgames.net/
Labyrinth,MSX-2,US English,5.00 (1 votes),120 kB,https://www.romsgames.net/msx-2-rom-labyrinth/,https://www.romsgames.net/
Quarth,MSX-2,US English,5.00 (1 votes),64.1 kB,https://www.romsgames.net/msx-2-rom-quarth/,https://www.romsgames.net/
Sangokushi II,MSX-2,Japan Japanese,5.00 (1 votes),6.67 kB,https://www.romsgames.net/msx-2-rom-sangokushi-ii/,https://www.romsgames.net/
Alges No Yoku,MSX-2,Japan Japanese,5.00 (1 votes),8.75 kB,https://www.romsgames.net/msx-2-rom-alges-no-yoku/,https://www.romsgames.net/
Wizardry,MSX-2,Japan Japanese,5.00 (1 votes),8.01 kB,https://www.romsgames.net/msx-2-rom-wizardry/,https://www.romsgames.net/
Fantasy Zone II - The Tears Of Opa-Opa,MSX-2,US English,5.00 (1 votes),95.5 kB,https://www.romsgames.net/msx-2-rom-fantasy-zone-ii---the-tears-of-opa-opa/,https://www.romsgames.net/
Aoki Ookami To Shiroki Mejika - Genghis Khan,MSX-2,Japan Japanese,5.00 (1 votes),9.56 kB,https://www.romsgames.net/msx-2-rom-aoki-ookami-to-shiroki-mejika---genghis-khan/,https://www.romsgames.net/
Ninja-kun - Asura No Shou,MSX-2,US English,5.00 (1 votes),59.0 kB,https://www.romsgames.net/msx-2-rom-ninja-kun---asura-no-shou/,https://www.romsgames.net/
