name,console,region,rating,size,link,site
"Pick Axe Pete (USA, Europe)",Magnavox Odyssey 2,US English,5.00 (1 votes),3.64 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-pick-axe-pete-usa-europe/,https://www.romsgames.net/
K.C. Munchkin,Magnavox Odyssey 2,US English,4.00 (1 votes),3.23 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-kc-munchkin/,https://www.romsgames.net/
UFO,Magnavox Odyssey 2,US English,5.00 (1 votes),1.97 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-ufo/,https://www.romsgames.net/
"Alien Invaders - Plus (USA, Europe)",Magnavox Odyssey 2,US English,1.00 (1 votes),1.99 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-alien-invaders---plus-usa-europe/,https://www.romsgames.net/
Attack Of The Timelord,Magnavox Odyssey 2,US English,5.00 (1 votes),3.40 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-attack-of-the-timelord/,https://www.romsgames.net/
"[BIOS] Magnavox Odyssey2 (USA, Europe)",Magnavox Odyssey 2,US English,5.00 (1 votes),1.16 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-bios-magnavox-odyssey2-usa-europe/,https://www.romsgames.net/
Turtles,Magnavox Odyssey 2,US English,5.00 (1 votes),5.30 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-turtles/,https://www.romsgames.net/
"K.C.'s Krazy Chase (USA, Europe)",Magnavox Odyssey 2,US English,5.00 (1 votes),3.80 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-kcs-krazy-chase-usa-europe/,https://www.romsgames.net/
Killer Bees,Magnavox Odyssey 2,US English,2.50 (2 votes),4.30 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-killer-bees/,https://www.romsgames.net/
Popeye (Brazil),Magnavox Odyssey 2,US English,5.00 (1 votes),6.35 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-popeye-brazil/,https://www.romsgames.net/
"Quest For The Rings (USA, Europe)",Magnavox Odyssey 2,US English,5.00 (1 votes),3.77 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-quest-for-the-rings-usa-europe/,https://www.romsgames.net/
"Atlantis (USA, Europe)",Magnavox Odyssey 2,US English,5.00 (1 votes),3.23 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-atlantis-usa-europe/,https://www.romsgames.net/
Frogger (Brazil),Magnavox Odyssey 2,US English,5.00 (1 votes),5.43 kB,https://www.romsgames.net/magnavox-odyssey-2-rom-frogger-brazil/,https://www.romsgames.net/
