name,console,region,rating,size,link,site
Advanced Dungeons &amp; Dragons (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),8.20 kB,https://www.romsgames.net/mattel-aquarius-rom-advanced-dungeons-dragons-1982mattel/,https://www.romsgames.net/
Night Stalker (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),5.99 kB,https://www.romsgames.net/mattel-aquarius-rom-night-stalker-1982mattel/,https://www.romsgames.net/
Tron - Deadly Discs (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),8.88 kB,https://www.romsgames.net/mattel-aquarius-rom-tron---deadly-discs-1982mattel/,https://www.romsgames.net/
Astrosmash (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),8.14 kB,https://www.romsgames.net/mattel-aquarius-rom-astrosmash-1982mattel/,https://www.romsgames.net/
Utopia (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),6.83 kB,https://www.romsgames.net/mattel-aquarius-rom-utopia-1982mattel/,https://www.romsgames.net/
Aquarius BASIC (1982)(Microsoft),Mattel Aquarius,US English,5.00 (1 votes),7.21 kB,https://www.romsgames.net/mattel-aquarius-rom-aquarius-basic-1982microsoft/,https://www.romsgames.net/
Chess (1982)(Mattel)(proto),Mattel Aquarius,US English,5.00 (1 votes),10.4 kB,https://www.romsgames.net/mattel-aquarius-rom-chess-1982mattelproto/,https://www.romsgames.net/
Snafu (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),6.94 kB,https://www.romsgames.net/mattel-aquarius-rom-snafu-1982mattel/,https://www.romsgames.net/
Window (2000)(-)(PD),Mattel Aquarius,US English,5.00 (1 votes),1 kB,https://www.romsgames.net/mattel-aquarius-rom-window-2000-pd/,https://www.romsgames.net/
Aquarius Logo (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),12.5 kB,https://www.romsgames.net/mattel-aquarius-rom-aquarius-logo-1982mattel/,https://www.romsgames.net/
Biorhythms (1983)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),5.11 kB,https://www.romsgames.net/mattel-aquarius-rom-biorhythms-1983mattel/,https://www.romsgames.net/
D-Fenders (1983)(Add On Electronics)(Tape 2 Of 2),Mattel Aquarius,US English,5.00 (1 votes),4.90 kB,https://www.romsgames.net/mattel-aquarius-rom-d-fenders-1983add-on-electronicstape-2-of-2/,https://www.romsgames.net/
Cute Cubes (19xx)(K. Baker)(Tape 2 Of 2),Mattel Aquarius,US English,5.00 (1 votes),1.25 kB,https://www.romsgames.net/mattel-aquarius-rom-cute-cubes-19xxk-bakertape-2-of-2/,https://www.romsgames.net/
Ed-On (1983)(Add On Electronics)(Tape 2 Of 2),Mattel Aquarius,US English,5.00 (1 votes),2.82 kB,https://www.romsgames.net/mattel-aquarius-rom-ed-on-1983add-on-electronicstape-2-of-2/,https://www.romsgames.net/
Melody Chase (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),7.87 kB,https://www.romsgames.net/mattel-aquarius-rom-melody-chase-1982mattel/,https://www.romsgames.net/
N-Vaders (1983)(Add On Electronics)(Tape 2 Of 2),Mattel Aquarius,US English,5.00 (1 votes),3.06 kB,https://www.romsgames.net/mattel-aquarius-rom-n-vaders-1983add-on-electronicstape-2-of-2/,https://www.romsgames.net/
Fileform (1982)(Mattel),Mattel Aquarius,US English,5.00 (1 votes),5.91 kB,https://www.romsgames.net/mattel-aquarius-rom-fileform-1982mattel/,https://www.romsgames.net/
Stalactites (1984)(K. Baker)(Tape 2 Of 2),Mattel Aquarius,US English,5.00 (1 votes),1.25 kB,https://www.romsgames.net/mattel-aquarius-rom-stalactites-1984k-bakertape-2-of-2/,https://www.romsgames.net/
