name,console,region,rating,size,link,site
Porno (19xx) (SAM Psychopaths Incorporated),Miles Gordon Sam Coupe,US English,3.88 (8 votes),654 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-porno-19xx-sam-psychopaths-incorporated/,https://www.romsgames.net/
"Prince Of Persia (19xx) (Revelation, Chris White)",Miles Gordon Sam Coupe,US English,5.00 (1 votes),495 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-prince-of-persia-19xx-revelation-chris-white/,https://www.romsgames.net/
Lemmings (1992) (DMA-Chris White),Miles Gordon Sam Coupe,US English,5.00 (1 votes),1.27 MB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-lemmings-1992-dma-chris-white/,https://www.romsgames.net/
"Manic Miner, Splat, Mr Pac, Snake Mania, Craft Compilation (19xx)",Miles Gordon Sam Coupe,US English,5.00 (1 votes),161 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-manic-miner-splat-mr-pac-snake-mania-craft-compilation-19xx/,https://www.romsgames.net/
"Adventures Of Captain Comic, The (19xx) (Lars)",Miles Gordon Sam Coupe,US English,5.00 (1 votes),97.4 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-adventures-of-captain-comic-the-19xx-lars/,https://www.romsgames.net/
"Curse Of The Serpent's Eye, The (1994) (Dream World)",Miles Gordon Sam Coupe,US English,5.00 (1 votes),534 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-curse-of-the-serpents-eye-the-1994-dream-world/,https://www.romsgames.net/
Dino Sourcerer (1993) (Softdisk Inc.),Miles Gordon Sam Coupe,US English,5.00 (1 votes),44.1 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-dino-sourcerer-1993-softdisk-inc/,https://www.romsgames.net/
Manic Miner (1992) (Revelation Software),Miles Gordon Sam Coupe,US English,5.00 (1 votes),32.9 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-manic-miner-1992-revelation-software/,https://www.romsgames.net/
"Bombed Out,Nuclear Waste,Magic Caves,Blockade (1990) (Enigma)",Miles Gordon Sam Coupe,US English,5.00 (1 votes),46.2 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-bombed-out-nuclear-waste-magic-caves-blockade-1990-enigma/,https://www.romsgames.net/
Allan Stevens (~1994),Miles Gordon Sam Coupe,US English,5.00 (1 votes),2.77 MB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-allan-stevens-1994/,https://www.romsgames.net/
Boing &amp; Sphera (1992) (Noesis Software),Miles Gordon Sam Coupe,US English,5.00 (1 votes),137 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-boing-sphera-1992-noesis-software/,https://www.romsgames.net/
Defender Compilation (19xx),Miles Gordon Sam Coupe,US English,5.00 (1 votes),33.4 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-defender-compilation-19xx/,https://www.romsgames.net/
Bowin And The Count Dracula (1991) (Lucosoft And Revelation),Miles Gordon Sam Coupe,US English,5.00 (1 votes),55.1 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-bowin-and-the-count-dracula-1991-lucosoft-and-revelation/,https://www.romsgames.net/
Oh No More Lemmings (19xx) (Chris White),Miles Gordon Sam Coupe,US English,5.00 (1 votes),431 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-oh-no-more-lemmings-19xx-chris-white/,https://www.romsgames.net/
"Golden Sword Of Bhakhor, The (1997) (Persona)",Miles Gordon Sam Coupe,US English,5.00 (1 votes),146 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-golden-sword-of-bhakhor-the-1997-persona/,https://www.romsgames.net/
18 Rated Poker For 512k (19xx) (Supplement Software),Miles Gordon Sam Coupe,US English,5.00 (1 votes),32.0 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-18-rated-poker-for-512k-19xx-supplement-software/,https://www.romsgames.net/
"Blondie And Dagwood, Arkanoid, Prince Of The Yolk Folk (199x)",Miles Gordon Sam Coupe,US English,4.00 (1 votes),226 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-blondie-and-dagwood-arkanoid-prince-of-the-yolk-folk-199x/,https://www.romsgames.net/
Tetris (1990) (Lord Insanity),Miles Gordon Sam Coupe,US English,5.00 (1 votes),56.3 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-tetris-1990-lord-insanity/,https://www.romsgames.net/
Flight Of Fantasy And Occult Connection Adventures (19xx),Miles Gordon Sam Coupe,US English,5.00 (1 votes),77.6 kB,https://www.romsgames.net/miles-gordon-sam-coupe-rom-flight-of-fantasy-and-occult-connection-adventures-19xx/,https://www.romsgames.net/
