name,console,region,rating,size,link,site
"Metal Slug - 1st Mission (World) (En,Ja)",Neo Geo Pocket Color,US English,4.00 (9 votes),7.74 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-metal-slug---1st-mission-world-en-ja/,https://www.romsgames.net/
"SNK Vs. Capcom - The Match Of The Millennium (World) (En,Ja)",Neo Geo Pocket Color,US English,3.23 (13 votes),5.22 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-snk-vs-capcom---the-match-of-the-millennium-world-en-ja/,https://www.romsgames.net/
Sonic The Hedgehog - Pocket Adventure (World) (Demo),Neo Geo Pocket Color,US English,4.25 (8 votes),7.46 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-sonic-the-hedgehog---pocket-adventure-world-demo/,https://www.romsgames.net/
"Pac-Man (World) (En,Ja)",Neo Geo Pocket Color,US English,4.00 (1 votes),8.06 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-pac-man-world-en-ja/,https://www.romsgames.net/
"Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja)",Neo Geo Pocket Color,US English,5.00 (3 votes),5.16 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-samurai-shodown-2---pocket-fighting-series-world-en-ja/,https://www.romsgames.net/
"Metal Slug - 2nd Mission (World) (En,Ja) (Demo)",Neo Geo Pocket Color,US English,3.17 (6 votes),5.99 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-metal-slug---2nd-mission-world-en-ja-demo/,https://www.romsgames.net/
"Neo Turf Masters (World) (En,Ja)",Neo Geo Pocket Color,US English,4.00 (1 votes),9.11 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-neo-turf-masters-world-en-ja/,https://www.romsgames.net/
"SNK Vs. Capcom - Card Fighters' Clash - Capcom Version (USA, Europe)",Neo Geo Pocket Color,US English,5.00 (1 votes),914 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-snk-vs-capcom---card-fighters-clash---capcom-version-usa-europe/,https://www.romsgames.net/
Evolution - Eternal Dungeons (Europe),Neo Geo Pocket Color,US English,5.00 (1 votes),6.56 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-evolution---eternal-dungeons-europe/,https://www.romsgames.net/
Rockman - Battle &amp; Fighters (Demo),Neo Geo Pocket Color,Japan Japanese,5.00 (1 votes),8.86 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-rockman---battle-fighters-demo/,https://www.romsgames.net/
"[BIOS] SNK Neo Geo Pocket (Japan, Europe) (En,Ja)",Neo Geo Pocket Color,US English,5.00 (1 votes),8.61 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-bios-snk-neo-geo-pocket-japan-europe-en-ja/,https://www.romsgames.net/
"SNK Gals' Fighters (USA, Europe)",Neo Geo Pocket Color,US English,2.00 (1 votes),915 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-snk-gals-fighters-usa-europe/,https://www.romsgames.net/
"Dark Arms - Beast Buster 1999 (World) (En,Ja)",Neo Geo Pocket Color,US English,2.00 (1 votes),8.28 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-dark-arms---beast-buster-1999-world-en-ja/,https://www.romsgames.net/
Bust-A-Move Pocket (Proto),Neo Geo Pocket Color,US English,5.00 (1 votes),6.12 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-bust-a-move-pocket-proto/,https://www.romsgames.net/
"King Of Fighters R-2 - Pocket Fighting Series (World) (En,Ja) (Demo)",Neo Geo Pocket Color,US English,5.00 (1 votes),6.67 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-king-of-fighters-r-2---pocket-fighting-series-world-en-ja-demo/,https://www.romsgames.net/
"Fatal Fury F-Contact - Pocket Fighting Series (World) (En,Ja) (Demo)",Neo Geo Pocket Color,US English,1.00 (1 votes),9.09 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-fatal-fury-f-contact---pocket-fighting-series-world-en-ja-demo/,https://www.romsgames.net/
Faselei! (Europe),Neo Geo Pocket Color,US English,2.00 (1 votes),8.73 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-faselei-europe/,https://www.romsgames.net/
"Last Blade, The - Beyond The Destiny (Europe)",Neo Geo Pocket Color,US English,4.50 (2 votes),7.85 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-last-blade-the---beyond-the-destiny-europe/,https://www.romsgames.net/
"Baseball Stars Color (World) (En,Ja)",Neo Geo Pocket Color,US English,5.00 (1 votes),6.94 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-baseball-stars-color-world-en-ja/,https://www.romsgames.net/
SNK Vs. Capcom - Card Fighters 2 - Expand Edition,Neo Geo Pocket Color,Japan Japanese,5.00 (1 votes),7.83 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-snk-vs-capcom---card-fighters-2---expand-edition/,https://www.romsgames.net/
"Big Bang Pro Wrestling (En,Ja)",Neo Geo Pocket Color,Japan Japanese,5.00 (1 votes),9.37 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-big-bang-pro-wrestling-en-ja/,https://www.romsgames.net/
"Neo Geo Cup '98 Plus (World) (En,Ja)",Neo Geo Pocket Color,US English,5.00 (1 votes),482 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-neo-geo-cup-98-plus-world-en-ja/,https://www.romsgames.net/
Densha De Go! 2 On Neo Geo Pocket,Neo Geo Pocket Color,US English,5.00 (1 votes),7.91 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-densha-de-go-2-on-neo-geo-pocket/,https://www.romsgames.net/
"King Of Fighters, The - Battle De Paradise",Neo Geo Pocket Color,Japan Japanese,5.00 (1 votes),5.59 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-king-of-fighters-the---battle-de-paradise/,https://www.romsgames.net/
SNK Gals' Fighters,Neo Geo Pocket Color,US English,5.00 (1 votes),917 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-snk-gals-fighters/,https://www.romsgames.net/
"Pocket Tennis Color - Pocket Sports Series (World) (En,Ja)",Neo Geo Pocket Color,US English,5.00 (1 votes),8.30 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-pocket-tennis-color---pocket-sports-series-world-en-ja/,https://www.romsgames.net/
Fantastic Night Dreams Cotton,Neo Geo Pocket Color,US English,4.00 (1 votes),348 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-fantastic-night-dreams-cotton/,https://www.romsgames.net/
"Crush Roller (World) (En,Ja)",Neo Geo Pocket Color,US English,5.00 (1 votes),503 kB,https://www.romsgames.net/neo-geo-pocket-color-rom-crush-roller-world-en-ja/,https://www.romsgames.net/
