name,console,region,rating,size,link,site
"King Of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)",Neo Geo Pocket,US English,3.71 (7 votes),855 kB,https://www.romsgames.net/neo-geo-pocket-rom-king-of-fighters-r-1---pocket-fighting-series-japan-europe-en-ja/,https://www.romsgames.net/
"[BIOS] SNK Neo Geo Pocket (Japan, Europe)",Neo Geo Pocket,US English,2.75 (4 votes),37.1 kB,https://www.romsgames.net/neo-geo-pocket-rom-bios-snk-neo-geo-pocket-japan-europe/,https://www.romsgames.net/
"Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)",Neo Geo Pocket,US English,3.00 (2 votes),160 kB,https://www.romsgames.net/neo-geo-pocket-rom-pocket-tennis---pocket-sports-series-japan-europe-en-ja/,https://www.romsgames.net/
"Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)",Neo Geo Pocket,US English,3.00 (2 votes),852 kB,https://www.romsgames.net/neo-geo-pocket-rom-samurai-shodown---pocket-fighting-series-japan-europe-en-ja/,https://www.romsgames.net/
"Neo Geo Cup '98 (Japan, Europe) (En,Ja)",Neo Geo Pocket,US English,5.00 (1 votes),449 kB,https://www.romsgames.net/neo-geo-pocket-rom-neo-geo-cup-98-japan-europe-en-ja/,https://www.romsgames.net/
"Neo Cherry Master - Real Casino Series (Japan, Europe) (En,Ja)",Neo Geo Pocket,US English,4.00 (1 votes),116 kB,https://www.romsgames.net/neo-geo-pocket-rom-neo-cherry-master---real-casino-series-japan-europe-en-ja/,https://www.romsgames.net/
King Of Fighters R-1 &amp; Melon-chan No Seichou Nikki - Pocket Fighting Series (Demo),Neo Geo Pocket,Japan Japanese,3.50 (2 votes),940 kB,https://www.romsgames.net/neo-geo-pocket-rom-king-of-fighters-r-1-melon-chan-no-seichou-nikki---pocket-fighting-series-demo/,https://www.romsgames.net/
"Baseball Stars (Japan, Europe) (En,Ja)",Neo Geo Pocket,US English,5.00 (1 votes),307 kB,https://www.romsgames.net/neo-geo-pocket-rom-baseball-stars-japan-europe-en-ja/,https://www.romsgames.net/
Shougi No Tatsujin,Neo Geo Pocket,Japan Japanese,5.00 (1 votes),189 kB,https://www.romsgames.net/neo-geo-pocket-rom-shougi-no-tatsujin/,https://www.romsgames.net/
Renketsu Puzzle Tsunagete Pon!,Neo Geo Pocket,Japan Japanese,4.00 (1 votes),139 kB,https://www.romsgames.net/neo-geo-pocket-rom-renketsu-puzzle-tsunagete-pon/,https://www.romsgames.net/
