name,console,region,rating,size,link,site
Super Mario 64,Nintendo 64,US English,"3.93 (8,548 votes)",6.10 MB,https://www.romsgames.net/nintendo-64-rom-super-mario-64/,https://www.romsgames.net/
Mario Kart 64,Nintendo 64,US English,"3.98 (3,396 votes)",8.77 MB,https://www.romsgames.net/nintendo-64-rom-mario-kart-64/,https://www.romsgames.net/
"Legend Of Zelda, The - Ocarina Of Time (V1.2)",Nintendo 64,US English,"3.93 (2,955 votes)",26.6 MB,https://www.romsgames.net/nintendo-64-rom-legend-of-zelda-the---ocarina-of-time-v12/,https://www.romsgames.net/
Super Smash Bros.,Nintendo 64,US English,"3.93 (2,898 votes)",12.3 MB,https://www.romsgames.net/nintendo-64-rom-super-smash-bros/,https://www.romsgames.net/
"Legend of Zelda, The: Majora's Mask",Nintendo 64,US English,"3.96 (1,546 votes)",27.1 MB,https://www.romsgames.net/nintendo-64-rom-legend-of-zelda-the-majoras-mask/,https://www.romsgames.net/
Donkey Kong 64,Nintendo 64,US English,"3.93 (1,169 votes)",27.5 MB,https://www.romsgames.net/nintendo-64-rom-donkey-kong-64/,https://www.romsgames.net/
GoldenEye 007,Nintendo 64,US English,4.04 (994 votes),10.7 MB,https://www.romsgames.net/nintendo-64-rom-goldeneye-007/,https://www.romsgames.net/
Pokemon Stadium 2,Nintendo 64,US English,3.99 (963 votes),48.0 MB,https://www.romsgames.net/nintendo-64-rom-pokemon-stadium-2/,https://www.romsgames.net/
Mario Party 3,Nintendo 64,US English,3.85 (654 votes),25.1 MB,https://www.romsgames.net/nintendo-64-rom-mario-party-3/,https://www.romsgames.net/
Kirby 64: The Crystal Shards,Nintendo 64,US English,3.89 (714 votes),11.5 MB,https://www.romsgames.net/nintendo-64-rom-kirby-64-the-crystal-shards/,https://www.romsgames.net/
Resident Evil 2,Nintendo 64,US English,3.94 (891 votes),65.0 MB,https://www.romsgames.net/nintendo-64-rom-resident-evil-2/,https://www.romsgames.net/
Conker's Bad Fur Day,Nintendo 64,US English,3.99 (612 votes),61.0 MB,https://www.romsgames.net/nintendo-64-rom-conkers-bad-fur-day/,https://www.romsgames.net/
Banjo-Kazooie,Nintendo 64,US English,3.98 (536 votes),16.3 MB,https://www.romsgames.net/nintendo-64-rom-banjo-kazooie/,https://www.romsgames.net/
Paper Mario,Nintendo 64,US English,4.00 (604 votes),21.9 MB,https://www.romsgames.net/nintendo-64-rom-paper-mario/,https://www.romsgames.net/
Mortal Kombat 4,Nintendo 64,US English,3.88 (758 votes),13.6 MB,https://www.romsgames.net/nintendo-64-rom-mortal-kombat-4/,https://www.romsgames.net/
Spider-Man,Nintendo 64,US English,4.00 (788 votes),28.6 MB,https://www.romsgames.net/nintendo-64-rom-spider-man/,https://www.romsgames.net/
Pokemon Stadium,Nintendo 64,US English,3.97 (347 votes),27.2 MB,https://www.romsgames.net/nintendo-64-rom-pokemon-stadium/,https://www.romsgames.net/
Yoshi's Story,Nintendo 64,US English,3.93 (418 votes),9.34 MB,https://www.romsgames.net/nintendo-64-rom-yoshis-story/,https://www.romsgames.net/
Doom 64,Nintendo 64,US English,4.04 (398 votes),7.26 MB,https://www.romsgames.net/nintendo-64-rom-doom-64/,https://www.romsgames.net/
Diddy Kong Racing,Nintendo 64,US English,3.84 (315 votes),10.2 MB,https://www.romsgames.net/nintendo-64-rom-diddy-kong-racing/,https://www.romsgames.net/
Bomberman 64,Nintendo 64,US English,3.80 (313 votes),5.27 MB,https://www.romsgames.net/nintendo-64-rom-bomberman-64/,https://www.romsgames.net/
Mario Party,Nintendo 64,US English,4.01 (320 votes),21.2 MB,https://www.romsgames.net/nintendo-64-rom-mario-party/,https://www.romsgames.net/
Rayman 2: The Great Escape,Nintendo 64,US English,3.84 (401 votes),18.3 MB,https://www.romsgames.net/nintendo-64-rom-rayman-2-the-great-escape/,https://www.romsgames.net/
Mario Party 2,Nintendo 64,US English,3.93 (217 votes),24.6 MB,https://www.romsgames.net/nintendo-64-rom-mario-party-2/,https://www.romsgames.net/
