name,console,region,rating,size,link,site
Pokemon: Platinum Version,Nintendo DS,US English,"3.91 (6,152 votes)",50.7 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-platinum-version/,https://www.romsgames.net/
New Super Mario Bros.,Nintendo DS,US English,"3.90 (4,550 votes)",14.5 MB,https://www.romsgames.net/nintendo-ds-rom-new-super-mario-bros/,https://www.romsgames.net/
Pokemon: White Version 2,Nintendo DS,US English,"3.98 (4,207 votes)",154 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-white-version-2/,https://www.romsgames.net/
Pokemon: SoulSilver Version,Nintendo DS,US English,"3.92 (3,021 votes)",60.7 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-soulsilver-version/,https://www.romsgames.net/
Mario Kart DS,Nintendo DS,US English,"3.95 (3,190 votes)",18.9 MB,https://www.romsgames.net/nintendo-ds-rom-mario-kart-ds/,https://www.romsgames.net/
Pokemon: HeartGold Version,Nintendo DS,US English,"3.98 (2,540 votes)",60.7 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-heartgold-version/,https://www.romsgames.net/
Pokemon: White Version,Nintendo DS,US English,"3.93 (2,120 votes)",111 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-white-version/,https://www.romsgames.net/
Super Mario 64 DS,Nintendo DS,US English,"3.99 (1,760 votes)",12.1 MB,https://www.romsgames.net/nintendo-ds-rom-super-mario-64-ds/,https://www.romsgames.net/
Pokemon: Diamond Version,Nintendo DS,US English,"3.96 (1,370 votes)",27.9 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-diamond-version/,https://www.romsgames.net/
Call of Duty: Black Ops,Nintendo DS,US English,"3.89 (1,463 votes)",45.0 MB,https://www.romsgames.net/nintendo-ds-rom-call-of-duty-black-ops/,https://www.romsgames.net/
Welcome to Animal Crossing: Wild World,Nintendo DS,US English,"3.97 (1,133 votes)",21.6 MB,https://www.romsgames.net/nintendo-ds-rom-welcome-to-animal-crossing-wild-world/,https://www.romsgames.net/
"Legend of Zelda, The: Phantom Hourglass",Nintendo DS,US English,3.92 (907 votes),46.9 MB,https://www.romsgames.net/nintendo-ds-rom-legend-of-zelda-the-phantom-hourglass/,https://www.romsgames.net/
Pokemon Black 2 (US) (frieNDS),Nintendo DS,US English,3.96 (957 votes),81.4 MB,https://www.romsgames.net/nintendo-ds-rom-6111---pokemon-black-2-us-friends/,https://www.romsgames.net/
Pokemon: Black Version,Nintendo DS,US English,"3.94 (1,011 votes)",111 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-black-version/,https://www.romsgames.net/
Kirby Super Star Ultra,Nintendo DS,US English,3.84 (940 votes),62.6 MB,https://www.romsgames.net/nintendo-ds-rom-kirby-super-star-ultra/,https://www.romsgames.net/
Mario &amp; Luigi - Bowser's Inside Story (US),Nintendo DS,US English,4.01 (847 votes),53.6 MB,https://www.romsgames.net/nintendo-ds-rom-4171---mario-luigi---bowsers-inside-story-us/,https://www.romsgames.net/
Mario Party DS,Nintendo DS,US English,3.94 (870 votes),19.2 MB,https://www.romsgames.net/nintendo-ds-rom-mario-party-ds/,https://www.romsgames.net/
LEGO Marvel Super Heroes: Universe in Peril,Nintendo DS,US English,"3.95 (1,282 votes)",117 MB,https://www.romsgames.net/nintendo-ds-rom-lego-marvel-super-heroes-universe-in-peril/,https://www.romsgames.net/
Sonic Classic Collection,Nintendo DS,US English,3.99 (799 votes),32.1 MB,https://www.romsgames.net/nintendo-ds-rom-sonic-classic-collection/,https://www.romsgames.net/
Pokemon Mystery Dungeon - Explorers Of Sky (US),Nintendo DS,US English,4.03 (569 votes),31.2 MB,https://www.romsgames.net/nintendo-ds-rom-4273---pokemon-mystery-dungeon---explorers-of-sky-us/,https://www.romsgames.net/
Grand Theft Auto - Chinatown Wars (EU),Nintendo DS,US English,3.86 (746 votes),62.0 MB,https://www.romsgames.net/nintendo-ds-rom-3538---grand-theft-auto---chinatown-wars-eu/,https://www.romsgames.net/
Metal Slug 7,Nintendo DS,US English,3.93 (620 votes),41.9 MB,https://www.romsgames.net/nintendo-ds-rom-metal-slug-7/,https://www.romsgames.net/
"Legend of Zelda, The: Spirit Tracks",Nintendo DS,US English,3.95 (520 votes),68.0 MB,https://www.romsgames.net/nintendo-ds-rom-legend-of-zelda-the-spirit-tracks/,https://www.romsgames.net/
Castlevania: Dawn of Sorrow,Nintendo DS,US English,4.06 (439 votes),23.6 MB,https://www.romsgames.net/nintendo-ds-rom-castlevania-dawn-of-sorrow/,https://www.romsgames.net/
Chrono Trigger,Nintendo DS,US English,4.09 (300 votes),62.6 MB,https://www.romsgames.net/nintendo-ds-rom-chrono-trigger/,https://www.romsgames.net/
Pokemon: Pearl Version,Nintendo DS,US English,3.97 (398 votes),27.9 MB,https://www.romsgames.net/nintendo-ds-rom-pokemon-pearl-version/,https://www.romsgames.net/
Plants vs. Zombies,Nintendo DS,US English,4.10 (487 votes),25.1 MB,https://www.romsgames.net/nintendo-ds-rom-plants-vs-zombies/,https://www.romsgames.net/
Mario &amp; Luigi: Partners in Time,Nintendo DS,US English,3.94 (317 votes),41.1 MB,https://www.romsgames.net/nintendo-ds-rom-mario-luigi-partners-in-time/,https://www.romsgames.net/
LEGO Star Wars: The Complete Saga,Nintendo DS,US English,3.96 (396 votes),54.5 MB,https://www.romsgames.net/nintendo-ds-rom-lego-star-wars-the-complete-saga/,https://www.romsgames.net/
Jump! Ultimate Stars,Nintendo DS,US English,3.87 (391 votes),42.8 MB,https://www.romsgames.net/nintendo-ds-rom-0696---jump-ultimate-stars/,https://www.romsgames.net/
Digimon Story - Lost Evolution,Nintendo DS,US English,4.04 (422 votes),36.6 MB,https://www.romsgames.net/nintendo-ds-rom-5054---digimon-story---lost-evolution/,https://www.romsgames.net/
Ultimate Mortal Kombat,Nintendo DS,US English,3.73 (377 votes),35.1 MB,https://www.romsgames.net/nintendo-ds-rom-ultimate-mortal-kombat/,https://www.romsgames.net/
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,US English,4.13 (284 votes),179 MB,https://www.romsgames.net/nintendo-ds-rom-dragon-quest-ix-sentinels-of-the-starry-skies/,https://www.romsgames.net/
