name,console,region,rating,size,link,site
Super Mario Brothers 2 (Alt 1),Nintendo Famicom Disk System,Japan Japanese,4.22 (9 votes),7.08 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-super-mario-brothers-2-alt-1/,https://www.romsgames.net/
Yume Koujou Doki Doki Panic,Nintendo Famicom Disk System,Japan Japanese,4.42 (12 votes),5.62 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-yume-koujou-doki-doki-panic/,https://www.romsgames.net/
Sexy Invaders (Unl),Nintendo Famicom Disk System,Japan Japanese,3.25 (4 votes),7.42 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-sexy-invaders-unl/,https://www.romsgames.net/
Ultraman - Kaijuu Teikoku No Gyakushuu [b],Nintendo Famicom Disk System,Japan Japanese,3.86 (7 votes),5.42 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-ultraman---kaijuu-teikoku-no-gyakushuu-b/,https://www.romsgames.net/
Kamen Rider Black - Taiketsu Shadow Moon,Nintendo Famicom Disk System,Japan Japanese,4.40 (5 votes),6.11 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-kamen-rider-black---taiketsu-shadow-moon/,https://www.romsgames.net/
Green Beret [b],Nintendo Famicom Disk System,Japan Japanese,3.67 (3 votes),8.94 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-green-beret-b/,https://www.romsgames.net/
[BIOS] Family Computer Disk System (Rev 1),Nintendo Famicom Disk System,Japan Japanese,4.00 (4 votes),7.57 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-bios-family-computer-disk-system-rev-1/,https://www.romsgames.net/
Bishoujo Sexy Puzzle (Unl),Nintendo Famicom Disk System,Japan Japanese,4.75 (4 votes),7.58 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-bishoujo-sexy-puzzle-unl/,https://www.romsgames.net/
Link No Bouken - The Legend Of Zelda 2 (Rev 1),Nintendo Famicom Disk System,Japan Japanese,5.00 (0 votes),5.52 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-link-no-bouken---the-legend-of-zelda-2-rev-1/,https://www.romsgames.net/
Sexy Yakyuuken Adventure II - Gal's Dungeon Part II  (Unl),Nintendo Famicom Disk System,US English,4.50 (2 votes),45.9 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-sexy-yakyuuken-adventure-ii---gals-dungeon-part-ii-unl/,https://www.romsgames.net/
Famicom Grand Prix - F1 Race,Nintendo Famicom Disk System,Japan Japanese,5.00 (1 votes),9.17 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-famicom-grand-prix---f1-race/,https://www.romsgames.net/
Zelda No Densetsu - The Hyrule Fantasy (Rev 1),Nintendo Famicom Disk System,Japan Japanese,5.00 (1 votes),7.81 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-zelda-no-densetsu---the-hyrule-fantasy-rev-1/,https://www.romsgames.net/
Metroid (Rev 1) [b],Nintendo Famicom Disk System,Japan Japanese,5.00 (1 votes),5.63 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-metroid-rev-1-b/,https://www.romsgames.net/
Kaettekita Mario Brothers (Disk Writer) [b],Nintendo Famicom Disk System,Japan Japanese,5.00 (1 votes),8.29 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-kaettekita-mario-brothers-disk-writer-b/,https://www.romsgames.net/
Bishoujo Sexy Slot (Unl),Nintendo Famicom Disk System,Japan Japanese,4.60 (5 votes),9.23 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-bishoujo-sexy-slot-unl/,https://www.romsgames.net/
All Night Nippon Super Mario Brothers (Promotion Card),Nintendo Famicom Disk System,Japan Japanese,5.00 (2 votes),9.48 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-all-night-nippon-super-mario-brothers-promotion-card/,https://www.romsgames.net/
Dracula II - Noroi No Fuuin,Nintendo Famicom Disk System,Japan Japanese,5.00 (1 votes),7.33 kB,https://www.romsgames.net/nintendo-famicom-disk-system-rom-dracula-ii---noroi-no-fuuin/,https://www.romsgames.net/
