name,console,region,rating,size,link,site
"Virtual Boy Wario Land (Japan, USA)",Nintendo Virtual Boy,US English,4.29 (7 votes),5.88 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-virtual-boy-wario-land-japan-usa/,https://www.romsgames.net/
"Mario's Tennis (Japan, USA)",Nintendo Virtual Boy,US English,3.30 (10 votes),8.98 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-marios-tennis-japan-usa/,https://www.romsgames.net/
"Mario Clash (Japan, USA)",Nintendo Virtual Boy,US English,3.44 (9 votes),7.86 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-mario-clash-japan-usa/,https://www.romsgames.net/
3-D Tetris,Nintendo Virtual Boy,US English,4.33 (3 votes),5.90 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-3-d-tetris/,https://www.romsgames.net/
Jack Bros.,Nintendo Virtual Boy,US English,3.67 (3 votes),7.84 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-jack-bros/,https://www.romsgames.net/
Panic Bomber,Nintendo Virtual Boy,US English,3.00 (1 votes),6.11 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-panic-bomber/,https://www.romsgames.net/
"Teleroboxer (Japan, USA)",Nintendo Virtual Boy,US English,5.00 (0 votes),5.57 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-teleroboxer-japan-usa/,https://www.romsgames.net/
Space Invaders - Virtual Collection,Nintendo Virtual Boy,Japan Japanese,5.00 (1 votes),6.65 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-space-invaders---virtual-collection/,https://www.romsgames.net/
Vertical Force,Nintendo Virtual Boy,US English,5.00 (2 votes),5.25 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-vertical-force/,https://www.romsgames.net/
Waterworld,Nintendo Virtual Boy,US English,5.00 (1 votes),6.50 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-waterworld/,https://www.romsgames.net/
Red Alarm,Nintendo Virtual Boy,US English,5.00 (1 votes),248 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-red-alarm/,https://www.romsgames.net/
Space Pinball (Unknown) (Proto),Nintendo Virtual Boy,US English,5.00 (1 votes),6.05 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-space-pinball-unknown-proto/,https://www.romsgames.net/
V-Tetris,Nintendo Virtual Boy,US English,5.00 (1 votes),101 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-v-tetris/,https://www.romsgames.net/
Virtual Bowling,Nintendo Virtual Boy,US English,5.00 (1 votes),350 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-virtual-bowling/,https://www.romsgames.net/
Golf,Nintendo Virtual Boy,US English,5.00 (1 votes),562 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-golf/,https://www.romsgames.net/
"Galactic Pinball (Japan, USA)",Nintendo Virtual Boy,US English,5.00 (1 votes),8.58 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-galactic-pinball-japan-usa/,https://www.romsgames.net/
Nester's Funky Bowling,Nintendo Virtual Boy,US English,5.00 (1 votes),644 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-nesters-funky-bowling/,https://www.romsgames.net/
Innsmouth No Yakata,Nintendo Virtual Boy,Japan Japanese,5.00 (1 votes),7.65 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-innsmouth-no-yakata/,https://www.romsgames.net/
SD Gundam - Dimension War,Nintendo Virtual Boy,Japan Japanese,5.00 (1 votes),8.49 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-sd-gundam---dimension-war/,https://www.romsgames.net/
Bound High (Unknown) (Proto),Nintendo Virtual Boy,US English,5.00 (1 votes),7.94 kB,https://www.romsgames.net/nintendo-virtual-boy-rom-bound-high-unknown-proto/,https://www.romsgames.net/
