name,console,region,rating,size,link,site
Super Mario Bros. 3,Nintendo,US English,"3.88 (1,191 votes)",220 kB,https://www.romsgames.net/nintendo-rom-super-mario-bros-3/,https://www.romsgames.net/
1200-in-1,Nintendo,Japan Japanese,4.01 (738 votes),324 kB,https://www.romsgames.net/nintendo-rom-1200-in-1/,https://www.romsgames.net/
Super Mario Bros. / Duck Hunt,Nintendo,US English,3.93 (359 votes),47.2 kB,https://www.romsgames.net/nintendo-rom-super-mario-bros-duck-hunt/,https://www.romsgames.net/
Contra,Nintendo,US English,4.06 (343 votes),87.8 kB,https://www.romsgames.net/nintendo-rom-contra/,https://www.romsgames.net/
Super Mario Bros. 2,Nintendo,US English,3.86 (256 votes),75.1 kB,https://www.romsgames.net/nintendo-rom-super-mario-bros-2/,https://www.romsgames.net/
"Legend of Zelda, The",Nintendo,US English,4.00 (182 votes),63.7 kB,https://www.romsgames.net/nintendo-rom-legend-of-zelda-the/,https://www.romsgames.net/
Teenage Mutant Ninja Turtles,Nintendo,US English,3.96 (190 votes),141 kB,https://www.romsgames.net/nintendo-rom-teenage-mutant-ninja-turtles/,https://www.romsgames.net/
Mike Tyson's Punch-Out!!,Nintendo,US English,3.72 (149 votes),129 kB,https://www.romsgames.net/nintendo-rom-mike-tysons-punch-out/,https://www.romsgames.net/
Tetris,Nintendo,US English,3.98 (101 votes),22.9 kB,https://www.romsgames.net/nintendo-rom-tetris/,https://www.romsgames.net/
Kirby's Adventure,Nintendo,US English,4.03 (152 votes),477 kB,https://www.romsgames.net/nintendo-rom-kirbys-adventure/,https://www.romsgames.net/
Castlevania,Nintendo,US English,3.81 (107 votes),63.3 kB,https://www.romsgames.net/nintendo-rom-castlevania/,https://www.romsgames.net/
Excitebike,Nintendo,US English,3.87 (92 votes),17.2 kB,https://www.romsgames.net/nintendo-rom-excitebike/,https://www.romsgames.net/
Donkey Kong Classics,Nintendo,US English,3.92 (101 votes),30.6 kB,https://www.romsgames.net/nintendo-rom-donkey-kong-classics/,https://www.romsgames.net/
DuckTales,Nintendo,US English,4.11 (75 votes),80.7 kB,https://www.romsgames.net/nintendo-rom-ducktales/,https://www.romsgames.net/
Metroid,Nintendo,US English,4.33 (57 votes),58.5 kB,https://www.romsgames.net/nintendo-rom-metroid/,https://www.romsgames.net/
Teenage Mutant Ninja Turtles II: The Arcade Game,Nintendo,US English,4.03 (58 votes),251 kB,https://www.romsgames.net/nintendo-rom-teenage-mutant-ninja-turtles-ii-the-arcade-game/,https://www.romsgames.net/
Zelda II: The Adventure of Link,Nintendo,US English,3.94 (72 votes),85.4 kB,https://www.romsgames.net/nintendo-rom-zelda-ii-the-adventure-of-link/,https://www.romsgames.net/
Pac-Man (Namco),Nintendo,US English,4.03 (76 votes),11.1 kB,https://www.romsgames.net/nintendo-rom-pac-man-namco/,https://www.romsgames.net/
Contra Force,Nintendo,US English,3.74 (77 votes),162 kB,https://www.romsgames.net/nintendo-rom-contra-force/,https://www.romsgames.net/
Tiny Toon Adventures,Nintendo,US English,4.12 (69 votes),141 kB,https://www.romsgames.net/nintendo-rom-tiny-toon-adventures/,https://www.romsgames.net/
Double Dragon,Nintendo,US English,3.90 (61 votes),137 kB,https://www.romsgames.net/nintendo-rom-double-dragon/,https://www.romsgames.net/
Mega Man 2,Nintendo,US English,4.09 (64 votes),131 kB,https://www.romsgames.net/nintendo-rom-mega-man-2/,https://www.romsgames.net/
150-in-1,Nintendo,US English,3.80 (102 votes),114 kB,https://www.romsgames.net/nintendo-rom-150-in-1/,https://www.romsgames.net/
Chip 'n Dale: Rescue Rangers 2,Nintendo,US English,4.15 (52 votes),133 kB,https://www.romsgames.net/nintendo-rom-chip-n-dale-rescue-rangers-2/,https://www.romsgames.net/
Teenage Mutant Ninja Turtles III: The Manhattan Project,Nintendo,US English,3.97 (58 votes),282 kB,https://www.romsgames.net/nintendo-rom-teenage-mutant-ninja-turtles-iii-the-manhattan-project/,https://www.romsgames.net/
Ninja Gaiden,Nintendo,US English,3.87 (46 votes),136 kB,https://www.romsgames.net/nintendo-rom-ninja-gaiden/,https://www.romsgames.net/
Mega Man,Nintendo,US English,4.11 (46 votes),76.1 kB,https://www.romsgames.net/nintendo-rom-mega-man/,https://www.romsgames.net/
Snow Bros.,Nintendo,US English,4.13 (77 votes),88.3 kB,https://www.romsgames.net/nintendo-rom-snow-bros/,https://www.romsgames.net/
Bubble Bobble,Nintendo,US English,4.21 (19 votes),47.9 kB,https://www.romsgames.net/nintendo-rom-bubble-bobble/,https://www.romsgames.net/
Chip 'n Dale: Rescue Rangers,Nintendo,US English,4.20 (30 votes),139 kB,https://www.romsgames.net/nintendo-rom-chip-n-dale-rescue-rangers/,https://www.romsgames.net/
Castlevania III: Dracula's Curse,Nintendo,US English,3.84 (44 votes),238 kB,https://www.romsgames.net/nintendo-rom-castlevania-iii-draculas-curse/,https://www.romsgames.net/
Adventure Island 3,Nintendo,US English,3.70 (47 votes),137 kB,https://www.romsgames.net/nintendo-rom-adventure-island-3/,https://www.romsgames.net/
Mario Bros,Nintendo,US English,3.97 (32 votes),16.1 kB,https://www.romsgames.net/nintendo-rom-mario-bros/,https://www.romsgames.net/
Metal Gear,Nintendo,US English,3.79 (56 votes),76.7 kB,https://www.romsgames.net/nintendo-rom-metal-gear/,https://www.romsgames.net/
Mega Man 3,Nintendo,US English,3.74 (35 votes),213 kB,https://www.romsgames.net/nintendo-rom-mega-man-3/,https://www.romsgames.net/
Aladdin (Unl),Nintendo,US English,4.34 (38 votes),209 kB,https://www.romsgames.net/nintendo-rom-aladdin-unl/,https://www.romsgames.net/
Batman: The Video Game,Nintendo,US English,3.86 (43 votes),150 kB,https://www.romsgames.net/nintendo-rom-batman-the-video-game/,https://www.romsgames.net/
Mega Man 4,Nintendo,US English,4.08 (36 votes),284 kB,https://www.romsgames.net/nintendo-rom-mega-man-4/,https://www.romsgames.net/
Dr. Mario,Nintendo,US English,4.37 (30 votes),28.4 kB,https://www.romsgames.net/nintendo-rom-dr-mario/,https://www.romsgames.net/
Ice Climber,Nintendo,US English,4.18 (33 votes),17.8 kB,https://www.romsgames.net/nintendo-rom-ice-climber/,https://www.romsgames.net/
Castlevania II: Simon's Quest,Nintendo,US English,4.04 (28 votes),74.5 kB,https://www.romsgames.net/nintendo-rom-castlevania-ii-simons-quest/,https://www.romsgames.net/
Kart Fighter,Nintendo,US English,4.04 (28 votes),174 kB,https://www.romsgames.net/nintendo-rom-kart-fighter/,https://www.romsgames.net/
Mega Man 6,Nintendo,US English,4.08 (36 votes),251 kB,https://www.romsgames.net/nintendo-rom-mega-man-6/,https://www.romsgames.net/
Mega Man 5,Nintendo,US English,4.65 (37 votes),257 kB,https://www.romsgames.net/nintendo-rom-mega-man-5/,https://www.romsgames.net/
