name,console,region,rating,size,link,site
"Call Of Duty (USA, Europe) (En,Fr,De,Es,It) (Review Kit 110) (v1.2)",Nokia N Gage,US English,3.14 (21 votes),19.8 MB,https://www.romsgames.net/nokia-n-gage-rom-call-of-duty-usa-europe-en-fr-de-es-it-review-kit-110-v12/,https://www.romsgames.net/
"Tomb Raider Starring Lara Croft (USA, Europe) (En,Fr,De,Es,It) (v1.0)",Nokia N Gage,US English,3.78 (9 votes),7.54 MB,https://www.romsgames.net/nokia-n-gage-rom-tomb-raider-starring-lara-croft-usa-europe-en-fr-de-es-it-v10/,https://www.romsgames.net/
"Crash Nitro Kart (USA, Europe) (En,Fr,De,Es,It) (v1.8.4)",Nokia N Gage,US English,3.90 (10 votes),5.55 MB,https://www.romsgames.net/nokia-n-gage-rom-crash-nitro-kart-usa-europe-en-fr-de-es-it-v184/,https://www.romsgames.net/
"Elder Scrolls Travels, The - Shadowkey (USA, Europe) (En,Fr,De,Es,It) (26.10.2004)",Nokia N Gage,US English,2.00 (7 votes),9.28 MB,https://www.romsgames.net/nokia-n-gage-rom-elder-scrolls-travels-the---shadowkey-usa-europe-en-fr-de-es-it-26102004/,https://www.romsgames.net/
"Asphalt Urban GT 2 (USA, Europe) (En,Fr,De,Es,It) (Demo) (v2.0.196)",Nokia N Gage,US English,3.70 (10 votes),10.5 MB,https://www.romsgames.net/nokia-n-gage-rom-asphalt-urban-gt-2-usa-europe-en-fr-de-es-it-demo-v20196/,https://www.romsgames.net/
"Spider-Man 2 (USA, Europe) (En,Fr,De,Es,It) (v1.0.7)",Nokia N Gage,US English,4.08 (13 votes),20.4 MB,https://www.romsgames.net/nokia-n-gage-rom-spider-man-2-usa-europe-en-fr-de-es-it-v107/,https://www.romsgames.net/
"Sims, The - Bustin' Out (USA, Europe) (En,Fr,De,Es,It) (v0.03.015)",Nokia N Gage,US English,3.89 (9 votes),12.3 MB,https://www.romsgames.net/nokia-n-gage-rom-sims-the---bustin-out-usa-europe-en-fr-de-es-it-v003015/,https://www.romsgames.net/
"SonicN (USA, Europe) (En,Fr,De,Es,It) (Promo) (v1.0.1)",Nokia N Gage,US English,4.83 (6 votes),1.62 MB,https://www.romsgames.net/nokia-n-gage-rom-sonicn-usa-europe-en-fr-de-es-it-promo-v101/,https://www.romsgames.net/
"Tom Clancy's Splinter Cell - Chaos Theory (USA, Europe) (En,Fr,De,Es,It) (v1.0.240)",Nokia N Gage,US English,4.29 (7 votes),23.7 MB,https://www.romsgames.net/nokia-n-gage-rom-tom-clancys-splinter-cell---chaos-theory-usa-europe-en-fr-de-es-it-v10240/,https://www.romsgames.net/
"King Of Fighters, The - Extreme (USA, Europe) (En,Fr,De,Es,It) (Review Kit 10) (v1.0.24)",Nokia N Gage,US English,1.00 (1 votes),15.7 MB,https://www.romsgames.net/nokia-n-gage-rom-king-of-fighters-the---extreme-usa-europe-en-fr-de-es-it-review-kit-10-v1024/,https://www.romsgames.net/
