name,console,region,rating,size,link,site
Porno (19xx)(-)(YU),Pel Varazdin Orao,US English,3.57 (7 votes),1.47 kB,https://www.romsgames.net/pel-varazdin-orao-rom-porno-19xx-yu/,https://www.romsgames.net/
Space Invaders (19xx)(PEL Soft)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),6.89 kB,https://www.romsgames.net/pel-varazdin-orao-rom-space-invaders-19xxpel-softyu/,https://www.romsgames.net/
"Avion (1986)(Herceg, Emil - Kos, Igor)(YU)",Pel Varazdin Orao,US English,5.00 (2 votes),3.31 kB,https://www.romsgames.net/pel-varazdin-orao-rom-avion-1986herceg-emil---kos-igoryu/,https://www.romsgames.net/
"Strip Ainc (1985)(Bistrovic, Z.)(YU)",Pel Varazdin Orao,US English,5.00 (1 votes),3.87 kB,https://www.romsgames.net/pel-varazdin-orao-rom-strip-ainc-1985bistrovic-zyu/,https://www.romsgames.net/
Sokoban (19xx)(J.P.)(YU)(en),Pel Varazdin Orao,US English,4.00 (2 votes),5.70 kB,https://www.romsgames.net/pel-varazdin-orao-rom-sokoban-19xxjpyuen/,https://www.romsgames.net/
Obelix (19xx)(KMI Borovo)(YU)(en),Pel Varazdin Orao,US English,4.00 (1 votes),2.31 kB,https://www.romsgames.net/pel-varazdin-orao-rom-obelix-19xxkmi-borovoyuen/,https://www.romsgames.net/
Pcelica Maja (19xx)(-)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),4.18 kB,https://www.romsgames.net/pel-varazdin-orao-rom-pcelica-maja-19xx-yu/,https://www.romsgames.net/
Labirint (1985)(Bibi Soft)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),2.61 kB,https://www.romsgames.net/pel-varazdin-orao-rom-labirint-1985bibi-softyu/,https://www.romsgames.net/
6502 Step V1.0 (19xx)(-),Pel Varazdin Orao,US English,5.00 (1 votes),1.68 kB,https://www.romsgames.net/pel-varazdin-orao-rom-6502-step-v10-19xx-/,https://www.romsgames.net/
Figure Chess (1986)(KMI Borovo)(YU)(en),Pel Varazdin Orao,US English,5.00 (1 votes),7.48 kB,https://www.romsgames.net/pel-varazdin-orao-rom-figure-chess-1986kmi-borovoyuen/,https://www.romsgames.net/
Kuki (1986)(KMI Borovo)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),3.42 kB,https://www.romsgames.net/pel-varazdin-orao-rom-kuki-1986kmi-borovoyu/,https://www.romsgames.net/
Eagle (1986)(KMI Borovo)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),4.89 kB,https://www.romsgames.net/pel-varazdin-orao-rom-eagle-1986kmi-borovoyu/,https://www.romsgames.net/
Nevidljivi (1987)(Suzy Soft)(YU)[orao No.1],Pel Varazdin Orao,US English,5.00 (1 votes),1.81 kB,https://www.romsgames.net/pel-varazdin-orao-rom-nevidljivi-1987suzy-softyuorao-no1/,https://www.romsgames.net/
"Magicni Kvadrat (1985)(Ranogajec, Mario - Korpar, Boris)(YU)",Pel Varazdin Orao,US English,5.00 (1 votes),7.95 kB,https://www.romsgames.net/pel-varazdin-orao-rom-magicni-kvadrat-1985ranogajec-mario---korpar-borisyu/,https://www.romsgames.net/
Internacional Karate (19xx)(KMI Borovo)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),7.47 kB,https://www.romsgames.net/pel-varazdin-orao-rom-internacional-karate-19xxkmi-borovoyu/,https://www.romsgames.net/
Zid (1985)(PEL Zabavni Programi)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),3.37 kB,https://www.romsgames.net/pel-varazdin-orao-rom-zid-1985pel-zabavni-programiyu/,https://www.romsgames.net/
Memo (19xx)(PEL Soft)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),4.28 kB,https://www.romsgames.net/pel-varazdin-orao-rom-memo-19xxpel-softyu/,https://www.romsgames.net/
Crtanje (1987)(Suzy Soft)(YU)[orao No.1],Pel Varazdin Orao,US English,5.00 (1 votes),1.94 kB,https://www.romsgames.net/pel-varazdin-orao-rom-crtanje-1987suzy-softyuorao-no1/,https://www.romsgames.net/
Crvic (1986)(PEL Soft)(YU),Pel Varazdin Orao,US English,5.00 (1 votes),4.93 kB,https://www.romsgames.net/pel-varazdin-orao-rom-crvic-1986pel-softyu/,https://www.romsgames.net/
