name,console,region,rating,size,link,site
[BIOS] Philips Videopac+ (Europe),Philips Videopac,US English,5.00 (2 votes),1.15 kB,https://www.romsgames.net/philips-videopac-rom-bios-philips-videopac-europe/,https://www.romsgames.net/
Air Battle (Europe),Philips Videopac,US English,5.00 (1 votes),8.84 kB,https://www.romsgames.net/philips-videopac-rom-air-battle-europe/,https://www.romsgames.net/
Helicopter Rescue (Europe),Philips Videopac,US English,5.00 (1 votes),10.3 kB,https://www.romsgames.net/philips-videopac-rom-helicopter-rescue-europe/,https://www.romsgames.net/
Cosmic Conflict (Europe),Philips Videopac,US English,5.00 (1 votes),3.60 kB,https://www.romsgames.net/philips-videopac-rom-cosmic-conflict-europe/,https://www.romsgames.net/
Pickaxe Pete (Europe),Philips Videopac,US English,5.00 (1 votes),5.25 kB,https://www.romsgames.net/philips-videopac-rom-pickaxe-pete-europe/,https://www.romsgames.net/
Satellite Attack (Europe),Philips Videopac,US English,5.00 (1 votes),3.43 kB,https://www.romsgames.net/philips-videopac-rom-satellite-attack-europe/,https://www.romsgames.net/
Nightmare (Europe),Philips Videopac,US English,5.00 (1 votes),6.01 kB,https://www.romsgames.net/philips-videopac-rom-nightmare-europe/,https://www.romsgames.net/
Trans American Rally (Europe),Philips Videopac,US English,5.00 (1 votes),11.1 kB,https://www.romsgames.net/philips-videopac-rom-trans-american-rally-europe/,https://www.romsgames.net/
Freedom Fighters (Europe),Philips Videopac,US English,5.00 (1 votes),5.12 kB,https://www.romsgames.net/philips-videopac-rom-freedom-fighters-europe/,https://www.romsgames.net/
Terrahawks (Europe),Philips Videopac,US English,5.00 (1 votes),4.78 kB,https://www.romsgames.net/philips-videopac-rom-terrahawks-europe/,https://www.romsgames.net/
Flipper Game (Europe) (Proto),Philips Videopac,US English,5.00 (1 votes),3.70 kB,https://www.romsgames.net/philips-videopac-rom-flipper-game-europe-proto/,https://www.romsgames.net/
Guerre De L'Espace (France),Philips Videopac,US English,5.00 (1 votes),3.60 kB,https://www.romsgames.net/philips-videopac-rom-guerre-de-lespace-france/,https://www.romsgames.net/
Stone Sling (Europe),Philips Videopac,US English,5.00 (1 votes),3.81 kB,https://www.romsgames.net/philips-videopac-rom-stone-sling-europe/,https://www.romsgames.net/
Loony Balloon (Europe),Philips Videopac,US English,5.00 (1 votes),5.60 kB,https://www.romsgames.net/philips-videopac-rom-loony-balloon-europe/,https://www.romsgames.net/
Chez Maxime (France),Philips Videopac,US English,5.00 (1 votes),3.20 kB,https://www.romsgames.net/philips-videopac-rom-chez-maxime-france/,https://www.romsgames.net/
Moto-Crash (France),Philips Videopac,US English,5.00 (1 votes),5.30 kB,https://www.romsgames.net/philips-videopac-rom-moto-crash-france/,https://www.romsgames.net/
Exojet (France),Philips Videopac,US English,5.00 (1 votes),5.22 kB,https://www.romsgames.net/philips-videopac-rom-exojet-france/,https://www.romsgames.net/
Demon Attack (France),Philips Videopac,US English,5.00 (1 votes),5.55 kB,https://www.romsgames.net/philips-videopac-rom-demon-attack-france/,https://www.romsgames.net/
[BIOS] Brandt Jopac (France),Philips Videopac,US English,5.00 (1 votes),1.14 kB,https://www.romsgames.net/philips-videopac-rom-bios-brandt-jopac-france/,https://www.romsgames.net/
"Tresor Englouti, Le (France)",Philips Videopac,US English,5.00 (1 votes),5.63 kB,https://www.romsgames.net/philips-videopac-rom-tresor-englouti-le-france/,https://www.romsgames.net/
