name,console,region,rating,size,link,site
Crash Bandicoot,Playstation,US English,"3.94 (1,514 votes)",450 MB,https://www.romsgames.net/playstation-rom-crash-bandicoot/,https://www.romsgames.net/
Tekken 3,Playstation,US English,4.07 (845 votes),456 MB,https://www.romsgames.net/playstation-rom-tekken-3/,https://www.romsgames.net/
Marvel Vs. Capcom - Clashofthe SuperHeroes[01059],Playstation,US English,4.02 (773 votes),239 MB,https://www.romsgames.net/playstation-rom-marvel-vs-capcom---clashofthe-superheroes01059/,https://www.romsgames.net/
Crash Team Racing [SCUS-94426],Playstation,US English,4.10 (582 votes),281 MB,https://www.romsgames.net/playstation-rom-crash-team-racing-scus-94426/,https://www.romsgames.net/
Gran Turismo 2,Playstation,US English,3.92 (490 votes),442 MB,https://www.romsgames.net/playstation-rom-gran-turismo-2/,https://www.romsgames.net/
Metal Slug X,Playstation,US English,3.94 (523 votes),31.7 MB,https://www.romsgames.net/playstation-rom-metal-slug-x/,https://www.romsgames.net/
Metal Gear Solid,Playstation,US English,4.09 (411 votes),439 MB,https://www.romsgames.net/playstation-rom-metal-gear-solid/,https://www.romsgames.net/
Resident Evil 3 - Nemesis [SLUS-00923],Playstation,US English,3.96 (501 votes),281 MB,https://www.romsgames.net/playstation-rom-resident-evil-3---nemesis-slus-00923/,https://www.romsgames.net/
Resident Evil 2: Dual Shock Ver.,Playstation,US English,4.08 (392 votes),397 MB,https://www.romsgames.net/playstation-rom-resident-evil-2-dual-shock-ver/,https://www.romsgames.net/
Spiderman [SLUS-00875],Playstation,US English,3.99 (414 votes),393 MB,https://www.romsgames.net/playstation-rom-spiderman-slus-00875/,https://www.romsgames.net/
Silent Hill,Playstation,US English,4.14 (250 votes),252 MB,https://www.romsgames.net/playstation-rom-silent-hill/,https://www.romsgames.net/
Final Fantasy 7,Playstation,US English,3.94 (308 votes),484 MB,https://www.romsgames.net/playstation-rom-final-fantasy-7/,https://www.romsgames.net/
Yu-Gi-Oh! Forbidden Memories,Playstation,US English,4.07 (278 votes),96.7 MB,https://www.romsgames.net/playstation-rom-yu-gi-oh-forbidden-memories/,https://www.romsgames.net/
Medal Of Honor [SLUS-00974],Playstation,US English,3.99 (359 votes),416 MB,https://www.romsgames.net/playstation-rom-medal-of-honor-slus-00974/,https://www.romsgames.net/
Street Fighter Collection DISC2OF2 Street Fighter Alpha 2 Gold [SLUS-00584],Playstation,US English,3.95 (256 votes),271 MB,https://www.romsgames.net/playstation-rom-street-fighter-collection-disc2of2-street-fighter-alpha-2-gold-slus-00584/,https://www.romsgames.net/
Castlevania - Symphony Of The Night [SLUS-00067],Playstation,US English,4.19 (205 votes),369 MB,https://www.romsgames.net/playstation-rom-castlevania---symphony-of-the-night-slus-00067/,https://www.romsgames.net/
Tony Hawk's Pro Skater 2,Playstation,US English,4.22 (146 votes),481 MB,https://www.romsgames.net/playstation-rom-tony-hawks-pro-skater-2/,https://www.romsgames.net/
Disney's Tarzan,Playstation,US English,3.86 (239 votes),316 MB,https://www.romsgames.net/playstation-rom-disneys-tarzan/,https://www.romsgames.net/
Need for Speed 3: Hot Pursuit,Playstation,US English,4.07 (245 votes),350 MB,https://www.romsgames.net/playstation-rom-need-for-speed-3-hot-pursuit/,https://www.romsgames.net/
Mortal Kombat 4 [SLUS-00605],Playstation,US English,4.13 (249 votes),347 MB,https://www.romsgames.net/playstation-rom-mortal-kombat-4-slus-00605/,https://www.romsgames.net/
Harry Potter and the Sorcerer's Stone,Playstation,US English,3.96 (185 votes),312 MB,https://www.romsgames.net/playstation-rom-harry-potter-and-the-sorcerers-stone/,https://www.romsgames.net/
Megaman X4 [SLUS-00561],Playstation,US English,4.04 (181 votes),384 MB,https://www.romsgames.net/playstation-rom-megaman-x4-slus-00561/,https://www.romsgames.net/
Grand Theft Auto 2,Playstation,US English,3.78 (218 votes),372 MB,https://www.romsgames.net/playstation-rom-grand-theft-auto-2/,https://www.romsgames.net/
Jackie Chan Stuntmaster,Playstation,US English,4.06 (174 votes),390 MB,https://www.romsgames.net/playstation-rom-jackie-chan-stuntmaster/,https://www.romsgames.net/
Digimon World,Playstation,US English,4.17 (126 votes),187 MB,https://www.romsgames.net/playstation-rom-digimon-world/,https://www.romsgames.net/
Driver 2,Playstation,US English,4.11 (175 votes),392 MB,https://www.romsgames.net/playstation-rom-driver-2/,https://www.romsgames.net/
Crash Bandicoot 3 - Warped [SCUS-94244],Playstation,US English,3.91 (195 votes),113 MB,https://www.romsgames.net/playstation-rom-crash-bandicoot-3---warped-scus-94244/,https://www.romsgames.net/
Crash Bash [SCUS-94570],Playstation,US English,4.13 (150 votes),49.5 MB,https://www.romsgames.net/playstation-rom-crash-bash-scus-94570/,https://www.romsgames.net/
Castlevania: Symphony of the Night,Playstation,US English,4.32 (120 votes),359 MB,https://www.romsgames.net/playstation-rom-castlevania-symphony-of-the-night/,https://www.romsgames.net/
Resident Evil 3: Nemesis,Playstation,US English,4.26 (127 votes),266 MB,https://www.romsgames.net/playstation-rom-resident-evil-3-nemesis/,https://www.romsgames.net/
Tomb Raider Greatest Hits [SLUS-00152],Playstation,US English,4.18 (118 votes),341 MB,https://www.romsgames.net/playstation-rom-tomb-raider-greatest-hits-slus-00152/,https://www.romsgames.net/
Mortal Kombat Trilogy,Playstation,US English,4.24 (133 votes),328 MB,https://www.romsgames.net/playstation-rom-mortal-kombat-trilogy/,https://www.romsgames.net/
Disney's Hercules Action Game,Playstation,US English,4.16 (99 votes),221 MB,https://www.romsgames.net/playstation-rom-disneys-hercules-action-game/,https://www.romsgames.net/
Disney's Toy Story 2 - Buzz Lightyear To The Rescue  [SLUS-00893],Playstation,US English,4.07 (114 votes),373 MB,https://www.romsgames.net/playstation-rom-disneys-toy-story-2---buzz-lightyear-to-the-rescue-slus-00893/,https://www.romsgames.net/
Jojo's Bizarre Adventure,Playstation,US English,4.05 (174 votes),399 MB,https://www.romsgames.net/playstation-rom-jojos-bizarre-adventure/,https://www.romsgames.net/
Gran Turismo,Playstation,US English,4.18 (90 votes),341 MB,https://www.romsgames.net/playstation-rom-gran-turismo/,https://www.romsgames.net/
Tony Hawk S Pro Skater 4 [SLUS-01485],Playstation,US English,4.20 (83 votes),417 MB,https://www.romsgames.net/playstation-rom-tony-hawk-s-pro-skater-4-slus-01485/,https://www.romsgames.net/
Dino Crisis 2 [SLUS-01279],Playstation,US English,4.10 (90 votes),328 MB,https://www.romsgames.net/playstation-rom-dino-crisis-2-slus-01279/,https://www.romsgames.net/
Medievil,Playstation,US English,4.15 (78 votes),337 MB,https://www.romsgames.net/playstation-rom-medievil/,https://www.romsgames.net/
Diablo [SLUS-00619],Playstation,US English,4.20 (92 votes),348 MB,https://www.romsgames.net/playstation-rom-diablo-slus-00619/,https://www.romsgames.net/
Twisted Metal 2,Playstation,US English,4.23 (65 votes),568 MB,https://www.romsgames.net/playstation-rom-twisted-metal-2/,https://www.romsgames.net/
Crash Bandicoot 2 - Cortex Strikes Back [SCUS-94154],Playstation,US English,3.98 (112 votes),76.6 MB,https://www.romsgames.net/playstation-rom-crash-bandicoot-2---cortex-strikes-back-scus-94154/,https://www.romsgames.net/
Capcom Vs. SNK - Millennium Fight 2000 Pro [SLUS-01476],Playstation,US English,4.09 (104 votes),314 MB,https://www.romsgames.net/playstation-rom-capcom-vs-snk---millennium-fight-2000-pro-slus-01476/,https://www.romsgames.net/
Parasite Eve,Playstation,US English,4.06 (69 votes),273 MB,https://www.romsgames.net/playstation-rom-parasite-eve/,https://www.romsgames.net/
Spiderman 2 Enter Electro [SLUS-01378],Playstation,US English,4.31 (123 votes),313 MB,https://www.romsgames.net/playstation-rom-spiderman-2-enter-electro-slus-01378/,https://www.romsgames.net/
Bloody Roar II,Playstation,US English,4.00 (81 votes),291 MB,https://www.romsgames.net/playstation-rom-bloody-roar-ii/,https://www.romsgames.net/
Dino Crisis [SLUS-00922],Playstation,US English,4.37 (83 votes),225 MB,https://www.romsgames.net/playstation-rom-dino-crisis-slus-00922/,https://www.romsgames.net/
Rayman [SLUS-00005],Playstation,US English,4.22 (69 votes),368 MB,https://www.romsgames.net/playstation-rom-rayman-slus-00005/,https://www.romsgames.net/
Harvest Moon: Back to Nature,Playstation,US English,4.10 (100 votes),24.3 MB,https://www.romsgames.net/playstation-rom-harvest-moon-back-to-nature/,https://www.romsgames.net/
Crash Bandicoot: Warped,Playstation,US English,3.95 (105 votes),80.6 MB,https://www.romsgames.net/playstation-rom-crash-bandicoot-warped/,https://www.romsgames.net/
Driver: You Are the Wheelman,Playstation,US English,4.17 (90 votes),383 MB,https://www.romsgames.net/playstation-rom-driver-you-are-the-wheelman/,https://www.romsgames.net/
Chrono Cross,Playstation,US English,3.82 (61 votes),365 MB,https://www.romsgames.net/playstation-rom-chrono-cross/,https://www.romsgames.net/
Resident Evil: Director's Cut,Playstation,US English,4.21 (72 votes),291 MB,https://www.romsgames.net/playstation-rom-resident-evil-directors-cut/,https://www.romsgames.net/
Final Fantasy 8,Playstation,US English,4.39 (66 votes),496 MB,https://www.romsgames.net/playstation-rom-final-fantasy-8/,https://www.romsgames.net/
Spyro The Dragon [SCUS-94228],Playstation,US English,4.33 (48 votes),311 MB,https://www.romsgames.net/playstation-rom-spyro-the-dragon-scus-94228/,https://www.romsgames.net/
Twisted Metal 4 [SCUS-94560],Playstation,US English,4.31 (45 votes),621 MB,https://www.romsgames.net/playstation-rom-twisted-metal-4-scus-94560/,https://www.romsgames.net/
Digimon Rumble Arena,Playstation,US English,3.99 (81 votes),172 MB,https://www.romsgames.net/playstation-rom-digimon-rumble-arena/,https://www.romsgames.net/
Spyro 2: Ripto's Rage!,Playstation,US English,4.29 (52 votes),330 MB,https://www.romsgames.net/playstation-rom-spyro-2-riptos-rage/,https://www.romsgames.net/
Resident Evil 2 (Disc 1)(Leon)[SLES-00972],Playstation,US English,4.20 (100 votes),389 MB,https://www.romsgames.net/playstation-rom-resident-evil-2-disc-1leonsles-00972/,https://www.romsgames.net/
Resident Evil Director S Cut [SLUS-00551],Playstation,US English,3.88 (91 votes),1.40 kB,https://www.romsgames.net/playstation-rom-resident-evil-director-s-cut-slus-00551/,https://www.romsgames.net/
Dragon Ball GT: Final Bout,Playstation,US English,3.89 (103 votes),53.6 MB,https://www.romsgames.net/playstation-rom-dragon-ball-gt-final-bout/,https://www.romsgames.net/
Bugs Bunny - Lost In Time [SLUS-00838],Playstation,US English,4.00 (81 votes),198 MB,https://www.romsgames.net/playstation-rom-bugs-bunny---lost-in-time-slus-00838/,https://www.romsgames.net/
Doom,Playstation,US English,4.26 (72 votes),200 MB,https://www.romsgames.net/playstation-rom-doom/,https://www.romsgames.net/
Medal of Honor: Underground,Playstation,US English,4.30 (92 votes),473 MB,https://www.romsgames.net/playstation-rom-medal-of-honor-underground/,https://www.romsgames.net/
