name,console,region,rating,size,link,site
Aladin Und Die Wunderlampe (19xx)(Claus Hoefling)[a],Robotron Z1013,US English,5.00 (1 votes),6.91 kB,https://www.romsgames.net/robotron-z1013-rom-aladin-und-die-wunderlampe-19xxclaus-hoeflinga/,https://www.romsgames.net/
River Raid (1987)(D. Schaedlich),Robotron Z1013,US English,5.00 (1 votes),6.23 kB,https://www.romsgames.net/robotron-z1013-rom-river-raid-1987d-schaedlich/,https://www.romsgames.net/
ZZZ-UNK-INCOM.XXX,Robotron Z1013,US English,5.00 (1 votes),1.90 kB,https://www.romsgames.net/robotron-z1013-rom-zzz-unk-incomxxx/,https://www.romsgames.net/
Aladin Und Die Wunderlampe (19xx)(Claus Hoefling)[a2],Robotron Z1013,US English,5.00 (1 votes),6.90 kB,https://www.romsgames.net/robotron-z1013-rom-aladin-und-die-wunderlampe-19xxclaus-hoeflinga2/,https://www.romsgames.net/
Digger (1990)(F. Benditz)[a2],Robotron Z1013,US English,5.00 (1 votes),11.2 kB,https://www.romsgames.net/robotron-z1013-rom-digger-1990f-benditza2/,https://www.romsgames.net/
Fussball Manager (19xx)(-)[b],Robotron Z1013,US English,5.00 (1 votes),11.1 kB,https://www.romsgames.net/robotron-z1013-rom-fussball-manager-19xx-b/,https://www.romsgames.net/
Niemandsland (19xx)(A. Schroeder)[a2],Robotron Z1013,US English,5.00 (1 votes),16.0 kB,https://www.romsgames.net/robotron-z1013-rom-niemandsland-19xxa-schroedera2/,https://www.romsgames.net/
Centipede (1988)(Franz Beist),Robotron Z1013,US English,5.00 (1 votes),4.55 kB,https://www.romsgames.net/robotron-z1013-rom-centipede-1988franz-beist/,https://www.romsgames.net/
PSE + Line (19xx)(-),Robotron Z1013,US English,5.00 (1 votes),1.16 kB,https://www.romsgames.net/robotron-z1013-rom-pse-line-19xx-/,https://www.romsgames.net/
Schiffe Versenken (19xx)(-),Robotron Z1013,US English,5.00 (1 votes),2.42 kB,https://www.romsgames.net/robotron-z1013-rom-schiffe-versenken-19xx-/,https://www.romsgames.net/
Boulderdash V1.0 (19xx)(Hannes Brandenburg)[a],Robotron Z1013,US English,5.00 (1 votes),4.69 kB,https://www.romsgames.net/robotron-z1013-rom-boulderdash-v10-19xxhannes-brandenburga/,https://www.romsgames.net/
Vampi (1989)(Stinner)[a],Robotron Z1013,US English,5.00 (1 votes),2.69 kB,https://www.romsgames.net/robotron-z1013-rom-vampi-1989stinnera/,https://www.romsgames.net/
Hisoft Pascal Teach (1983)(Hisoft)[h N.H. &amp; U.G.][a][doc],Robotron Z1013,US English,5.00 (1 votes),4 kB,https://www.romsgames.net/robotron-z1013-rom-hisoft-pascal-teach-1983hisofth-nh-ugadoc/,https://www.romsgames.net/
Gost Hut (19xx)(Eagle Soft)[b],Robotron Z1013,US English,5.00 (1 votes),1.68 kB,https://www.romsgames.net/robotron-z1013-rom-gost-hut-19xxeagle-softb/,https://www.romsgames.net/
Z1013 ASM - Kurzbeschreibung (19xx)(-)[doc],Robotron Z1013,US English,5.00 (1 votes),1.29 kB,https://www.romsgames.net/robotron-z1013-rom-z1013-asm---kurzbeschreibung-19xx-doc/,https://www.romsgames.net/
Z1013 Debugger V3.02 (1989)(H. Krull),Robotron Z1013,US English,5.00 (1 votes),3.40 kB,https://www.romsgames.net/robotron-z1013-rom-z1013-debugger-v302-1989h-krull/,https://www.romsgames.net/
Alf (1988)(Jens Wichmann)[a],Robotron Z1013,US English,5.00 (1 votes),1.76 kB,https://www.romsgames.net/robotron-z1013-rom-alf-1988jens-wichmanna/,https://www.romsgames.net/
ESC Codes Und Funktionen (19xx)(-)[doc],Robotron Z1013,US English,5.00 (1 votes),1.03 kB,https://www.romsgames.net/robotron-z1013-rom-esc-codes-und-funktionen-19xx-doc/,https://www.romsgames.net/
SCP-2RF (19xx)(R. Brosig)[doc],Robotron Z1013,US English,5.00 (1 votes),2.32 kB,https://www.romsgames.net/robotron-z1013-rom-scp-2rf-19xxr-brosigdoc/,https://www.romsgames.net/
Hex-ASCII-Dump (1988)(W. Bernhardt)[a],Robotron Z1013,US English,5.00 (1 votes),1.82 kB,https://www.romsgames.net/robotron-z1013-rom-hex-ascii-dump-1988w-bernhardta/,https://www.romsgames.net/
Voice Dice (19xx)(-)[a],Robotron Z1013,US English,5.00 (1 votes),15.1 kB,https://www.romsgames.net/robotron-z1013-rom-voice-dice-19xx-a/,https://www.romsgames.net/
Hex-ASCII-Dump (1988)(W. Bernhardt)[a2],Robotron Z1013,US English,5.00 (1 votes),1.83 kB,https://www.romsgames.net/robotron-z1013-rom-hex-ascii-dump-1988w-bernhardta2/,https://www.romsgames.net/
Voice Dice (19xx)(-)[memory Dump],Robotron Z1013,US English,5.00 (1 votes),6.98 kB,https://www.romsgames.net/robotron-z1013-rom-voice-dice-19xx-memory-dump/,https://www.romsgames.net/
Hisoft Gens3M Assembler (1983)(B. Arning)(en)[a],Robotron Z1013,US English,5.00 (1 votes),6.44 kB,https://www.romsgames.net/robotron-z1013-rom-hisoft-gens3m-assembler-1983b-arningena/,https://www.romsgames.net/
Hisoft-Pascal Beschreibung (1997)(N.H. &amp; U.G.)[doc],Robotron Z1013,US English,5.00 (1 votes),3.66 kB,https://www.romsgames.net/robotron-z1013-rom-hisoft-pascal-beschreibung-1997nh-ugdoc/,https://www.romsgames.net/
Hisoft Pascal Teach (1983)(Hisoft)[h N.H. &amp; U.G.][a2][doc],Robotron Z1013,US English,5.00 (1 votes),4.02 kB,https://www.romsgames.net/robotron-z1013-rom-hisoft-pascal-teach-1983hisofth-nh-uga2doc/,https://www.romsgames.net/
Hisoft-Pascal V1.04 (1983)(Hisoft)[h N.H. &amp; U.G.][a],Robotron Z1013,US English,5.00 (1 votes),12.7 kB,https://www.romsgames.net/robotron-z1013-rom-hisoft-pascal-v104-1983hisofth-nh-uga/,https://www.romsgames.net/
Besonderheiten Des CPM-2RF 2.38M (1988)(R. Brosig)[a2][doc],Robotron Z1013,US English,5.00 (1 votes),2.34 kB,https://www.romsgames.net/robotron-z1013-rom-besonderheiten-des-cpm-2rf-238m-1988r-brosiga2doc/,https://www.romsgames.net/
Santa Paravia (19xx)(Andreas Ziermann &amp; Dirk Ambras)[a],Robotron Z1013,US English,5.00 (1 votes),6.95 kB,https://www.romsgames.net/robotron-z1013-rom-santa-paravia-19xxandreas-ziermann-dirk-ambrasa/,https://www.romsgames.net/
Wall (1988)(F. Herzog),Robotron Z1013,US English,5.00 (1 votes),7.03 kB,https://www.romsgames.net/robotron-z1013-rom-wall-1988f-herzog/,https://www.romsgames.net/
Hindernislauf (19xx)(-),Robotron Z1013,US English,5.00 (1 votes),1.03 kB,https://www.romsgames.net/robotron-z1013-rom-hindernislauf-19xx-/,https://www.romsgames.net/
Wissenstest Ueber Afrika (19xx)(-),Robotron Z1013,US English,5.00 (1 votes),5.31 kB,https://www.romsgames.net/robotron-z1013-rom-wissenstest-ueber-afrika-19xx-/,https://www.romsgames.net/
