name,console,region,rating,size,link,site
Sonic The Hedgehog (JUE),SEGA Genesis,US English,3.98 (300 votes),387 kB,https://www.romsgames.net/sega-genesis-rom-sonic-the-hedgehog-jue/,https://www.romsgames.net/
Sonic &amp; Knuckles + Sonic The Hedgehog 3 (Europe),SEGA Genesis,US English,4.35 (315 votes),2.55 MB,https://www.romsgames.net/sega-genesis-rom-sonic-knuckles-sonic-the-hedgehog-3-europe/,https://www.romsgames.net/
Sonic The Hedgehog 2 (JUE),SEGA Genesis,US English,4.03 (232 votes),750 kB,https://www.romsgames.net/sega-genesis-rom-sonic-the-hedgehog-2-jue/,https://www.romsgames.net/
Streets of Rage 3,SEGA Genesis,US English,4.21 (134 votes),1.63 MB,https://www.romsgames.net/sega-genesis-rom-streets-of-rage-3/,https://www.romsgames.net/
Teenage Mutant Ninja Turtles - Return Of The Shredder,SEGA Genesis,Japan Japanese,4.03 (93 votes),668 kB,https://www.romsgames.net/sega-genesis-rom-teenage-mutant-ninja-turtles---return-of-the-shredder/,https://www.romsgames.net/
Aladdin,SEGA Genesis,US English,4.01 (82 votes),1.13 MB,https://www.romsgames.net/sega-genesis-rom-aladdin/,https://www.romsgames.net/
Golden Axe,SEGA Genesis,US English,4.06 (77 votes),335 kB,https://www.romsgames.net/sega-genesis-rom-golden-axe/,https://www.romsgames.net/
Ultimate Mortal Kombat 3,SEGA Genesis,US English,3.96 (108 votes),3.25 MB,https://www.romsgames.net/sega-genesis-rom-ultimate-mortal-kombat-3/,https://www.romsgames.net/
Disney Collection - Castle Of Illusion &amp; Quackshot,SEGA Genesis,US English,3.89 (70 votes),802 kB,https://www.romsgames.net/sega-genesis-rom-disney-collection---castle-of-illusion-quackshot/,https://www.romsgames.net/
Streets of Rage 2,SEGA Genesis,US English,3.64 (53 votes),986 kB,https://www.romsgames.net/sega-genesis-rom-streets-of-rage-2/,https://www.romsgames.net/
Michael Jackson's Moonwalker,SEGA Genesis,US English,4.09 (70 votes),325 kB,https://www.romsgames.net/sega-genesis-rom-michael-jacksons-moonwalker/,https://www.romsgames.net/
Streets of Rage,SEGA Genesis,US English,3.81 (59 votes),362 kB,https://www.romsgames.net/sega-genesis-rom-streets-of-rage/,https://www.romsgames.net/
Mortal Kombat,SEGA Genesis,US English,3.71 (76 votes),977 kB,https://www.romsgames.net/sega-genesis-rom-mortal-kombat/,https://www.romsgames.net/
Street Fighter 2 Special Champion Edition,SEGA Genesis,US English,4.02 (46 votes),1.60 MB,https://www.romsgames.net/sega-genesis-rom-street-fighter-2-special-champion-edition/,https://www.romsgames.net/
Golden Axe II,SEGA Genesis,US English,4.20 (35 votes),322 kB,https://www.romsgames.net/sega-genesis-rom-golden-axe-ii/,https://www.romsgames.net/
Tiny Toon Adventures: Buster's Hidden Treasure,SEGA Genesis,US English,3.82 (55 votes),356 kB,https://www.romsgames.net/sega-genesis-rom-tiny-toon-adventures-busters-hidden-treasure/,https://www.romsgames.net/
