name,console,region,rating,size,link,site
Knuckles' Chaotix,Sega 32X,US English,4.54 (13 votes),8.59 kB,https://www.romsgames.net/sega-32x-rom-knuckles-chaotix/,https://www.romsgames.net/
Doom,Sega 32X,US English,4.00 (3 votes),5.54 kB,https://www.romsgames.net/sega-32x-rom-doom/,https://www.romsgames.net/
Spider-Man - Web Of Fire,Sega 32X,US English,4.50 (2 votes),9 kB,https://www.romsgames.net/sega-32x-rom-spider-man---web-of-fire/,https://www.romsgames.net/
Star Wars Arcade,Sega 32X,US English,5.00 (1 votes),6.92 kB,https://www.romsgames.net/sega-32x-rom-star-wars-arcade/,https://www.romsgames.net/
Virtua Fighter,Sega 32X,US English,5.00 (1 votes),9.05 kB,https://www.romsgames.net/sega-32x-rom-virtua-fighter/,https://www.romsgames.net/
Blackthorne,Sega 32X,US English,5.00 (1 votes),5.01 kB,https://www.romsgames.net/sega-32x-rom-blackthorne/,https://www.romsgames.net/
Motocross Championship,Sega 32X,US English,2.50 (2 votes),6.87 kB,https://www.romsgames.net/sega-32x-rom-motocross-championship/,https://www.romsgames.net/
Mortal Kombat 2,Sega 32X,US English,5.00 (2 votes),6.92 kB,https://www.romsgames.net/sega-32x-rom-mortal-kombat-2/,https://www.romsgames.net/
After Burner Complete,Sega 32X,US English,3.67 (3 votes),6.02 kB,https://www.romsgames.net/sega-32x-rom-after-burner-complete/,https://www.romsgames.net/
Primal Rage,Sega 32X,US English,3.00 (1 votes),8.81 kB,https://www.romsgames.net/sega-32x-rom-primal-rage/,https://www.romsgames.net/
Space Harrier,Sega 32X,US English,5.00 (1 votes),5.59 kB,https://www.romsgames.net/sega-32x-rom-space-harrier/,https://www.romsgames.net/
Pitfall - The Mayan Adventure,Sega 32X,US English,5.00 (1 votes),7.10 kB,https://www.romsgames.net/sega-32x-rom-pitfall---the-mayan-adventure/,https://www.romsgames.net/
WWF - Wrestlemania Arcade,Sega 32X,US English,5.00 (1 votes),8.93 kB,https://www.romsgames.net/sega-32x-rom-wwf---wrestlemania-arcade/,https://www.romsgames.net/
FIFA International Soccer 1996,Sega 32X,US English,2.00 (3 votes),5.47 kB,https://www.romsgames.net/sega-32x-rom-fifa-international-soccer-1996/,https://www.romsgames.net/
Shadow Squadron,Sega 32X,US English,5.00 (1 votes),9.13 kB,https://www.romsgames.net/sega-32x-rom-shadow-squadron/,https://www.romsgames.net/
BC Racers,Sega 32X,US English,5.00 (1 votes),7.86 kB,https://www.romsgames.net/sega-32x-rom-bc-racers/,https://www.romsgames.net/
Virtua Racing Deluxe,Sega 32X,US English,5.00 (1 votes),5.58 kB,https://www.romsgames.net/sega-32x-rom-virtua-racing-deluxe/,https://www.romsgames.net/
Tempo,Sega 32X,US English,1.00 (1 votes),8.37 kB,https://www.romsgames.net/sega-32x-rom-tempo/,https://www.romsgames.net/
Cosmic Carnage,Sega 32X,US English,5.00 (1 votes),6.02 kB,https://www.romsgames.net/sega-32x-rom-cosmic-carnage/,https://www.romsgames.net/
NBA Jam - Tournament Edition,Sega 32X,US English,5.00 (1 votes),5.56 kB,https://www.romsgames.net/sega-32x-rom-nba-jam---tournament-edition/,https://www.romsgames.net/
Zaxxon's Motherbase 2000,Sega 32X,US English,5.00 (1 votes),6.41 kB,https://www.romsgames.net/sega-32x-rom-zaxxons-motherbase-2000/,https://www.romsgames.net/
Star Trek - Starfleet Academy Bridge Simulator,Sega 32X,US English,5.00 (1 votes),6.11 kB,https://www.romsgames.net/sega-32x-rom-star-trek---starfleet-academy-bridge-simulator/,https://www.romsgames.net/
Metal Head,Sega 32X,US English,5.00 (1 votes),7.89 kB,https://www.romsgames.net/sega-32x-rom-metal-head/,https://www.romsgames.net/
Romance Of The Three Kingdoms 4,Sega 32X,US English,5.00 (1 votes),5.11 kB,https://www.romsgames.net/sega-32x-rom-romance-of-the-three-kingdoms-4/,https://www.romsgames.net/
WWF - RAW,Sega 32X,US English,4.00 (1 votes),8.60 kB,https://www.romsgames.net/sega-32x-rom-wwf---raw/,https://www.romsgames.net/
Brutal Unleashed - Above The Claw,Sega 32X,US English,5.00 (1 votes),5.18 kB,https://www.romsgames.net/sega-32x-rom-brutal-unleashed---above-the-claw/,https://www.romsgames.net/
