name,console,region,rating,size,link,site
Pocket Monsters Advance Generation - Minna De Pico - Pokemon Waiwai Battle!,Sega Pico,Japan Japanese,4.28 (18 votes),7.44 kB,https://www.romsgames.net/sega-pico-rom-pocket-monsters-advance-generation---minna-de-pico---pokemon-waiwai-battle/,https://www.romsgames.net/
Kamen Rider 555,Sega Pico,Japan Japanese,4.70 (10 votes),1.03 MB,https://www.romsgames.net/sega-pico-rom-kamen-rider-555/,https://www.romsgames.net/
Sonic The Hedgehog's Gameworld,Sega Pico,US English,5.00 (5 votes),5.61 kB,https://www.romsgames.net/sega-pico-rom-sonic-the-hedgehogs-gameworld/,https://www.romsgames.net/
O Rei Leao - As Aventuras De Simba (Brazil),Sega Pico,US English,4.00 (8 votes),9.26 kB,https://www.romsgames.net/sega-pico-rom-o-rei-leao---as-aventuras-de-simba-brazil/,https://www.romsgames.net/
Ultraman Tiga,Sega Pico,Japan Japanese,4.45 (11 votes),8.33 kB,https://www.romsgames.net/sega-pico-rom-ultraman-tiga/,https://www.romsgames.net/
Ultraman Dyna D,Sega Pico,Japan Japanese,4.50 (6 votes),5.12 kB,https://www.romsgames.net/sega-pico-rom-ultraman-dyna-d/,https://www.romsgames.net/
Bishoujo Senshi Sailor Moon S,Sega Pico,US English,4.00 (4 votes),7.70 kB,https://www.romsgames.net/sega-pico-rom-bishoujo-senshi-sailor-moon-s/,https://www.romsgames.net/
Tails And The Music Maker (Europe),Sega Pico,US English,5.00 (1 votes),7.54 kB,https://www.romsgames.net/sega-pico-rom-tails-and-the-music-maker-europe/,https://www.romsgames.net/
Ninja Sentai Hurricanger &amp; Hyakujuu Sentai Gaoranger Chou Sentai Super Battle,Sega Pico,US English,4.50 (4 votes),789 kB,https://www.romsgames.net/sega-pico-rom-ninja-sentai-hurricanger-hyakujuu-sentai-gaoranger-chou-sentai-super-battle/,https://www.romsgames.net/
Bishoujo Senshi Sailor Moon SuperS,Sega Pico,Japan Japanese,5.00 (3 votes),8.32 kB,https://www.romsgames.net/sega-pico-rom-bishoujo-senshi-sailor-moon-supers/,https://www.romsgames.net/
Kamen Rider Agito &amp; Kuuga Wild Battle,Sega Pico,Japan Japanese,3.33 (3 votes),9.26 kB,https://www.romsgames.net/sega-pico-rom-kamen-rider-agito-kuuga-wild-battle/,https://www.romsgames.net/
Ninpuu Sentai Hurricaneger &amp; Hyakujuu Sentai Gaoranger Chou Sentai Super Battle,Sega Pico,Japan Japanese,3.75 (4 votes),6.08 kB,https://www.romsgames.net/sega-pico-rom-ninpuu-sentai-hurricaneger-hyakujuu-sentai-gaoranger-chou-sentai-super-battle/,https://www.romsgames.net/
"Lion King, The - Adventures At Pride Rock",Sega Pico,US English,4.50 (2 votes),7.61 kB,https://www.romsgames.net/sega-pico-rom-lion-king-the---adventures-at-pride-rock/,https://www.romsgames.net/
LEGO - Fun To Build,Sega Pico,Japan Japanese,5.00 (1 votes),5.16 kB,https://www.romsgames.net/sega-pico-rom-lego---fun-to-build/,https://www.romsgames.net/
Mo~tto! Ojamajo Doremi,Sega Pico,Japan Japanese,5.00 (4 votes),8.70 kB,https://www.romsgames.net/sega-pico-rom-mo-tto-ojamajo-doremi/,https://www.romsgames.net/
Crayon Shin-chan No O-Ekaki Note,Sega Pico,Japan Japanese,4.50 (2 votes),9.38 kB,https://www.romsgames.net/sega-pico-rom-crayon-shin-chan-no-o-ekaki-note/,https://www.romsgames.net/
Denji Sentai Megaranger,Sega Pico,Japan Japanese,5.00 (1 votes),5.06 kB,https://www.romsgames.net/sega-pico-rom-denji-sentai-megaranger/,https://www.romsgames.net/
Pocahontas - Riverbend Adventures,Sega Pico,US English,5.00 (1 votes),9.27 kB,https://www.romsgames.net/sega-pico-rom-pocahontas---riverbend-adventures/,https://www.romsgames.net/
Bishoujo Senshi Sailor Moon Sailor Stars - Tokimeki Party,Sega Pico,Japan Japanese,5.00 (1 votes),9.50 kB,https://www.romsgames.net/sega-pico-rom-bishoujo-senshi-sailor-moon-sailor-stars---tokimeki-party/,https://www.romsgames.net/
Godzilla - Dokidoki Kaijuu-tou,Sega Pico,US English,5.00 (3 votes),591 kB,https://www.romsgames.net/sega-pico-rom-godzilla---dokidoki-kaijuu-tou/,https://www.romsgames.net/
Issho Ni Hashirou Kikansha Thomas (Best Selection),Sega Pico,Japan Japanese,4.00 (4 votes),8.20 kB,https://www.romsgames.net/sega-pico-rom-issho-ni-hashirou-kikansha-thomas-best-selection/,https://www.romsgames.net/
Doraemon Machinaka (Taiwan),Sega Pico,US English,5.00 (1 votes),6.96 kB,https://www.romsgames.net/sega-pico-rom-doraemon-machinaka-taiwan/,https://www.romsgames.net/
Las Adventuras Del Rey Leon (Spain),Sega Pico,US English,5.00 (1 votes),7.44 kB,https://www.romsgames.net/sega-pico-rom-las-adventuras-del-rey-leon-spain/,https://www.romsgames.net/
Crayon Shin-chan No Ora To Issho Ni Asobou Yo!,Sega Pico,Japan Japanese,5.00 (1 votes),6.97 kB,https://www.romsgames.net/sega-pico-rom-crayon-shin-chan-no-ora-to-issho-ni-asobou-yo/,https://www.romsgames.net/
Doraemon Eigo De Asobou ABC,Sega Pico,US English,5.00 (1 votes),1.46 MB,https://www.romsgames.net/sega-pico-rom-doraemon-eigo-de-asobou-abc/,https://www.romsgames.net/
Ultraman Vs. Kaijuu Gundan,Sega Pico,US English,5.00 (1 votes),423 kB,https://www.romsgames.net/sega-pico-rom-ultraman-vs-kaijuu-gundan/,https://www.romsgames.net/
Math Antics With Disney's 101 Dalmatians,Sega Pico,US English,5.00 (1 votes),8.53 kB,https://www.romsgames.net/sega-pico-rom-math-antics-with-disneys-101-dalmatians/,https://www.romsgames.net/
Gekisou Sentai CarRanger,Sega Pico,US English,4.00 (1 votes),406 kB,https://www.romsgames.net/sega-pico-rom-gekisou-sentai-carranger/,https://www.romsgames.net/
A Bug's Life,Sega Pico,Japan Japanese,5.00 (1 votes),6.85 kB,https://www.romsgames.net/sega-pico-rom-a-bugs-life/,https://www.romsgames.net/
A Year At Pooh Corner,Sega Pico,Europe,5.00 (1 votes),8.60 kB,https://www.romsgames.net/sega-pico-rom-a-year-at-pooh-corner/,https://www.romsgames.net/
Tokusou Sentai Dekaranger,Sega Pico,Japan Japanese,5.00 (0 votes),8.42 kB,https://www.romsgames.net/sega-pico-rom-tokusou-sentai-dekaranger/,https://www.romsgames.net/
"Berenstain Bears, The - A School Day",Sega Pico,US English,5.00 (1 votes),7.93 kB,https://www.romsgames.net/sega-pico-rom-berenstain-bears-the---a-school-day/,https://www.romsgames.net/
Miimi To Taata No Waiwai O-Ekaki Doubutsuen,Sega Pico,Japan Japanese,5.00 (0 votes),6.65 kB,https://www.romsgames.net/sega-pico-rom-miimi-to-taata-no-waiwai-o-ekaki-doubutsuen/,https://www.romsgames.net/
Doraemon - Nobita No Machinaka Dokidoki Tanken!,Sega Pico,US English,5.00 (1 votes),408 kB,https://www.romsgames.net/sega-pico-rom-doraemon---nobita-no-machinaka-dokidoki-tanken/,https://www.romsgames.net/
"Muppets, The - On The Go!",Sega Pico,US English,4.00 (1 votes),9.06 kB,https://www.romsgames.net/sega-pico-rom-muppets-the---on-the-go/,https://www.romsgames.net/
Tottoko Hamtarou Haru Natsu Aki Fuyu Tottoko Nakayoshi! Ham-chans!,Sega Pico,US English,5.00 (1 votes),1.74 MB,https://www.romsgames.net/sega-pico-rom-tottoko-hamtarou-haru-natsu-aki-fuyu-tottoko-nakayoshi-ham-chans/,https://www.romsgames.net/
"Magic School Bus, The",Sega Pico,US English,5.00 (1 votes),8.46 kB,https://www.romsgames.net/sega-pico-rom-magic-school-bus-the/,https://www.romsgames.net/
Toy Story 2 (Korea) (Samsung Pico),Sega Pico,US English,3.00 (1 votes),8.97 kB,https://www.romsgames.net/sega-pico-rom-toy-story-2-korea-samsung-pico/,https://www.romsgames.net/
Kouchuu Ouja Mushiking - Atsumete Asobou Kouchuu Zukan,Sega Pico,US English,5.00 (1 votes),1.65 MB,https://www.romsgames.net/sega-pico-rom-kouchuu-ouja-mushiking---atsumete-asobou-kouchuu-zukan/,https://www.romsgames.net/
Crayola Crayons - Create A World,Sega Pico,US English,5.00 (1 votes),6.38 kB,https://www.romsgames.net/sega-pico-rom-crayola-crayons---create-a-world/,https://www.romsgames.net/
Tails No Mundo Da Musica (Brazil),Sega Pico,US English,5.00 (1 votes),7.09 kB,https://www.romsgames.net/sega-pico-rom-tails-no-mundo-da-musica-brazil/,https://www.romsgames.net/
Soreike! Anpanman No Game De Asobou Anpanman,Sega Pico,US English,5.00 (1 votes),399 kB,https://www.romsgames.net/sega-pico-rom-soreike-anpanman-no-game-de-asobou-anpanman/,https://www.romsgames.net/
Peter Pan - Neverland E Ikou!,Sega Pico,US English,5.00 (1 votes),755 kB,https://www.romsgames.net/sega-pico-rom-peter-pan---neverland-e-ikou/,https://www.romsgames.net/
6000-nin No Sensei-tachi Ga Tsukutta Tanoshii Shougakkou Tanken 1,Sega Pico,Japan Japanese,5.00 (1 votes),6.52 kB,https://www.romsgames.net/sega-pico-rom-6000-nin-no-sensei-tachi-ga-tsukutta-tanoshii-shougakkou-tanken-1/,https://www.romsgames.net/
Kiteretsu Daihyakka - Edo Ni Itte Kiteretsusai-sama Ni Au Nari,Sega Pico,US English,5.00 (1 votes),422 kB,https://www.romsgames.net/sega-pico-rom-kiteretsu-daihyakka---edo-ni-itte-kiteretsusai-sama-ni-au-nari/,https://www.romsgames.net/
The Cloud Is Wizard (Korea) (Samsung Pico),Sega Pico,US English,5.00 (1 votes),5.66 kB,https://www.romsgames.net/sega-pico-rom-the-cloud-is-wizard-korea-samsung-pico/,https://www.romsgames.net/
Mickey No Yukai Na Bouken,Sega Pico,US English,5.00 (1 votes),300 kB,https://www.romsgames.net/sega-pico-rom-mickey-no-yukai-na-bouken/,https://www.romsgames.net/
Pico Soccer - Mezase Soccer Senshu,Sega Pico,US English,5.00 (1 votes),295 kB,https://www.romsgames.net/sega-pico-rom-pico-soccer---mezase-soccer-senshu/,https://www.romsgames.net/
"Shichida Makoto Kanshuu - Unou Image Training - Hiragana, Katakana - Casino De Moja-Vegas Dream!",Sega Pico,US English,5.00 (1 votes),685 kB,https://www.romsgames.net/sega-pico-rom-shichida-makoto-kanshuu---unou-image-training---hiragana-katakana---casino-de-moja-vegas-dream/,https://www.romsgames.net/
Mickey - Fait Un Voyage Eclair Dans Le Passe (France),Sega Pico,US English,5.00 (1 votes),367 kB,https://www.romsgames.net/sega-pico-rom-mickey---fait-un-voyage-eclair-dans-le-passe-france/,https://www.romsgames.net/
Donald No TV Show (Rev 2),Sega Pico,US English,5.00 (1 votes),818 kB,https://www.romsgames.net/sega-pico-rom-donald-no-tv-show-rev-2/,https://www.romsgames.net/
Professeur Pico Et La Machine A Couleurs (France),Sega Pico,US English,5.00 (1 votes),358 kB,https://www.romsgames.net/sega-pico-rom-professeur-pico-et-la-machine-a-couleurs-france/,https://www.romsgames.net/
Adventures In Letterland With Jack &amp; Jill,Sega Pico,US English,5.00 (1 votes),9.38 kB,https://www.romsgames.net/sega-pico-rom-adventures-in-letterland-with-jack-jill/,https://www.romsgames.net/
Tinga-wa Haenggo-eui Toongtang Toongtang Doshi (Korea) (Samsung Pico),Sega Pico,US English,5.00 (1 votes),7.43 kB,https://www.romsgames.net/sega-pico-rom-tinga-wa-haenggo-eui-toongtang-toongtang-doshi-korea-samsung-pico/,https://www.romsgames.net/
Race Ni Deyou Yo! Ken-chan To Pepe Boku No Kuruma De Daibouken,Sega Pico,US English,5.00 (1 votes),533 kB,https://www.romsgames.net/sega-pico-rom-race-ni-deyou-yo-ken-chan-to-pepe-boku-no-kuruma-de-daibouken/,https://www.romsgames.net/
Gakken No Obenkyou Soft - Hiragana (Rev 1),Sega Pico,US English,5.00 (1 votes),438 kB,https://www.romsgames.net/sega-pico-rom-gakken-no-obenkyou-soft---hiragana-rev-1/,https://www.romsgames.net/
Ultraman Kids - Tobidase! Space Picnic,Sega Pico,Japan Japanese,5.00 (1 votes),8.20 kB,https://www.romsgames.net/sega-pico-rom-ultraman-kids---tobidase-space-picnic/,https://www.romsgames.net/
Tails Und Der Musikant (Germany),Sega Pico,US English,5.00 (1 votes),260 kB,https://www.romsgames.net/sega-pico-rom-tails-und-der-musikant-germany/,https://www.romsgames.net/
3-choume No Tama - Momo-chan Wa Doko! (Rev 1),Sega Pico,Japan Japanese,5.00 (1 votes),8.83 kB,https://www.romsgames.net/sega-pico-rom-3-choume-no-tama---momo-chan-wa-doko-rev-1/,https://www.romsgames.net/
B-Robo Kabutack,Sega Pico,US English,5.00 (1 votes),384 kB,https://www.romsgames.net/sega-pico-rom-b-robo-kabutack/,https://www.romsgames.net/
Richard Scarry's La Giornata Indaffaratissima Di Sandrino E Zigo-Zago (Italy),Sega Pico,US English,5.00 (1 votes),632 kB,https://www.romsgames.net/sega-pico-rom-richard-scarrys-la-giornata-indaffaratissima-di-sandrino-e-zigo-zago-italy/,https://www.romsgames.net/
Copera No Time Machine (Mixt Book Player - Copera),Sega Pico,US English,5.00 (1 votes),5.66 kB,https://www.romsgames.net/sega-pico-rom-copera-no-time-machine-mixt-book-player---copera/,https://www.romsgames.net/
Gakken No Obenkyou Soft - Tashizan Hikizan,Sega Pico,US English,5.00 (1 votes),8.65 kB,https://www.romsgames.net/sega-pico-rom-gakken-no-obenkyou-soft---tashizan-hikizan/,https://www.romsgames.net/
Ai To Yume No Kuni Sanrio Puroland - Chanto Dekiru Kana Minna To Tanoshii Oyuugikai,Sega Pico,US English,5.00 (1 votes),674 kB,https://www.romsgames.net/sega-pico-rom-ai-to-yume-no-kuni-sanrio-puroland---chanto-dekiru-kana-minna-to-tanoshii-oyuugikai/,https://www.romsgames.net/
Ein Jahr In Winnie Puuhs Leben (Germany),Sega Pico,US English,5.00 (1 votes),320 kB,https://www.romsgames.net/sega-pico-rom-ein-jahr-in-winnie-puuhs-leben-germany/,https://www.romsgames.net/
"Giorno Di Scuola Degli Orsi Berenstain, Un (Italy)",Sega Pico,US English,5.00 (1 votes),561 kB,https://www.romsgames.net/sega-pico-rom-giorno-di-scuola-degli-orsi-berenstain-un-italy/,https://www.romsgames.net/
"Ikunoujuku Sanou Kaihatsu Series 3 - Hikaku, Bunrui",Sega Pico,US English,5.00 (1 votes),226 kB,https://www.romsgames.net/sega-pico-rom-ikunoujuku-sanou-kaihatsu-series-3---hikaku-bunrui/,https://www.romsgames.net/
Soreike! Anpanman - Anpanman To Denwa De Asobou!,Sega Pico,US English,5.00 (1 votes),1.75 MB,https://www.romsgames.net/sega-pico-rom-soreike-anpanman---anpanman-to-denwa-de-asobou/,https://www.romsgames.net/
Soreike! Anpanman - Anpanman To Tanoshii Drive!,Sega Pico,US English,5.00 (1 votes),647 kB,https://www.romsgames.net/sega-pico-rom-soreike-anpanman---anpanman-to-tanoshii-drive/,https://www.romsgames.net/
Cooking Pico (Korea) (Samsung Pico),Sega Pico,US English,5.00 (1 votes),8.97 kB,https://www.romsgames.net/sega-pico-rom-cooking-pico-korea-samsung-pico/,https://www.romsgames.net/
Gakken Pico De Kagaku 1 Hakken Mushi No Himitsu,Sega Pico,US English,5.00 (1 votes),1.50 MB,https://www.romsgames.net/sega-pico-rom-gakken-pico-de-kagaku-1-hakken-mushi-no-himitsu/,https://www.romsgames.net/
Kuma No Pooh-san - Christopher Robin Wo Sagase!,Sega Pico,US English,5.00 (1 votes),842 kB,https://www.romsgames.net/sega-pico-rom-kuma-no-pooh-san---christopher-robin-wo-sagase/,https://www.romsgames.net/
Tails Et Le Faiseur De Musique (France),Sega Pico,US English,5.00 (1 votes),264 kB,https://www.romsgames.net/sega-pico-rom-tails-et-le-faiseur-de-musique-france/,https://www.romsgames.net/
Gakken No O-Benkyou Soft Kazu-Suuji,Sega Pico,US English,5.00 (1 votes),816 kB,https://www.romsgames.net/sega-pico-rom-gakken-no-o-benkyou-soft-kazu-suuji/,https://www.romsgames.net/
Game Wo Shinagara Oboe You! Kantan Wakuwaku Keyboard,Sega Pico,US English,5.00 (1 votes),604 kB,https://www.romsgames.net/sega-pico-rom-game-wo-shinagara-oboe-you-kantan-wakuwaku-keyboard/,https://www.romsgames.net/
Pooh-san No Ichinichi (Rev 1),Sega Pico,US English,5.00 (1 votes),393 kB,https://www.romsgames.net/sega-pico-rom-pooh-san-no-ichinichi-rev-1/,https://www.romsgames.net/
Shimajiro To Yume No Kuni E Daibouken!,Sega Pico,US English,5.00 (1 votes),3.43 MB,https://www.romsgames.net/sega-pico-rom-shimajiro-to-yume-no-kuni-e-daibouken/,https://www.romsgames.net/
Professor Pico Und Das Malkasten Puzzle (Germany),Sega Pico,US English,5.00 (1 votes),355 kB,https://www.romsgames.net/sega-pico-rom-professor-pico-und-das-malkasten-puzzle-germany/,https://www.romsgames.net/
101-piki Wan-chan - Wan-chan Daikoushin!,Sega Pico,US English,5.00 (1 votes),678 kB,https://www.romsgames.net/sega-pico-rom-101-piki-wan-chan---wan-chan-daikoushin/,https://www.romsgames.net/
