name,console,region,rating,size,link,site
Sonic R (Europe),Sega Saturn,US English,4.07 (112 votes),8.48 kB,https://www.romsgames.net/sega-saturn-rom-sonic-r-europe/,https://www.romsgames.net/
Sonic Jam,Sega Saturn,US English,4.23 (99 votes),441 MB,https://www.romsgames.net/sega-saturn-rom-sonic-jam/,https://www.romsgames.net/
Sega Rally Championship,Sega Saturn,US English,3.91 (22 votes),390 MB,https://www.romsgames.net/sega-saturn-rom-sega-rally-championship/,https://www.romsgames.net/
Sonic 3D Blast,Sega Saturn,US English,3.91 (32 votes),566 MB,https://www.romsgames.net/sega-saturn-rom-sonic-3d-blast/,https://www.romsgames.net/
Resident Evil,Sega Saturn,US English,4.35 (43 votes),401 MB,https://www.romsgames.net/sega-saturn-rom-resident-evil/,https://www.romsgames.net/
Marvel Super Heroes,Sega Saturn,US English,3.65 (20 votes),466 MB,https://www.romsgames.net/sega-saturn-rom-marvel-super-heroes/,https://www.romsgames.net/
Saturn Bomberman,Sega Saturn,US English,4.06 (18 votes),466 MB,https://www.romsgames.net/sega-saturn-rom-saturn-bomberman/,https://www.romsgames.net/
Golden Axe: The Duel,Sega Saturn,US English,3.63 (8 votes),456 MB,https://www.romsgames.net/sega-saturn-rom-golden-axe-the-duel/,https://www.romsgames.net/
"House of the Dead, The",Sega Saturn,US English,4.05 (20 votes),360 MB,https://www.romsgames.net/sega-saturn-rom-house-of-the-dead-the/,https://www.romsgames.net/
Street Fighter Collection,Sega Saturn,US English,4.63 (27 votes),541 MB,https://www.romsgames.net/sega-saturn-rom-street-fighter-collection/,https://www.romsgames.net/
Road &amp; Track Presents: The Need for Speed,Sega Saturn,US English,4.29 (24 votes),548 MB,https://www.romsgames.net/sega-saturn-rom-road-track-presents-the-need-for-speed/,https://www.romsgames.net/
Guardian Heroes,Sega Saturn,US English,4.67 (12 votes),474 MB,https://www.romsgames.net/sega-saturn-rom-guardian-heroes/,https://www.romsgames.net/
Virtua Fighter 2,Sega Saturn,US English,4.08 (12 votes),542 MB,https://www.romsgames.net/sega-saturn-rom-virtua-fighter-2/,https://www.romsgames.net/
Contra: Legacy of War,Sega Saturn,US English,4.33 (6 votes),366 MB,https://www.romsgames.net/sega-saturn-rom-contra-legacy-of-war/,https://www.romsgames.net/
Panzer Dragoon,Sega Saturn,US English,3.67 (6 votes),513 MB,https://www.romsgames.net/sega-saturn-rom-panzer-dragoon/,https://www.romsgames.net/
Shining Force III,Sega Saturn,US English,4.30 (10 votes),122 MB,https://www.romsgames.net/sega-saturn-rom-shining-force-iii/,https://www.romsgames.net/
Virtua Cop 2,Sega Saturn,US English,4.20 (10 votes),280 MB,https://www.romsgames.net/sega-saturn-rom-virtua-cop-2/,https://www.romsgames.net/
Mortal Kombat Trilogy,Sega Saturn,US English,4.07 (15 votes),308 MB,https://www.romsgames.net/sega-saturn-rom-mortal-kombat-trilogy/,https://www.romsgames.net/
Rayman,Sega Saturn,US English,4.20 (10 votes),440 MB,https://www.romsgames.net/sega-saturn-rom-rayman/,https://www.romsgames.net/
Road Rash,Sega Saturn,US English,4.75 (4 votes),453 MB,https://www.romsgames.net/sega-saturn-rom-road-rash/,https://www.romsgames.net/
Die Hard Arcade (Europe),Sega Saturn,Europe,4.00 (4 votes),5.12 kB,https://www.romsgames.net/sega-saturn-rom-die-hard-arcade-europe/,https://www.romsgames.net/
Daytona USA,Sega Saturn,US English,4.80 (5 votes),361 MB,https://www.romsgames.net/sega-saturn-rom-daytona-usa/,https://www.romsgames.net/
Panzer Dragoon Saga,Sega Saturn,US English,5.00 (5 votes),418 MB,https://www.romsgames.net/sega-saturn-rom-panzer-dragoon-saga/,https://www.romsgames.net/
Shinobi Legions,Sega Saturn,US English,4.00 (5 votes),377 MB,https://www.romsgames.net/sega-saturn-rom-shinobi-legions/,https://www.romsgames.net/
Tomb Raider,Sega Saturn,US English,4.00 (4 votes),338 MB,https://www.romsgames.net/sega-saturn-rom-tomb-raider/,https://www.romsgames.net/
Virtua Cop,Sega Saturn,US English,5.00 (6 votes),409 MB,https://www.romsgames.net/sega-saturn-rom-virtua-cop/,https://www.romsgames.net/
Sexy Parodius,Sega Saturn,Japan Japanese,3.92 (13 votes),7.64 kB,https://www.romsgames.net/sega-saturn-rom-sexy-parodius/,https://www.romsgames.net/
Mega Man 8,Sega Saturn,US English,4.11 (9 votes),239 MB,https://www.romsgames.net/sega-saturn-rom-mega-man-8/,https://www.romsgames.net/
Ultimate Mortal Kombat 3,Sega Saturn,US English,4.20 (5 votes),259 MB,https://www.romsgames.net/sega-saturn-rom-ultimate-mortal-kombat-3/,https://www.romsgames.net/
Virtua Fighter Remix,Sega Saturn,US English,3.80 (5 votes),495 MB,https://www.romsgames.net/sega-saturn-rom-virtua-fighter-remix/,https://www.romsgames.net/
NiGHTS Into Dreams... (RE),Sega Saturn,US English,4.60 (5 votes),9.03 kB,https://www.romsgames.net/sega-saturn-rom-nights-into-dreams-re/,https://www.romsgames.net/
X-Men: Children of the Atom,Sega Saturn,US English,4.00 (4 votes),487 MB,https://www.romsgames.net/sega-saturn-rom-x-men-children-of-the-atom/,https://www.romsgames.net/
Christmas NiGHTS into Dreams...,Sega Saturn,US English,4.60 (5 votes),538 MB,https://www.romsgames.net/sega-saturn-rom-christmas-nights-into-dreams/,https://www.romsgames.net/
Panzer Dragoon II Zwei,Sega Saturn,US English,5.00 (2 votes),368 MB,https://www.romsgames.net/sega-saturn-rom-panzer-dragoon-ii-zwei/,https://www.romsgames.net/
Street Fighter Alpha 2,Sega Saturn,US English,5.00 (3 votes),393 MB,https://www.romsgames.net/sega-saturn-rom-street-fighter-alpha-2/,https://www.romsgames.net/
Mr. Bones,Sega Saturn,US English,5.00 (5 votes),430 MB,https://www.romsgames.net/sega-saturn-rom-mr-bones/,https://www.romsgames.net/
Quake,Sega Saturn,US English,4.33 (3 votes),467 MB,https://www.romsgames.net/sega-saturn-rom-quake/,https://www.romsgames.net/
Sonic R,Sega Saturn,US English,4.75 (4 votes),578 MB,https://www.romsgames.net/sega-saturn-rom-sonic-r/,https://www.romsgames.net/
X-Men Vs. Street Fighter (1M),Sega Saturn,Japan Japanese,3.64 (14 votes),5.90 kB,https://www.romsgames.net/sega-saturn-rom-x-men-vs-street-fighter-1m/,https://www.romsgames.net/
Astal,Sega Saturn,US English,5.00 (2 votes),481 MB,https://www.romsgames.net/sega-saturn-rom-astal/,https://www.romsgames.net/
Sega Touring Car Championship,Sega Saturn,US English,3.33 (6 votes),440 MB,https://www.romsgames.net/sega-saturn-rom-sega-touring-car-championship/,https://www.romsgames.net/
Alien Trilogy,Sega Saturn,US English,3.25 (4 votes),347 MB,https://www.romsgames.net/sega-saturn-rom-alien-trilogy/,https://www.romsgames.net/
Clockwork Knight: Pepperouchau's Adventure,Sega Saturn,US English,4.67 (3 votes),162 MB,https://www.romsgames.net/sega-saturn-rom-clockwork-knight-pepperouchaus-adventure/,https://www.romsgames.net/
Street Fighter: The Movie,Sega Saturn,US English,4.80 (5 votes),516 MB,https://www.romsgames.net/sega-saturn-rom-street-fighter-the-movie/,https://www.romsgames.net/
Mega Man X4,Sega Saturn,US English,3.70 (10 votes),396 MB,https://www.romsgames.net/sega-saturn-rom-mega-man-x4/,https://www.romsgames.net/
"Lost World, The: Jurassic Park",Sega Saturn,US English,4.33 (6 votes),429 MB,https://www.romsgames.net/sega-saturn-rom-lost-world-the-jurassic-park/,https://www.romsgames.net/
Albert Odyssey: Legend of Eldean,Sega Saturn,US English,3.57 (7 votes),490 MB,https://www.romsgames.net/sega-saturn-rom-albert-odyssey-legend-of-eldean/,https://www.romsgames.net/
Final Fight Revenge,Sega Saturn,Japan Japanese,3.00 (3 votes),8.81 kB,https://www.romsgames.net/sega-saturn-rom-final-fight-revenge/,https://www.romsgames.net/
Shining the Holy Ark,Sega Saturn,US English,4.75 (4 votes),128 MB,https://www.romsgames.net/sega-saturn-rom-shining-the-holy-ark/,https://www.romsgames.net/
Three Dirty Dwarves,Sega Saturn,US English,4.50 (4 votes),348 MB,https://www.romsgames.net/sega-saturn-rom-three-dirty-dwarves/,https://www.romsgames.net/
Fighters Megamix,Sega Saturn,US English,4.75 (4 votes),505 MB,https://www.romsgames.net/sega-saturn-rom-fighters-megamix/,https://www.romsgames.net/
Croc: Legend of the Gobbos,Sega Saturn,US English,3.38 (8 votes),404 MB,https://www.romsgames.net/sega-saturn-rom-croc-legend-of-the-gobbos/,https://www.romsgames.net/
Magic Knight Rayearth,Sega Saturn,US English,5.00 (0 votes),424 MB,https://www.romsgames.net/sega-saturn-rom-magic-knight-rayearth/,https://www.romsgames.net/
Earthworm Jim 2,Sega Saturn,US English,4.00 (4 votes),327 MB,https://www.romsgames.net/sega-saturn-rom-earthworm-jim-2/,https://www.romsgames.net/
Scud: The Disposable Assassin,Sega Saturn,US English,4.00 (6 votes),328 MB,https://www.romsgames.net/sega-saturn-rom-scud-the-disposable-assassin/,https://www.romsgames.net/
Soviet Strike,Sega Saturn,US English,5.00 (2 votes),518 MB,https://www.romsgames.net/sega-saturn-rom-soviet-strike/,https://www.romsgames.net/
Virtua Fighter,Sega Saturn,US English,4.33 (3 votes),495 MB,https://www.romsgames.net/sega-saturn-rom-virtua-fighter/,https://www.romsgames.net/
Space Jam,Sega Saturn,US English,3.50 (8 votes),177 MB,https://www.romsgames.net/sega-saturn-rom-space-jam/,https://www.romsgames.net/
Metal Slug - Super Vehicle-001,Sega Saturn,Japan Japanese,5.00 (2 votes),8.48 kB,https://www.romsgames.net/sega-saturn-rom-metal-slug---super-vehicle-001/,https://www.romsgames.net/
Mortal Kombat II,Sega Saturn,US English,5.00 (4 votes),13.8 MB,https://www.romsgames.net/sega-saturn-rom-mortal-kombat-ii/,https://www.romsgames.net/
