name,console,region,rating,size,link,site
Super Mario Bros. (19xx)(-)[p],Sharp X68000,US English,5.00 (5 votes),652 kB,https://www.romsgames.net/sharp-x68000-rom-super-mario-bros-19xx-p/,https://www.romsgames.net/
Akumajou Dracula (1993)(Konami)(Disk 1 Of 2),Sharp X68000,US English,5.00 (2 votes),747 kB,https://www.romsgames.net/sharp-x68000-rom-akumajou-dracula-1993konamidisk-1-of-2/,https://www.romsgames.net/
Battle City (19xx)(-)[p],Sharp X68000,US English,1.00 (1 votes),621 kB,https://www.romsgames.net/sharp-x68000-rom-battle-city-19xx-p/,https://www.romsgames.net/
Space Harrier (1987)(Dempa)[a2],Sharp X68000,US English,5.00 (1 votes),273 kB,https://www.romsgames.net/sharp-x68000-rom-space-harrier-1987dempaa2/,https://www.romsgames.net/
Final Fight (1992)(Capcom)(Disk 1 Of 2),Sharp X68000,US English,5.00 (1 votes),530 kB,https://www.romsgames.net/sharp-x68000-rom-final-fight-1992capcomdisk-1-of-2/,https://www.romsgames.net/
177 (1986)(Macadamia),Sharp X68000,US English,5.00 (1 votes),274 kB,https://www.romsgames.net/sharp-x68000-rom-177-1986macadamia/,https://www.romsgames.net/
Bomber Man (1990)(System Soft),Sharp X68000,US English,5.00 (1 votes),398 kB,https://www.romsgames.net/sharp-x68000-rom-bomber-man-1990system-soft/,https://www.romsgames.net/
Strip Fighter II (1993)(Nankoku Byouyou)[a],Sharp X68000,US English,5.00 (1 votes),817 kB,https://www.romsgames.net/sharp-x68000-rom-strip-fighter-ii-1993nankoku-byouyoua/,https://www.romsgames.net/
Salamander (1988)(Sharp - SPS)[a],Sharp X68000,US English,5.00 (1 votes),456 kB,https://www.romsgames.net/sharp-x68000-rom-salamander-1988sharp---spsa/,https://www.romsgames.net/
Detana! Twin Bee (1991)(Konami)(Disk 1 Of 2)(Disk A)[a2],Sharp X68000,US English,5.00 (1 votes),489 kB,https://www.romsgames.net/sharp-x68000-rom-detana-twin-bee-1991konamidisk-1-of-2disk-aa2/,https://www.romsgames.net/
Street Fighter II Champion Edition (1993)(SPS)(Disk 1 Of 4)(System),Sharp X68000,US English,4.00 (1 votes),549 kB,https://www.romsgames.net/sharp-x68000-rom-street-fighter-ii-champion-edition-1993spsdisk-1-of-4system/,https://www.romsgames.net/
Tetris (1988)(BPS)[a2],Sharp X68000,US English,5.00 (1 votes),628 kB,https://www.romsgames.net/sharp-x68000-rom-tetris-1988bpsa2/,https://www.romsgames.net/
Gradius II Gofer No Yabou (1992)(Konami)(Disk 1 Of 2)(Disk A)[a],Sharp X68000,US English,1.00 (1 votes),701 kB,https://www.romsgames.net/sharp-x68000-rom-gradius-ii-gofer-no-yabou-1992konamidisk-1-of-2disk-aa/,https://www.romsgames.net/
Pac-Man (19xx)(-)[p][a],Sharp X68000,US English,5.00 (1 votes),68.3 kB,https://www.romsgames.net/sharp-x68000-rom-pac-man-19xx-pa/,https://www.romsgames.net/
Super Hang-On (1989)(Sharp - SPS)(Disk 1 Of 2)(Disk A)[a3],Sharp X68000,US English,5.00 (1 votes),352 kB,https://www.romsgames.net/sharp-x68000-rom-super-hang-on-1989sharp---spsdisk-1-of-2disk-aa3/,https://www.romsgames.net/
Missle Command (1992)(YOH),Sharp X68000,US English,5.00 (1 votes),277 kB,https://www.romsgames.net/sharp-x68000-rom-missle-command-1992yoh/,https://www.romsgames.net/
Strider Hiryuu (1992)(Capcom)(Disk 1 Of 3)(System)[a],Sharp X68000,US English,5.00 (1 votes),990 kB,https://www.romsgames.net/sharp-x68000-rom-strider-hiryuu-1992capcomdisk-1-of-3systema/,https://www.romsgames.net/
Dragon Quest 4 (19xx)(-)[p],Sharp X68000,US English,5.00 (1 votes),782 kB,https://www.romsgames.net/sharp-x68000-rom-dragon-quest-4-19xx-p/,https://www.romsgames.net/
Xevious (1987)(Dempa)[a2],Sharp X68000,US English,5.00 (1 votes),163 kB,https://www.romsgames.net/sharp-x68000-rom-xevious-1987dempaa2/,https://www.romsgames.net/
Cotton Fantastic Night Dreams (1993)(Victor)(Disk 1 Of 2)[a2],Sharp X68000,US English,5.00 (1 votes),853 kB,https://www.romsgames.net/sharp-x68000-rom-cotton-fantastic-night-dreams-1993victordisk-1-of-2a2/,https://www.romsgames.net/
Pinball (19xx)(-)[p],Sharp X68000,US English,5.00 (1 votes),626 kB,https://www.romsgames.net/sharp-x68000-rom-pinball-19xx-p/,https://www.romsgames.net/
Formula X (1992)(-)[a],Sharp X68000,US English,5.00 (1 votes),852 kB,https://www.romsgames.net/sharp-x68000-rom-formula-x-1992-a/,https://www.romsgames.net/
Bishoujo Senshi Sailormoon Kessen Dark Kingdom (1993)(Black HCS)(Disk 1 Of 2),Sharp X68000,US English,5.00 (1 votes),762 kB,https://www.romsgames.net/sharp-x68000-rom-bishoujo-senshi-sailormoon-kessen-dark-kingdom-1993black-hcsdisk-1-of-2/,https://www.romsgames.net/
Star Wars Attack On The Death Star (1991)(MNM Software)(Disk 1 Of 2)(Disk A)[a3],Sharp X68000,US English,5.00 (1 votes),702 kB,https://www.romsgames.net/sharp-x68000-rom-star-wars-attack-on-the-death-star-1991mnm-softwaredisk-1-of-2disk-aa3/,https://www.romsgames.net/
"Tower Of Druaga, The (1989)(R.G.B.)[a2]",Sharp X68000,US English,5.00 (1 votes),332 kB,https://www.romsgames.net/sharp-x68000-rom-tower-of-druaga-the-1989rgba2/,https://www.romsgames.net/
