name,console,region,rating,size,link,site
Pacman (19xx)(-),Sinclair ZX81,US English,3.50 (2 votes),2.40 kB,https://www.romsgames.net/sinclair-zx81-rom-pacman-19xx-/,https://www.romsgames.net/
Tekenen (19xx)(-),Sinclair ZX81,US English,3.50 (2 votes),2.11 kB,https://www.romsgames.net/sinclair-zx81-rom-tekenen-19xx-/,https://www.romsgames.net/
3D Monster Maze (19xx)(J.K. Greye Software),Sinclair ZX81,US English,5.00 (1 votes),5.64 kB,https://www.romsgames.net/sinclair-zx81-rom-3d-monster-maze-19xxjk-greye-software/,https://www.romsgames.net/
Oregon Trail (1982)(Marion Stubbs),Sinclair ZX81,US English,5.00 (1 votes),6.57 kB,https://www.romsgames.net/sinclair-zx81-rom-oregon-trail-1982marion-stubbs/,https://www.romsgames.net/
Asteroids (19xx)(-)[a3],Sinclair ZX81,US English,5.00 (1 votes),1.23 kB,https://www.romsgames.net/sinclair-zx81-rom-asteroids-19xx-a3/,https://www.romsgames.net/
Frogger (1981)(Cornsoft),Sinclair ZX81,US English,5.00 (1 votes),5.27 kB,https://www.romsgames.net/sinclair-zx81-rom-frogger-1981cornsoft/,https://www.romsgames.net/
Return Of The Galaxians (19xx)(-),Sinclair ZX81,US English,5.00 (1 votes),1.96 kB,https://www.romsgames.net/sinclair-zx81-rom-return-of-the-galaxians-19xx-/,https://www.romsgames.net/
Bomber (19xx)(-),Sinclair ZX81,US English,5.00 (1 votes),1.49 kB,https://www.romsgames.net/sinclair-zx81-rom-bomber-19xx-/,https://www.romsgames.net/
Street Fighter (1983)(H. Dursch)(de),Sinclair ZX81,US English,5.00 (1 votes),1.22 kB,https://www.romsgames.net/sinclair-zx81-rom-street-fighter-1983h-durschde/,https://www.romsgames.net/
Digger (19xx)(-)[a][16K],Sinclair ZX81,US English,5.00 (1 votes),2.74 kB,https://www.romsgames.net/sinclair-zx81-rom-digger-19xx-a16k/,https://www.romsgames.net/
