name,console,region,rating,size,link,site
Super Mario World,Super Nintendo,US English,"4.09 (2,557 votes)",347 kB,https://www.romsgames.net/super-nintendo-rom-super-mario-world/,https://www.romsgames.net/
Donkey Kong Country (V1.2),Super Nintendo,US English,"3.98 (2,815 votes)",2.56 MB,https://www.romsgames.net/super-nintendo-rom-donkey-kong-country-v12/,https://www.romsgames.net/
Super Mario All-Stars + Super Mario World,Super Nintendo,US English,"3.97 (1,798 votes)",1.30 MB,https://www.romsgames.net/super-nintendo-rom-super-mario-all-stars-super-mario-world/,https://www.romsgames.net/
Ultimate Mortal Kombat 3,Super Nintendo,US English,"4.08 (2,124 votes)",3.40 MB,https://www.romsgames.net/super-nintendo-rom-ultimate-mortal-kombat-3/,https://www.romsgames.net/
Super Mario Kart,Super Nintendo,US English,"3.93 (1,169 votes)",342 kB,https://www.romsgames.net/super-nintendo-rom-super-mario-kart/,https://www.romsgames.net/
Super Bomberman 5 Gold Cartridge,Super Nintendo,US English,"3.98 (1,071 votes)",1.18 MB,https://www.romsgames.net/super-nintendo-rom-super-bomberman-5-gold-cartridge/,https://www.romsgames.net/
"Legend of Zelda, The: A Link to the Past",Super Nintendo,US English,3.99 (817 votes),685 kB,https://www.romsgames.net/super-nintendo-rom-legend-of-zelda-the-a-link-to-the-past/,https://www.romsgames.net/
Super Mario World 2 - Yoshi's Island  (V1.1),Super Nintendo,US English,3.97 (860 votes),1.29 MB,https://www.romsgames.net/super-nintendo-rom-super-mario-world-2---yoshis-island-v11/,https://www.romsgames.net/
Street Fighter II Turbo (V1.0),Super Nintendo,US English,3.91 (902 votes),1.67 MB,https://www.romsgames.net/super-nintendo-rom-street-fighter-ii-turbo-v10/,https://www.romsgames.net/
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Super Nintendo,US English,3.99 (601 votes),3.15 MB,https://www.romsgames.net/super-nintendo-rom-donkey-kong-country-3-dixie-kongs-double-trouble/,https://www.romsgames.net/
Top Gear,Super Nintendo,US English,4.07 (770 votes),303 kB,https://www.romsgames.net/super-nintendo-rom-top-gear/,https://www.romsgames.net/
