name,console,region,rating,size,link,site
BIOS,Tangerine Oric,US English,3.00 (2 votes),133 kB,https://www.romsgames.net/tangerine-oric-rom-bios/,https://www.romsgames.net/
Tenis (1983),Tangerine Oric,US English,5.00 (1 votes),9.77 kB,https://www.romsgames.net/tangerine-oric-rom-tenis-1983/,https://www.romsgames.net/
Hyper Olympics (1984),Tangerine Oric,US English,5.00 (1 votes),7.71 kB,https://www.romsgames.net/tangerine-oric-rom-hyper-olympics-1984/,https://www.romsgames.net/
Zorgon's Revenge (1983-84),Tangerine Oric,US English,5.00 (1 votes),22.7 kB,https://www.romsgames.net/tangerine-oric-rom-zorgons-revenge-1983-84/,https://www.romsgames.net/
Harrier Attack (1983),Tangerine Oric,US English,5.00 (1 votes),5.75 kB,https://www.romsgames.net/tangerine-oric-rom-harrier-attack-1983/,https://www.romsgames.net/
Xenon 1 (1983),Tangerine Oric,US English,5.00 (1 votes),18.2 kB,https://www.romsgames.net/tangerine-oric-rom-xenon-1-1983/,https://www.romsgames.net/
Pac-Man (19xx),Tangerine Oric,US English,5.00 (1 votes),18.6 kB,https://www.romsgames.net/tangerine-oric-rom-pac-man-19xx/,https://www.romsgames.net/
Marvel Adventure 1 - The Hulk (19xx),Tangerine Oric,US English,5.00 (1 votes),169 kB,https://www.romsgames.net/tangerine-oric-rom-marvel-adventure-1---the-hulk-19xx/,https://www.romsgames.net/
Smash (19xx),Tangerine Oric,US English,5.00 (1 votes),2.45 kB,https://www.romsgames.net/tangerine-oric-rom-smash-19xx/,https://www.romsgames.net/
Lunar Lander (1983),Tangerine Oric,US English,5.00 (1 votes),4.35 kB,https://www.romsgames.net/tangerine-oric-rom-lunar-lander-1983/,https://www.romsgames.net/
"Hobbit, The (1982)",Tangerine Oric,US English,5.00 (1 votes),25.1 kB,https://www.romsgames.net/tangerine-oric-rom-hobbit-the-1982/,https://www.romsgames.net/
Scuba Dive (1984),Tangerine Oric,US English,5.00 (1 votes),14.5 kB,https://www.romsgames.net/tangerine-oric-rom-scuba-dive-1984/,https://www.romsgames.net/
Classic Racing (1984),Tangerine Oric,US English,5.00 (1 votes),13.9 kB,https://www.romsgames.net/tangerine-oric-rom-classic-racing-1984/,https://www.romsgames.net/
Dig Dog (1983),Tangerine Oric,US English,5.00 (1 votes),11.4 kB,https://www.romsgames.net/tangerine-oric-rom-dig-dog-1983/,https://www.romsgames.net/
Delta Force 4 - Space Invaders (1983),Tangerine Oric,US English,5.00 (1 votes),12.8 kB,https://www.romsgames.net/tangerine-oric-rom-delta-force-4---space-invaders-1983/,https://www.romsgames.net/
Galaxians (19xx),Tangerine Oric,US English,5.00 (1 votes),5.09 kB,https://www.romsgames.net/tangerine-oric-rom-galaxians-19xx/,https://www.romsgames.net/
Snowball (19xx),Tangerine Oric,US English,5.00 (1 votes),20.2 kB,https://www.romsgames.net/tangerine-oric-rom-snowball-19xx/,https://www.romsgames.net/
House Of Death (1983),Tangerine Oric,US English,5.00 (1 votes),15.6 kB,https://www.romsgames.net/tangerine-oric-rom-house-of-death-1983/,https://www.romsgames.net/
Zodiac Adventure (1983),Tangerine Oric,US English,5.00 (1 votes),19.6 kB,https://www.romsgames.net/tangerine-oric-rom-zodiac-adventure-1983/,https://www.romsgames.net/
Mr. Wimpy (1984),Tangerine Oric,US English,5.00 (1 votes),17.7 kB,https://www.romsgames.net/tangerine-oric-rom-mr-wimpy-1984/,https://www.romsgames.net/
Parachute (19xx),Tangerine Oric,US English,5.00 (1 votes),1.05 kB,https://www.romsgames.net/tangerine-oric-rom-parachute-19xx/,https://www.romsgames.net/
"Aigle D'Or, Le (1984)",Tangerine Oric,US English,5.00 (1 votes),92.2 kB,https://www.romsgames.net/tangerine-oric-rom-aigle-dor-le-1984/,https://www.romsgames.net/
Airfox (1988),Tangerine Oric,US English,5.00 (1 votes),9.97 kB,https://www.romsgames.net/tangerine-oric-rom-airfox-1988/,https://www.romsgames.net/
Dracula's Revenge (1983),Tangerine Oric,US English,5.00 (1 votes),10.6 kB,https://www.romsgames.net/tangerine-oric-rom-draculas-revenge-1983/,https://www.romsgames.net/
Super Jeep (1984),Tangerine Oric,US English,5.00 (1 votes),18.9 kB,https://www.romsgames.net/tangerine-oric-rom-super-jeep-1984/,https://www.romsgames.net/
Zaxxon (1986),Tangerine Oric,US English,5.00 (1 votes),2.24 kB,https://www.romsgames.net/tangerine-oric-rom-zaxxon-1986/,https://www.romsgames.net/
Night-Fight (1983),Tangerine Oric,US English,5.00 (1 votes),2.49 kB,https://www.romsgames.net/tangerine-oric-rom-night-fight-1983/,https://www.romsgames.net/
Night Rider (19xx),Tangerine Oric,US English,5.00 (1 votes),6.79 kB,https://www.romsgames.net/tangerine-oric-rom-night-rider-19xx/,https://www.romsgames.net/
Parsec (19xx),Tangerine Oric,US English,5.00 (1 votes),6.91 kB,https://www.romsgames.net/tangerine-oric-rom-parsec-19xx/,https://www.romsgames.net/
Rat Splat (1983),Tangerine Oric,US English,5.00 (1 votes),14.3 kB,https://www.romsgames.net/tangerine-oric-rom-rat-splat-1983/,https://www.romsgames.net/
Xenon 3 - The Genesis Probe (1985),Tangerine Oric,US English,5.00 (1 votes),16.7 kB,https://www.romsgames.net/tangerine-oric-rom-xenon-3---the-genesis-probe-1985/,https://www.romsgames.net/
Oric Atmos (1984),Tangerine Oric,US English,4.00 (1 votes),2.54 kB,https://www.romsgames.net/tangerine-oric-rom-oric-atmos-1984/,https://www.romsgames.net/
Oric Basic Plus 1 (1984),Tangerine Oric,US English,4.00 (1 votes),3.24 kB,https://www.romsgames.net/tangerine-oric-rom-oric-basic-plus-1-1984/,https://www.romsgames.net/
Defense Force (19xx),Tangerine Oric,US English,5.00 (1 votes),14.3 kB,https://www.romsgames.net/tangerine-oric-rom-defense-force-19xx/,https://www.romsgames.net/
Digger (1984),Tangerine Oric,US English,5.00 (1 votes),7.49 kB,https://www.romsgames.net/tangerine-oric-rom-digger-1984/,https://www.romsgames.net/
Dinky Kong (19xx),Tangerine Oric,US English,5.00 (1 votes),5.59 kB,https://www.romsgames.net/tangerine-oric-rom-dinky-kong-19xx/,https://www.romsgames.net/
Madacam Bumper (1985),Tangerine Oric,US English,5.00 (1 votes),15.9 kB,https://www.romsgames.net/tangerine-oric-rom-madacam-bumper-1985/,https://www.romsgames.net/
Oric Atmos Demonstration Program (1984),Tangerine Oric,US English,5.00 (1 votes),11.7 kB,https://www.romsgames.net/tangerine-oric-rom-oric-atmos-demonstration-program-1984/,https://www.romsgames.net/
Poopy (1984),Tangerine Oric,US English,5.00 (0 votes),9.33 kB,https://www.romsgames.net/tangerine-oric-rom-poopy-1984/,https://www.romsgames.net/
"Diamant De L' Ile Maudite, Le (1984)",Tangerine Oric,US English,5.00 (1 votes),49.1 kB,https://www.romsgames.net/tangerine-oric-rom-diamant-de-l-ile-maudite-le-1984/,https://www.romsgames.net/
Honey Kong (19xx),Tangerine Oric,US English,5.00 (1 votes),13.0 kB,https://www.romsgames.net/tangerine-oric-rom-honey-kong-19xx/,https://www.romsgames.net/
Miner (1983),Tangerine Oric,US English,5.00 (1 votes),31.6 kB,https://www.romsgames.net/tangerine-oric-rom-miner-1983/,https://www.romsgames.net/
Mission Impossible! (1984),Tangerine Oric,US English,5.00 (1 votes),24.2 kB,https://www.romsgames.net/tangerine-oric-rom-mission-impossible-1984/,https://www.romsgames.net/
Operation Gremlin (1983),Tangerine Oric,US English,5.00 (1 votes),13.3 kB,https://www.romsgames.net/tangerine-oric-rom-operation-gremlin-1983/,https://www.romsgames.net/
Break Out (19xx),Tangerine Oric,US English,5.00 (1 votes),4.18 kB,https://www.romsgames.net/tangerine-oric-rom-break-out-19xx/,https://www.romsgames.net/
