name,console,region,rating,size,link,site
Super Mario Bros,TurboGrafx-16,US English,4.30 (10 votes),35.0 kB,https://www.romsgames.net/turbografx-16-rom-super-mario-bros/,https://www.romsgames.net/
Splatterhouse,TurboGrafx-16,US English,5.00 (1 votes),270 kB,https://www.romsgames.net/turbografx-16-rom-splatterhouse/,https://www.romsgames.net/
Strip Fighter II,TurboGrafx-16,US English,3.38 (8 votes),781 kB,https://www.romsgames.net/turbografx-16-rom-strip-fighter-ii/,https://www.romsgames.net/
Bonk's Adventure,TurboGrafx-16,US English,5.00 (1 votes),228 kB,https://www.romsgames.net/turbografx-16-rom-bonks-adventure/,https://www.romsgames.net/
Bonk's Revenge,TurboGrafx-16,US English,5.00 (1 votes),353 kB,https://www.romsgames.net/turbografx-16-rom-bonks-revenge/,https://www.romsgames.net/
R-Type,TurboGrafx-16,US English,4.00 (1 votes),163 kB,https://www.romsgames.net/turbografx-16-rom-r-type/,https://www.romsgames.net/
Bonk III - Bonk's Big Adventure,TurboGrafx-16,US English,4.50 (2 votes),550 kB,https://www.romsgames.net/turbografx-16-rom-bonk-iii---bonks-big-adventure/,https://www.romsgames.net/
Adventure Island,TurboGrafx-16,US English,5.00 (3 votes),172 kB,https://www.romsgames.net/turbografx-16-rom-adventure-island/,https://www.romsgames.net/
Ninja Spirit,TurboGrafx-16,US English,5.00 (1 votes),259 kB,https://www.romsgames.net/turbografx-16-rom-ninja-spirit/,https://www.romsgames.net/
Street Fighter II' - Champion Edition,TurboGrafx-16,US English,4.67 (3 votes),1.65 MB,https://www.romsgames.net/turbografx-16-rom-street-fighter-ii---champion-edition/,https://www.romsgames.net/
Blazing Lazers,TurboGrafx-16,US English,5.00 (1 votes),209 kB,https://www.romsgames.net/turbografx-16-rom-blazing-lazers/,https://www.romsgames.net/
Devil's Crush,TurboGrafx-16,US English,5.00 (1 votes),204 kB,https://www.romsgames.net/turbografx-16-rom-devils-crush/,https://www.romsgames.net/
Batman,TurboGrafx-16,US English,4.50 (2 votes),270 kB,https://www.romsgames.net/turbografx-16-rom-batman/,https://www.romsgames.net/
Shinobi,TurboGrafx-16,US English,5.00 (1 votes),167 kB,https://www.romsgames.net/turbografx-16-rom-shinobi/,https://www.romsgames.net/
Neutopia,TurboGrafx-16,US English,5.00 (1 votes),247 kB,https://www.romsgames.net/turbografx-16-rom-neutopia/,https://www.romsgames.net/
"Legendary Axe II, The",TurboGrafx-16,US English,4.00 (1 votes),155 kB,https://www.romsgames.net/turbografx-16-rom-legendary-axe-ii-the/,https://www.romsgames.net/
OutRun,TurboGrafx-16,US English,5.00 (1 votes),335 kB,https://www.romsgames.net/turbografx-16-rom-outrun/,https://www.romsgames.net/
Bloody Wolf,TurboGrafx-16,US English,5.00 (1 votes),217 kB,https://www.romsgames.net/turbografx-16-rom-bloody-wolf/,https://www.romsgames.net/
Air Zonk,TurboGrafx-16,US English,5.00 (1 votes),326 kB,https://www.romsgames.net/turbografx-16-rom-air-zonk/,https://www.romsgames.net/
Gradius,TurboGrafx-16,US English,5.00 (1 votes),175 kB,https://www.romsgames.net/turbografx-16-rom-gradius/,https://www.romsgames.net/
Bomberman,TurboGrafx-16,US English,3.00 (2 votes),193 kB,https://www.romsgames.net/turbografx-16-rom-bomberman/,https://www.romsgames.net/
Doraemon - Nobita No Dorabian Night,TurboGrafx-16,US English,4.00 (4 votes),372 kB,https://www.romsgames.net/turbografx-16-rom-doraemon---nobita-no-dorabian-night/,https://www.romsgames.net/
Super Star Soldier,TurboGrafx-16,US English,5.00 (1 votes),284 kB,https://www.romsgames.net/turbografx-16-rom-super-star-soldier/,https://www.romsgames.net/
Lady Sword,TurboGrafx-16,US English,5.00 (1 votes),600 kB,https://www.romsgames.net/turbografx-16-rom-lady-sword/,https://www.romsgames.net/
Keith Courage In Alpha Zones,TurboGrafx-16,US English,5.00 (0 votes),123 kB,https://www.romsgames.net/turbografx-16-rom-keith-courage-in-alpha-zones/,https://www.romsgames.net/
Dungeon Explorer,TurboGrafx-16,US English,5.00 (1 votes),254 kB,https://www.romsgames.net/turbografx-16-rom-dungeon-explorer/,https://www.romsgames.net/
Alien Crush,TurboGrafx-16,US English,5.00 (1 votes),160 kB,https://www.romsgames.net/turbografx-16-rom-alien-crush/,https://www.romsgames.net/
Die Hard,TurboGrafx-16,US English,5.00 (1 votes),201 kB,https://www.romsgames.net/turbografx-16-rom-die-hard/,https://www.romsgames.net/
Cadash,TurboGrafx-16,US English,5.00 (0 votes),258 kB,https://www.romsgames.net/turbografx-16-rom-cadash/,https://www.romsgames.net/
Raiden,TurboGrafx-16,US English,5.00 (1 votes),533 kB,https://www.romsgames.net/turbografx-16-rom-raiden/,https://www.romsgames.net/
Military Madness,TurboGrafx-16,US English,5.00 (1 votes),283 kB,https://www.romsgames.net/turbografx-16-rom-military-madness/,https://www.romsgames.net/
Darkwing Duck,TurboGrafx-16,US English,5.00 (1 votes),375 kB,https://www.romsgames.net/turbografx-16-rom-darkwing-duck/,https://www.romsgames.net/
Vigilante,TurboGrafx-16,US English,5.00 (1 votes),208 kB,https://www.romsgames.net/turbografx-16-rom-vigilante/,https://www.romsgames.net/
City Hunter,TurboGrafx-16,US English,5.00 (1 votes),214 kB,https://www.romsgames.net/turbografx-16-rom-city-hunter/,https://www.romsgames.net/
Jackie Chan,TurboGrafx-16,US English,5.00 (2 votes),293 kB,https://www.romsgames.net/turbografx-16-rom-jackie-chan/,https://www.romsgames.net/
Soldier Blade,TurboGrafx-16,US English,5.00 (1 votes),396 kB,https://www.romsgames.net/turbografx-16-rom-soldier-blade/,https://www.romsgames.net/
After Burner II,TurboGrafx-16,US English,5.00 (1 votes),238 kB,https://www.romsgames.net/turbografx-16-rom-after-burner-ii/,https://www.romsgames.net/
Aero Blasters,TurboGrafx-16,US English,5.00 (1 votes),292 kB,https://www.romsgames.net/turbografx-16-rom-aero-blasters/,https://www.romsgames.net/
