name,console,region,rating,size,link,site
Out Run (1988)(U.S. Gold)[48-128K][SpeedLock 4],ZX Spectrum,US English,3.86 (7 votes),125 kB,https://www.romsgames.net/zx-spectrum-rom-out-run-1988us-gold48-128kspeedlock-4/,https://www.romsgames.net/
Jetpac (1983)(Ultimate Play The Game)[16K],ZX Spectrum,US English,4.00 (9 votes),15.6 kB,https://www.romsgames.net/zx-spectrum-rom-jetpac-1983ultimate-play-the-game16k/,https://www.romsgames.net/
Commando (1985)(Elite Systems)[a],ZX Spectrum,US English,4.38 (8 votes),49.2 kB,https://www.romsgames.net/zx-spectrum-rom-commando-1985elite-systemsa/,https://www.romsgames.net/
Atic Atac (1983)(Ultimate Play The Game),ZX Spectrum,US English,3.75 (4 votes),37.7 kB,https://www.romsgames.net/zx-spectrum-rom-atic-atac-1983ultimate-play-the-game/,https://www.romsgames.net/
Manic Miner (1983)(Bug-Byte Software),ZX Spectrum,US English,4.25 (4 votes),33.7 kB,https://www.romsgames.net/zx-spectrum-rom-manic-miner-1983bug-byte-software/,https://www.romsgames.net/
Donkey Kong (1986)(Ocean),ZX Spectrum,US English,3.50 (2 votes),52 kB,https://www.romsgames.net/zx-spectrum-rom-donkey-kong-1986ocean/,https://www.romsgames.net/
R-Type (1988)(Electric Dreams Software),ZX Spectrum,US English,5.00 (2 votes),140 kB,https://www.romsgames.net/zx-spectrum-rom-r-type-1988electric-dreams-software/,https://www.romsgames.net/
Eddie Edwards' Super Ski (1989)(Erbe Software)[aka Super Ski Challenge],ZX Spectrum,US English,3.43 (7 votes),66.9 kB,https://www.romsgames.net/zx-spectrum-rom-eddie-edwards-super-ski-1989erbe-softwareaka-super-ski-challenge/,https://www.romsgames.net/
Invaders (1982)(Artic Computing)[a2][16K],ZX Spectrum,US English,3.50 (2 votes),14.9 kB,https://www.romsgames.net/zx-spectrum-rom-invaders-1982artic-computinga216k/,https://www.romsgames.net/
Chuckie Egg (1983)(A &amp; F Software),ZX Spectrum,US English,5.00 (1 votes),20.5 kB,https://www.romsgames.net/zx-spectrum-rom-chuckie-egg-1983a-f-software/,https://www.romsgames.net/
Spore (1988)(Bulldog),ZX Spectrum,US English,5.00 (8 votes),31.7 kB,https://www.romsgames.net/zx-spectrum-rom-spore-1988bulldog/,https://www.romsgames.net/
"Hobbit, The V1.2 (1982)(Melbourne House)",ZX Spectrum,US English,2.67 (3 votes),47.2 kB,https://www.romsgames.net/zx-spectrum-rom-hobbit-the-v12-1982melbourne-house/,https://www.romsgames.net/
Bruce Lee (1984)(U.S. Gold),ZX Spectrum,US English,5.00 (1 votes),45.4 kB,https://www.romsgames.net/zx-spectrum-rom-bruce-lee-1984us-gold/,https://www.romsgames.net/
"Tortugas Ninja, Las (1991)(LOKOsoft)(ES)",ZX Spectrum,US English,4.00 (4 votes),26.3 kB,https://www.romsgames.net/zx-spectrum-rom-tortugas-ninja-las-1991lokosoftes/,https://www.romsgames.net/
Jet Set Willy - The Continuing Adventures (1985)(Adam Britton),ZX Spectrum,US English,5.00 (1 votes),32.9 kB,https://www.romsgames.net/zx-spectrum-rom-jet-set-willy---the-continuing-adventures-1985adam-britton/,https://www.romsgames.net/
Eddie Edwards' Super Ski (1989)(Players Premier Software)[aka Super Ski],ZX Spectrum,US English,4.13 (8 votes),67.5 kB,https://www.romsgames.net/zx-spectrum-rom-eddie-edwards-super-ski-1989players-premier-softwareaka-super-ski/,https://www.romsgames.net/
Dizzy II - Treasure Island Dizzy (1988)(Codemasters),ZX Spectrum,US English,5.00 (1 votes),57.7 kB,https://www.romsgames.net/zx-spectrum-rom-dizzy-ii---treasure-island-dizzy-1988codemasters/,https://www.romsgames.net/
Sex Game (19xx)(Softlake - Meastrosoft),ZX Spectrum,US English,3.00 (7 votes),42.6 kB,https://www.romsgames.net/zx-spectrum-rom-sex-game-19xxsoftlake---meastrosoft/,https://www.romsgames.net/
Bomb Jack (1986)(Elite Systems),ZX Spectrum,US English,3.00 (2 votes),44.0 kB,https://www.romsgames.net/zx-spectrum-rom-bomb-jack-1986elite-systems/,https://www.romsgames.net/
Super Robin Hood (1987)(Codemasters),ZX Spectrum,US English,5.00 (1 votes),47.9 kB,https://www.romsgames.net/zx-spectrum-rom-super-robin-hood-1987codemasters/,https://www.romsgames.net/
Ghostbusters (1986)(Rafael Vico Costa)(es),ZX Spectrum,US English,5.00 (1 votes),48.1 kB,https://www.romsgames.net/zx-spectrum-rom-ghostbusters-1986rafael-vico-costaes/,https://www.romsgames.net/
James Bond 007 Action Pack - 007 - The Living Daylights (1990)(Domark),ZX Spectrum,US English,4.50 (2 votes),40.0 kB,https://www.romsgames.net/zx-spectrum-rom-james-bond-007-action-pack---007---the-living-daylights-1990domark/,https://www.romsgames.net/
Ghosts 'n' Goblins (1986)(Elite Systems),ZX Spectrum,US English,5.00 (3 votes),49.5 kB,https://www.romsgames.net/zx-spectrum-rom-ghosts-n-goblins-1986elite-systems/,https://www.romsgames.net/
Knight Lore (1984)(Ultimate Play The Game),ZX Spectrum,US English,5.00 (0 votes),40.0 kB,https://www.romsgames.net/zx-spectrum-rom-knight-lore-1984ultimate-play-the-game/,https://www.romsgames.net/
Lunar Jetman (1983)(Ultimate Play The Game),ZX Spectrum,US English,5.00 (0 votes),39.2 kB,https://www.romsgames.net/zx-spectrum-rom-lunar-jetman-1983ultimate-play-the-game/,https://www.romsgames.net/
Flight Simulator (1983)(Artic Computing),ZX Spectrum,US English,5.00 (1 votes),15.6 kB,https://www.romsgames.net/zx-spectrum-rom-flight-simulator-1983artic-computing/,https://www.romsgames.net/
Skool Daze (1985)(Microsphere),ZX Spectrum,US English,5.00 (1 votes),82.5 kB,https://www.romsgames.net/zx-spectrum-rom-skool-daze-1985microsphere/,https://www.romsgames.net/
Dizzy III - Fantasy World Dizzy (1989)(Codemasters),ZX Spectrum,US English,5.00 (0 votes),64.8 kB,https://www.romsgames.net/zx-spectrum-rom-dizzy-iii---fantasy-world-dizzy-1989codemasters/,https://www.romsgames.net/
Green Beret (1986)(Imagine Software)[a2],ZX Spectrum,US English,5.00 (1 votes),50.4 kB,https://www.romsgames.net/zx-spectrum-rom-green-beret-1986imagine-softwarea2/,https://www.romsgames.net/
Sabre Wulf (1984)(Ultimate Play The Game)[a],ZX Spectrum,US English,5.00 (1 votes),45.8 kB,https://www.romsgames.net/zx-spectrum-rom-sabre-wulf-1984ultimate-play-the-gamea/,https://www.romsgames.net/
Daley Thompson's Decathlon - Day 1 (1984)(Ocean),ZX Spectrum,US English,5.00 (1 votes),50.4 kB,https://www.romsgames.net/zx-spectrum-rom-daley-thompsons-decathlon---day-1-1984ocean/,https://www.romsgames.net/
Renegade II - Target Renegade (1988)(Imagine Software)[a2][48-128K][SpeedLock 7],ZX Spectrum,US English,5.00 (1 votes),117 kB,https://www.romsgames.net/zx-spectrum-rom-renegade-ii---target-renegade-1988imagine-softwarea248-128kspeedlock-7/,https://www.romsgames.net/
Underwurlde (1984)(Ultimate Play The Game),ZX Spectrum,US English,4.50 (2 votes),43.0 kB,https://www.romsgames.net/zx-spectrum-rom-underwurlde-1984ultimate-play-the-game/,https://www.romsgames.net/
Indiana Jones Y La Ultima Cruzada (1989)(Erbe Software)(Side A)[48-128K][aka Indiana Jones And The Last Crusade],ZX Spectrum,US English,5.00 (1 votes),41.8 kB,https://www.romsgames.net/zx-spectrum-rom-indiana-jones-y-la-ultima-cruzada-1989erbe-softwareside-a48-128kaka-indiana-jones-and-the-last-crusade/,https://www.romsgames.net/
Dragon's Lair (1984)(Software Projects)[a2],ZX Spectrum,US English,5.00 (1 votes),155 kB,https://www.romsgames.net/zx-spectrum-rom-dragons-lair-1984software-projectsa2/,https://www.romsgames.net/
River Raid (1984)(Activision),ZX Spectrum,US English,5.00 (1 votes),47.2 kB,https://www.romsgames.net/zx-spectrum-rom-river-raid-1984activision/,https://www.romsgames.net/
Fantasy - An Adult Game (1987)(R'n'H Microtec),ZX Spectrum,US English,4.50 (2 votes),29.3 kB,https://www.romsgames.net/zx-spectrum-rom-fantasy---an-adult-game-1987rnh-microtec/,https://www.romsgames.net/
Space Raiders (1982)(Sinclair Research)[a][16K],ZX Spectrum,US English,5.00 (1 votes),15.0 kB,https://www.romsgames.net/zx-spectrum-rom-space-raiders-1982sinclair-researcha16k/,https://www.romsgames.net/
Saga Of A Mad Barbarian (1991)(Psychaedelic Hedgehog Software)[a],ZX Spectrum,US English,5.00 (1 votes),33.6 kB,https://www.romsgames.net/zx-spectrum-rom-saga-of-a-mad-barbarian-1991psychaedelic-hedgehog-softwarea/,https://www.romsgames.net/
Superman - The Man Of Steel (1989)(System 4)(Side B)[re-release],ZX Spectrum,US English,5.00 (0 votes),145 kB,https://www.romsgames.net/zx-spectrum-rom-superman---the-man-of-steel-1989system-4side-bre-release/,https://www.romsgames.net/
Star Wars III - Return Of The Jedi (1989)(The Hit Squad)[48-128K][re-release],ZX Spectrum,US English,4.00 (1 votes),40.7 kB,https://www.romsgames.net/zx-spectrum-rom-star-wars-iii---return-of-the-jedi-1989the-hit-squad48-128kre-release/,https://www.romsgames.net/
Paperboy (1986)(Zafi Chip)[re-release],ZX Spectrum,US English,5.00 (1 votes),51.2 kB,https://www.romsgames.net/zx-spectrum-rom-paperboy-1986zafi-chipre-release/,https://www.romsgames.net/
Mario Bros (1987)(Erbe Software)[a][re-release],ZX Spectrum,US English,5.00 (1 votes),42.5 kB,https://www.romsgames.net/zx-spectrum-rom-mario-bros-1987erbe-softwareare-release/,https://www.romsgames.net/
