Console,Link
Game Boy (GB),https://romsfun.com/roms/game-boy
Game Boy Color,https://romsfun.com/roms/game-boy-color
GameCube,https://romsfun.com/roms/gamecube
GBA,https://romsfun.com/roms/game-boy-advance
NES,https://romsfun.com/roms/nes
Nintendo 3DS,https://romsfun.com/roms/nintendo-3ds
Nintendo 64,https://romsfun.com/roms/nintendo-64
Nintendo DS,https://romsfun.com/roms/nintendo-ds
Nintendo Wii,https://romsfun.com/roms/nintendo-wii
PlayStation (PS),https://romsfun.com/roms/playstation
PS Vita,https://romsfun.com/roms/ps-vita
PS2,https://romsfun.com/roms/playstation-2
PS3,https://romsfun.com/roms/ps3
PS4,https://romsfun.com/roms/playstation-4
PSP,https://romsfun.com/roms/playstation-portable
Sega Dreamcast,https://romsfun.com/roms/dreamcast
Sega Genesis,https://romsfun.com/roms/sega-genesis
Sega Saturn,https://romsfun.com/roms/sega-saturn
SNES,https://romsfun.com/roms/super-nintendo
Wii U,https://romsfun.com/roms/wii-u
XBOX,https://romsfun.com/roms/xbox
Xbox 360,https://romsfun.com/roms/xbox-360
