name,console,genre,region,publisher,views,download,released,rate,site,link
Pokemon Radical Red (Pokemon FireRed Hack),GBA,role-playing,WW,Yuuiii,"30,837","14,489",Unknown,3.7/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-radical-red-pokemon-firered-hack.html
Pokemon Adventure Red Chapter,GBA,adventure,WW,Nintendo,"32,577","11,480",Unkow,3.9/5 (79 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-adventure-red-chapter.html
Pokemon Sword &amp; Shield (Pokemon FireRed Hack),GBA,role-playing,WW,PCL.G,"27,627","11,052",Unknown,3.5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sword-shield-pokemon-firered-gba.html
Pokemon Unbound,GBA,role-playing,WW,Nintendo,"16,930","8,386",Unknown,3.7/5 (25 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-unbound-1.html
Pokemon X &amp; Y GBA (Pokemon Emerald/Fire Red Hack),GBA,role-playing,WW,jovefreak1993,"25,875","8,374",Unknown,4.1/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-x-y-gba-pokemon-emerald-fire-red-hack.html
Pokemon Black &amp; White Advanced,GBA,adventure,WW,Nintendo,"19,159","7,397",Unknown,3.8/5 (32 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-black-white-advanced.html
Pokemon Let’s Go Pikachu &amp; Eevee GBA (Pokemon FireRed Hack),GBA,role-playing,WW,Kevin PokeFan,"17,520","7,104",Unknown,3.9/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-lets-go-pikachu-eevee-gba-pokemon-firered-hack.html
Pokemon Theta Emerald EX (Pokemon Emerald Hack),GBA,role-playing,WW,LCCoolJ95,"17,480","6,962",Unknown,4.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-theta-emerald-ex-pokemon-emerald-hack.html
Pokemon Dark Rising (Pokemon FireRed Hack),GBA,role-playing,WW,DarkRisingGirl,"8,820","6,420",Unknown,3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-dark-rising-pokemon-firered-hack.html
Pokemon Fire Red,GBA,"adventure,role-playing",JP,Nintendo,"10,538","6,184",07/09/2004,3.9/5 (22 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-fire-red.html
Pokemon Hyper Emerald 807 English Patched,GBA,role-playing,WW,Nintendo,"11,534","6,143",Unknown,4.2/5 (29 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-hyper-emerald-807-english-patched.html
Pokemon Emerald,GBA,"adventure,role-playing",EU,Nintendo,"8,086","4,991",05/01/2005,4.3/5 (17 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-emerald.html
Pokemon Omega Ruby,GBA,other,WW,Nintendo,"14,508","4,802",Unknown,3.3/5 (48 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-omega-ruby.html
Super Mario Advance 4: Super Mario Bros. 3,GBA,platformer,EU,Nintendo,"5,058","4,746",None,4/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/super-mario-advance-4-super-mario-bros-3-2.html
Pokemon Ultra Red,GBA,role-playing,WW,Nintendo,"11,806","4,354",Unknown,3.8/5 (60 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-ultra-red.html
The Legend of Zelda: The Minish Cap,GBA,role-playing,EU,Nintendo,"5,310","3,957",2004,3.6/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/the-legend-of-zelda-the-minish-cap.html
Golden Sun,GBA,"action,role-playing",EU,Nintendo,"3,119","3,674",2001,3.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/golden-sun.html
Pokemon Mega,GBA,role-playing,WW,Nintendo,"11,870","3,656",Unkown,4/5 (17 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-mega.html
Pokemon GS Chronicles,GBA,role-playing,WW,Gold Inc.,"14,278","3,547",Unknown,3.8/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-gs-chronicles.html
Mario Kart: Super Circuit,GBA,racing,EU,Nintendo,"3,336","3,519",None,4.4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/mario-kart-super-circuit.html
Pokemon Orange Islands,GBA,other,WW,Nintendo,"14,435","3,423",Unknown,3.7/5 (51 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-orange-islands.html
Pokemon Liquid Crystal (Pokemon FireRed Hack),GBA,role-playing,WW,linkandzelda,"10,244","3,316",Unknown,3.7/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-liquid-crystal-pokemon-firered-hack.html
Kirby Nightmare in Dreamland,GBA,platformer,EU,Nintendo,"3,196","3,221","October 25, 2002",3.8/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/kirby-nightmare-in-dreamland.html
Pokemon Legend’s Red (Pokemon FireRed Hack),GBA,role-playing,WW,RomsPrid.xyz,"6,891","3,173",Unknown,4.3/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-legends-red-pokemon-firered-hack.html
Pokemon Moon Emerald,GBA,other,WW,Nintendo,"7,149","3,155",Unknown,3.3/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-moon-emerald.html
Metroid: Zero Mission,GBA,role-playing,EU,Nintendo,"3,035","3,086",2004,3.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/metroid-zero-mission.html
Super Mario Advance 2 – Super Mario World,GBA,adventure,EU,Nintendo,"3,620","3,080",2002,4.3/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/super-mario-advance-2-super-mario-world.html
Metroid Fusion,GBA,arcade,EU,Nintendo,"3,316","3,070",2002,4/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/metroid-fusion.html
Pokemon Sun Sky and Moon Galaxy (Pokemon FireRed Hack),GBA,role-playing,WW,Ishrak's PokeTips &amp; Gohan's Tips,"6,566","2,971",Unknown,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sun-sky-and-moon-galaxy-pokemon-firered-hack.html
Pokemon Ruby,GBA,"adventure,role-playing",EU,Nintendo,"3,574","2,920",2003,4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-ruby.html
Pokemon Johto League,GBA,puzzle,WW,Nitendo,"9,038","2,892",Unknown,4/5 (34 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-johto-league.html
Pokemon FireRed Rocket Edition,GBA,role-playing,WW,Nintendo,"5,847","2,879",Unknown,3.5/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-firered-rocket-edition.html
Dragon Ball Z Team Training,GBA,role-playing,WW,Nintendo,"6,726","2,873",Unknown,3.8/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/dragon-ball-z-team-training.html
Pokemon Leaf Green,GBA,adventure,EU,Nintendo,"3,697","2,823",09/2004,3.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-leaf-green.html
Fire Emblem,GBA,role-playing,EU,Nintendo,"2,584","2,765",2003,4.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/fire-emblem.html
The Legend Of Zelda – A Link To The Past,GBA,role-playing,EU,Nintendo,"3,119","2,734",2002,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/the-legend-of-zelda-a-link-to-the-past.html
Mario &amp; Luigi – Superstar Saga,GBA,other,EU,Nintendo,"3,007","2,614",2003,3.6/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/mario-luigi-superstar-saga.html
Pokemon Sapphire,GBA,role-playing,EU,Nintendo,"3,078","2,609",2003,4.4/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sapphire.html
Sonic Advance 3,GBA,adventure,EU,THQ Inc.,"2,858","2,529",2004,4.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sonic-advance-3.html
Moemon Devil 3RdX,GBA,role-playing,WW,Nintendo,"5,758","2,485",Unknown,4/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/moemon-devil-3rdx.html
Kirby &amp; the Amazing Mirror,GBA,adventure,EU,Nintendo,"2,839","2,417",2004,4.6/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/kirby-the-amazing-mirror.html
Dragon Ball Z: Advanced Adventure,GBA,"adventure,role-playing",EU,Atari,"2,659","2,376",2005,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/dragon-ball-z-advanced-adventure.html
Pokemon Clover (Pokemon FireRed Hack),GBA,role-playing,WW,4chan's,"6,625","2,328",Unknown,3.8/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-clover-pokemon-firered-hack.html
Sonic Advance,GBA,adventure,EU,SEGA,"2,558","2,304",2002,3.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sonic-advance.html
Castlevania: Aria of Sorrow,GBA,action,EU,Konami,"2,378","2,245",2003,3.9/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/castlevania-aria-of-sorrow.html
Pokemon Flora Sky (Pokemon Emerald Hack),GBA,role-playing,WW,12345,"3,367","2,229",Unknown,3.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-flora-sky-pokemon-emerald-hack.html
Advance Wars,GBA,"racing,strategy",EU,Nintendo,"1,844","2,210",2001,5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/advance-wars.html
Pokemon Pokemon Mega Evolution (Pokemon FireRed Hack),GBA,role-playing,WW,Deepak,"4,533","2,170",Unknown,4.9/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-pokemon-mega-evolution-pokemon-firered-hack.html
Sword of Mana,GBA,role-playing,EU,Nintendo,"2,051","2,157",2003,3.4/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/sword-of-mana.html
