name,console,genre,region,publisher,views,download,released,rate,site,link
Super Mario Bros.,NES,platformer,AU,Nintendo,"8,258","5,988",None,3.5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nes/super-mario-bros.html
Super Mario Bros. 3,NES,platformer,JP,Nintendo,"6,338","4,967",None,3.2/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/nes/super-mario-bros-3-2.html
The Legend of Zelda,NES,"action,adventure",US,Nintendo,"3,048","3,449","February 21, 1986",3.8/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nes/the-legend-of-zelda-2.html
Super Mario Bros. 2,NES,platformer,EU,Nintendo,"5,606","3,336","October 9, 1988",3.6/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nes/super-mario-bros-2.html
Final Fantasy,NES,role-playing,EU,Micro Cabin,"3,391","2,374","December 18, 1987",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nes/final-fantasy-2.html
Pac-Man,NES,other,US,Midway Games,"2,260","2,214",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/pac-man.html
Kirby’s Adventure,NES,platformer,EU,Nintendo,"2,882","1,935",None,3.3/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nes/kirbys-adventure.html
DuckTales,NES,"action,platformer",EU,Capcom,"2,593","1,815",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/ducktales-2.html
Zelda II: The Adventure of Link,NES,"action,platformer",EU,Nintendo,"2,476","1,774","January 14, 1987",5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nes/zelda-ii-the-adventure-of-link.html
Castlevania,NES,"action,platformer",EU,Konami,"2,208","1,751","September 26, 1986",5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nes/castlevania.html
Metroid,NES,"action,adventure",EU,Nintendo,"1,865","1,708",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/metroid.html
Double Dragon,NES,action,EU,Accolade,"2,261","1,695",1987,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/double-dragon-2.html
Mega Man 2,NES,"action,platformer",EU,Capcom,"1,897","1,647","December 24, 1988",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/mega-man-2-2.html
Donkey Kong,NES,platformer,EU,Nintendo,"2,476","1,566",None,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/donkey-kong-2.html
Contra,NES,action,EU,Konami,"2,702","1,529","February 20, 1987",4.2/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/nes/contra.html
Castlevania II: Simon’s Quest,NES,"adventure,platformer",EU,Konami,"2,164","1,526",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/castlevania-ii-simons-quest.html
Punch-Out!!,NES,"fighting,sport",EU,Nintendo,"1,973","1,420",1987,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/punch-out-2.html
Mega Man,NES,"action,platformer",EU,Capcom,"1,477","1,302","December 17, 1987",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/mega-man.html
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,action,EU,Konami,"1,897","1,285",1989,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/teenage-mutant-ninja-turtles-ii-the-arcade-game.html
Tetris,NES,puzzle,EU,Nintendo,"1,954","1,149",None,4.6/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/nes/tetris-4.html
Gremlins 2: The New Batch,NES,platformer,EU,SunSoft,818,"1,104",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/gremlins-2-the-new-batch.html
Castlevania III: Dracula’s Curse,NES,"action,platformer",EU,Konami,"1,574","1,105",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/castlevania-iii-draculas-curse.html
Batman,NES,platformer,EU,SunSoft,"1,456","1,097",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/batman.html
Dr. Mario,NES,puzzle,EU,Nintendo,"1,455","1,053",27 July 1990,4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nes/dr-mario-2.html
Metal Gear,NES,"action,adventure",EU,Konami,"1,361","1,034","July 13, 1987",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/metal-gear.html
Excitebike,NES,racing,EU,Nintendo,"1,617",987,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/excitebike.html
Super Mario Bros./Duck Hunt,NES,"adventure,platformer",EU,Nintendo,"2,035",985,Jan 01 1988,4.5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nes/super-mario-bros-duck-hunt.html
Teenage Mutant Ninja Turtles,NES,"action,platformer",EU,Palcom Software,"1,503",968,None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/teenage-mutant-ninja-turtles-5.html
Super Contra,NES,"action,other",EU,Konami,"1,794",965,"January 8, 1988",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/super-contra.html
Mega Man 3,NES,"action,platformer",US,Capcom,"1,660",948,"September 28, 1990",4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/mega-man-3.html
Ice Climber,NES,platformer,EU,Nintendo,"1,411",945,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/ice-climber.html
Dragon Warrior,NES,role-playing,US,Enix,"2,132",937,"May 27, 1986",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/dragon-warrior.html
Duck Hunt,NES,"other,sport",EU,Nintendo,"1,405",927,None,5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nes/duck-hunt.html
Battletoads,NES,"action,platformer",EU,Tradewest,"1,389",918,June 1991,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/battletoads-2.html
Bubble Bobble,NES,platformer,EU,Romstar,"1,229",917,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/bubble-bobble-2.html
Ninja Gaiden II: The Dark Sword of Chaos,NES,platformer,EU,Tecmo,"1,025",879,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nes/ninja-gaiden-ii-the-dark-sword-of-chaos.html
