name,console,genre,region,publisher,views,download,released,rate,site,link
Pokémon X &amp; Y,Nintendo 3DS,role-playing,Asia,Nintendo,"622,622","469,179"," October 12, 2013",3.7/5 (699 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-x-and-y.html
Pokemon Ultra Sun,Nintendo 3DS,role-playing,WW,Nintendo,"292,248","230,578",None,3.7/5 (503 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-ultra-sun.html
Pokémon Omega Ruby,Nintendo 3DS,role-playing,EU,Nintendo,"311,706","222,702","November 21, 2014",3.7/5 (632 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-omega-ruby-and-alpha-sapphire.html
Pokemon Alpha Sapphire,Nintendo 3DS,role-playing,WW,Nintendo,"184,026","147,923","Nov 21, 2014",3.7/5 (182 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-alpha-sapphire.html
New Super Mario Bros. 2,Nintendo 3DS,platformer,EU,Nintendo,"152,459","130,591","July 28, 2012",3.9/5 (182 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/new-super-mario-bros-2-2.html
Pokémon Sun,Nintendo 3DS,"adventure,role-playing",,Nintendo,"188,030","128,128","Nov 18, 2016",3.7/5 (413 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-sun.html
The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,"action,adventure",EU,Nintendo,"147,105","127,401", 16 June 2011,3.6/5 (193 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/the-legend-of-zelda-ocarina-of-time-3d.html
Super Mario 3D Land,Nintendo 3DS,platformer,WW,Nintendo,"135,420","126,376","November 3, 2011",3.8/5 (150 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/super-mario-3d-land.html
Super Smash Bros,Nintendo 3DS,"fighting,platformer",EU,Nintendo,"139,984","124,724","September 13, 2014",3.9/5 (115 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/super-smash-bros-2.html
Pokémon Ultra Sun and Ultra Moon,Nintendo 3DS,role-playing,EU,Nintendo,"132,832","111,005",None,3.7/5 (225 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-ultra-sun-ultra-moon.html
Mario Kart 7,Nintendo 3DS,racing,Asia,Nintendo,"112,995","107,888","December 1, 2011",3.8/5 (156 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-kart-7.html
Pokémon Moon,Nintendo 3DS,"N,o,n,e",Europe,None,"86,545","65,415",None,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-moon.html
Animal Crossing: New Leaf,Nintendo 3DS,simulator,EU,Nintendo,"76,992","63,792","November 8, 2012",3.8/5 (244 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/animal-crossing-new-leaf.html
Tomodachi Life,Nintendo 3DS,simulator,EU,Nintendo,"59,656","62,416"," April 18, 2013",3.6/5 (216 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/tomodachi-life.html
Super Mario Maker,Nintendo 3DS,"action,platformer",EU,Nintendo,"60,942","58,536","Dec 02, 2016",4/5 (95 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/super-mario-maker.html
The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,"action,adventure",EU,Nintendo,"56,572","52,124","November 22, 2013",3.9/5 (103 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/the-legend-of-zelda-a-link-between-worlds.html
The Legend of Zelda: Majora’s Mask 3D,Nintendo 3DS,"action,adventure",EU,Nintendo,"74,491","48,538","February 13, 2015",3.4/5 (174 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/the-legend-of-zelda-majoras-mask-3d.html
Fire Emblem: Awakening,Nintendo 3DS,role-playing,EU,Nintendo,"55,557","46,285","April 19, 2012",3.7/5 (123 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/fire-emblem-awakening.html
Monster Hunter 4 Ultimate,Nintendo 3DS,"action,role-playing",EU,Capcom,"61,717","45,750",14 September 2013,3.8/5 (131 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/monster-hunter-4-ultimate.html
Metroid: Samus Returns,Nintendo 3DS,"action,adventure",EU,Nintendo,"46,102","43,187",None,3.7/5 (64 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/metroid-samus-returns.html
Yo-Kai Watch,Nintendo 3DS,role-playing,AU,Nintendo,"37,677","38,624","July 11, 2013",4/5 (29 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/yo-kai-watch.html
Monster Hunter Stories,Nintendo 3DS,"action,role-playing",EU,Nintendo,"45,020","37,178",None,3.7/5 (59 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/monster-hunter-stories-1.html
Sonic Generations,Nintendo 3DS,"action,adventure",EU,SEGA,"34,147","36,460","November 1, 2011",3.9/5 (48 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/sonic-generations.html
Miitopia,Nintendo 3DS,role-playing,EU,Nintendo,"41,997","36,181","Jul 27, 2017",3.5/5 (77 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/miitopia.html
Dragon Ball Fusions,Nintendo 3DS,role-playing,EU,Bandai Namco,"41,751","33,353",None,3.8/5 (42 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/dragon-ball-fusions.html
Kirby: Triple Deluxe,Nintendo 3DS,"action,platformer",EU,Nintendo,"31,292","32,880","January 11, 2014",4.1/5 (31 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/kirby-triple-deluxe.html
Pokemon Ultra Moon,Nintendo 3DS,role-playing,WW,Nintendo,"43,421","32,570", 17/11/2017,3.4/5 (408 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-ultra-moon.html
Shin Megami Tensei IV,Nintendo 3DS,role-playing,JP,Atlus,"34,401","31,366",None,3.5/5 (59 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/shin-megami-tensei-iv.html
Pokemon Super Mystery Dungeon,Nintendo 3DS,puzzle,EU,Nintendo,"34,339","30,773"," September 17, 2015",3.9/5 (52 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-super-mystery-dungeon.html
Bravely Default,Nintendo 3DS,role-playing,EU,Nintendo,"36,226","29,751","October 11, 2012",3.8/5 (26 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/bravely-default.html
Lego Marvel’s Avengers,Nintendo 3DS,"action,adventure",DE,Warner Bros. Entertainment,"25,962","28,921","Jan 26, 2016",3.9/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/lego-marvels-avengers.html
Resident Evil: Revelations,Nintendo 3DS,"action,adventure",EU,Capcom,"34,540","28,189","January 26, 2012",4.2/5 (32 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/resident-evil-revelations-2.html
Luigi’s Mansion: Dark Moon,Nintendo 3DS,"action,adventure",US,Nintendo,"36,447","27,326","March 20, 2013",3.9/5 (57 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/luigis-mansion-dark-moon.html
Luigi’s Mansion,Nintendo 3DS,"action,adventure",EU,Nintendo,"27,660","27,189","October 12, 2018",3.8/5 (33 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/luigis-mansion-2.html
Fire Emblem Echoes: Shadows of Valentia,Nintendo 3DS,role-playing,EU,Nintendo,"30,284","26,645","April 20, 2017",3.8/5 (65 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/fire-emblem-echoes-shadows-of-valentia.html
Inazuma Eleven GO: Light &amp; Shadow,Nintendo 3DS,sport,WW,Nintendo,"38,385","26,056",13th Jun 2014 (UK/EU),4.1/5 (93 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/inazuma-eleven-go-light-shadow.html
Yo-Kai Watch 3,Nintendo 3DS,"action,adventure",DE,Nintendo,"25,391","24,622",None,3.8/5 (25 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/yo-kai-watch-3.html
Kirby: Planet Robobot,Nintendo 3DS,"action,platformer",WW,Nintendo,"20,450","23,703","April 28, 2016",4/5 (32 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/kirby-planet-robobot.html
Nintendogs + Cats,Nintendo 3DS,simulator,EU,Nintendo,"14,001","23,667"," February 26, 2011",3.7/5 (69 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/nintendogs-cats.html
Sonic Lost World,Nintendo 3DS,"action,adventure",WW,Nintendo,"20,797","23,623","October 18, 2013",3.7/5 (21 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/sonic-lost-world.html
Dragon Ball Z: Extreme Butoden,Nintendo 3DS,"action,adventure",EU,Bandai Namco,"25,092","23,261",None,4/5 (40 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/dragon-ball-z-extreme-butoden.html
Super Street Fighter IV: 3D Edition,Nintendo 3DS,"action,fighting",EU,Capcom,"20,255","23,193",26 February 2011,3.9/5 (15 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/super-street-fighter-iv-3d-edition.html
Donkey Kong Country Returns 3D,Nintendo 3DS,platformer,EU,Nintendo,"24,132","22,927","May 24, 2013",4/5 (34 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/donkey-kong-country-returns-3d.html
Mario &amp; Luigi: Bowser’s Inside Story + Bowser Jr .’s Journey,Nintendo 3DS,"action,adventure",EU,Nintendo,"21,214","22,863","Jan 11, 2019",3.7/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-luigi-bowsers-inside-story-bowser-jr-s-journey.html
Monster Hunter Generations,Nintendo 3DS,"action,role-playing",EU,Capcom,"25,293","22,412","November 28, 2015",3.6/5 (46 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/monster-hunter-generations-1.html
Mario and Luigi: Dream Team,Nintendo 3DS,role-playing,WW,Nintendo,"19,556","21,781","July 12, 2013",3.8/5 (41 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-and-luigi-dream-team.html
Rune Factory 4,Nintendo 3DS,role-playing,JP,Marvelous AQL,"27,460","21,477","July 19, 2012",3.5/5 (31 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/rune-factory-4.html
Dragon Quest VIII: Journey of the Cursed King,Nintendo 3DS,role-playing,EU,Square Enix,"26,291","20,187",None,3.3/5 (61 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/dragon-quest-viii-journey-of-the-cursed-king.html
One Piece Unlimited World Red,Nintendo 3DS,"action,adventure",EU,Bandai Namco Games,"20,070","19,895",None,3.7/5 (16 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/one-piece-unlimited-world-red.html
Inazuma Eleven GO Chrono Stones: Wildfire,Nintendo 3DS,role-playing,EU,Nintendo,"28,954","19,169",27th Mar 2015 (UK/EU),4/5 (129 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/inazuma-eleven-go-chrono-stones-wildfire.html
Paper Mario: Sticker Star,Nintendo 3DS,role-playing,EU,Nintendo,"20,686","19,090",None,3.7/5 (53 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/paper-mario-sticker-star.html
Story of Seasons,Nintendo 3DS,simulator,EU,XSEED Games,"20,646","18,885",31st Mar 2015,4.1/5 (20 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/story-of-seasons.html
Shovel Knight,Nintendo 3DS,"action,adventure",WW,Yacht Club Games,"17,165","18,798"," Nov 03, 2015",3.5/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/shovel-knight-2.html
Persona Q: Shadow of the Labyrinth,Nintendo 3DS,role-playing,WW,Atlus,"22,584","18,465","June 5, 2014",3.4/5 (73 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/persona-q-shadow-of-the-labyrinth.html
Kingdom Hearts 3D: Dream Drop Distance,Nintendo 3DS,"action,role-playing",EU,Nintendo,"17,828","17,844","March 29, 2012",3.6/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/kingdom-hearts-3d-dream-drop-distance.html
Kid Icarus: Uprising,Nintendo 3DS,other,EU,Nintendo,"18,037","17,774", 22 March 2012,3.5/5 (17 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/kid-icarus-uprising.html
Monster Hunter 3 Ultimate,Nintendo 3DS,"action,role-playing",EU,Capcom,"19,041","16,982","December 10, 2011",3.8/5 (37 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/monster-hunter-3-ultimate-2-1.html
Professor Layton vs Phoenix Wright Ace Attorney,Nintendo 3DS,"adventure,puzzle",EU,Nintendo,"16,404","16,637","November 29, 2012",3.7/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/professor-layton-vs-phoenix-wright-ace-attorney.html
Pokemon Mystery Dungeon: Gates to Infinity,Nintendo 3DS,other,WW,Nintendo,"20,882","16,634",23 November 2012,3.8/5 (41 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-mystery-dungeon-gates-to-infinity.html
Fire Emblem Fates Conquest,Nintendo 3DS,role-playing,EU,Nintendo,"23,717","16,629","June 25, 2015",3.8/5 (95 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/fire-emblem-fates.html
Fantasy Life,Nintendo 3DS,"role-playing,simulator",EU,Nintendo,"19,557","16,533",27 December 2012,3.9/5 (29 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/fantasy-life.html
Yo kai Watch 2: Psychic Specters,Nintendo 3DS,role-playing,AU,Nintendo,"16,070","16,527",None,3.9/5 (21 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/yo-kai-watch-2-psychic-specters.html
Metal Gear Solid Snake Eater 3D,Nintendo 3DS,action,EU,Konami,"17,809","16,503"," February 21, 2012",3.6/5 (53 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/metal-gear-solid-snake-eater-3d.html
Mario &amp; Luigi: Superstar Saga + Bowser’s Minions,Nintendo 3DS,"adventure,role-playing",EU,Nintendo,"14,903","16,366",None,3.8/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-luigi-superstar-saga-bowsers-minions.html
Beyblade Burst God,Nintendo 3DS,action,JP,FuRyu,"29,808","16,067","November 23, 2017",3.9/5 (90 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/beyblade-burst-god.html
Mario Party: Island Tour,Nintendo 3DS,other,EU,Nintendo,"13,702","15,965",None,3.7/5 (27 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-party-island-tour-1.html
Mario Tennis Open,Nintendo 3DS,sport,WW,Nintendo,"12,752","15,612"," May 20, 2012",3.6/5 (9 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-tennis-open.html
Star Fox 64 3D,Nintendo 3DS,other,Asia,Nintendo,"16,300","15,227","July 14, 2011",3.7/5 (26 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/star-fox-64-3d.html
Terraria,Nintendo 3DS,"action,adventure",WW,505 Game,"15,283","15,040","Dec 10, 2015",3.4/5 (25 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/terraria.html
Rayman Origins,Nintendo 3DS,platformer,EU,Ubisoft,"11,935","14,943",15 November 2011,3.9/5 (12 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/rayman-origins-2.html
Hatsune Miku: Project MIRAI DX,Nintendo 3DS,other,EU,SEGA,"13,098","13,925",None,3.5/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/hatsune-miku-project-mirai-dx.html
Pro Evolution Soccer 2013 3D,Nintendo 3DS,sport,US,Konami,"11,751","13,894",None,4.3/5 (17 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pro-evolution-soccer-2013-3d.html
The Legend of Zelda: Tri Force Heroes,Nintendo 3DS,"action,adventure",EU,Nintendo,"14,441","13,743","October 22, 2015",3.5/5 (18 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/the-legend-of-zelda-triforce-heroes.html
Resident Evil: The Mercenaries 3D,Nintendo 3DS,"action,adventure",EU,Capcom,"15,476","13,715","June 2, 2011",3.8/5 (22 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/resident-evil-the-mercenaries-3d.html
Story of Seasons: Trio of Towns,Nintendo 3DS,simulator,EU,XSEED Games,"16,356","13,628",None,3.8/5 (63 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/story-of-seasons-trio-of-towns.html
Lego City Undercover: The Chase Begins,Nintendo 3DS,"action,adventure",WW,Nintendo,"11,088","13,527",21 April 2013,3.5/5 (14 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/lego-city-undercover-the-chase-begins.html
Persona Q2: New Cinema Labyrinth,Nintendo 3DS,"adventure,role-playing",EU,SEGA,"18,859","13,517",None,3.7/5 (58 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/persona-q2-new-cinema-labyrinth.html
FIFA 15 – Legacy Edition,Nintendo 3DS,sport,EU,EA Sports,"11,866","13,503",None,3.6/5 (31 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/fifa-15.html
Tales of the Abyss,Nintendo 3DS,"action,role-playing",EU,Namco Bandai Games,"12,032","13,501","February 14, 2012",3.8/5 (17 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/tales-of-the-abyss-2.html
LEGO Batman 3: Beyond Gotham,Nintendo 3DS,"action,adventure",WW,Warner Bros. Interactive Entertainment,"10,656","13,447","November 11, 2014",3.9/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/lego-batman-3-beyond-gotham.html
Mario Party Star Rush,Nintendo 3DS,other,WW,Nintendo,"8,262","13,348","October 7, 2016",3.6/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/mario-party-star-rush-2.html
Xenoblade Chronicles 3D,Nintendo 3DS,"action,role-playing",WW,Nintendo,"17,698","13,286",None,3.4/5 (50 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/xenoblade-chronicles-3ds.html
Dragon Quest VII: Fragments of the Forgotten Past,Nintendo 3DS,"adventure,role-playing",EU,Nintendo,"17,335","13,271",None,3.7/5 (25 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/dragon-quest-vii-fragments-of-the-forgotten-past.html
Beyblade Burst,Nintendo 3DS,role-playing,JP,FuRyu,"20,026","13,187","November 10, 2016",4/5 (50 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/beyblade-burst.html
Hyrule Warriors: Legends,Nintendo 3DS,"action,adventure",WW,Nintendo,"17,144","13,160","Mar 25, 2016",3.8/5 (23 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/hyrule-warriors-legends.html
Castlevania: Lords of Shadow Mirror of Fate,Nintendo 3DS,"action,adventure",EU,Konami,"13,673","13,045","March 5, 2013",3.7/5 (20 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/castlevania-lords-of-shadow-mirror-of-fate.html
Harvest Moon 3D: A New Beginning,Nintendo 3DS,simulator,EU,Natsume,"14,794","12,998",6th Nov 2012,3.9/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/harvest-moon-a-new-beginning.html
Inazuma Eleven 3: Team Ogre Attacks,Nintendo 3DS,other,EU,Nintendo,"15,307","12,998",None,4.2/5 (37 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/inazuma-eleven-3-team-ogre-attacks.html
WarioWare Gold,Nintendo 3DS,action,EU,Nintendo,"13,107","12,987",None,3.7/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/warioware-gold.html
Detective Pikachu,Nintendo 3DS,adventure,EU,Nintendo,"14,055","12,889",None,4.2/5 (26 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/detective-pikachu.html
Professor Layton and The Miracle Mask,Nintendo 3DS,"adventure,puzzle",WW,Level 5,"12,078","12,801","February 26, 2011",3.6/5 (28 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/professor-layton-and-the-miracle-mask.html
