name,console,genre,region,publisher,views,download,released,rate,site,link
Super Mario 64,Nintendo 64,"action,adventure",EU,Nintendo,"17,551","14,645",1996,3.9/5 (42 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/super-mario-64.html
Mario Kart 64,Nintendo 64,racing,EU,Nintendo,"9,081","9,816",1996,4.1/5 (21 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mario-kart-64.html
Super Smash Bros.,Nintendo 64,"arcade,fighting",EU,Nintendo,"6,982","6,675",1999,4.2/5 (25 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/super-smash-bros.html
Mario Party 2,Nintendo 64,other,EU,Nintendo,"4,238","6,107",1999,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mario-party-2.html
Donkey Kong 64,Nintendo 64,platformer,JP,Nintendo,"5,089","5,085",1999,4.1/5 (20 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/donkey-kong-64.html
Pokemon Stadium,Nintendo 64,strategy,JP,Nintendo,"4,928","4,971",1998,4.2/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/pokemon-stadium.html
Mario Party 3,Nintendo 64,other,JP,Nintendo,"4,274","4,202",2000,4.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mario-party-3.html
Mario Tennis,Nintendo 64,sport,EU,Nintendo,"3,027","4,043",2000,3.5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mario-tennis.html
Conker’s Bad Fur Day,Nintendo 64,"action,adventure",EU,Rare,"3,924","3,966",2001,3.9/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/conkers-bad-fur-day.html
Pokemon Stadium 2,Nintendo 64,strategy,EU,Nintendo,"4,208","3,875",2000,5/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/pokemon-stadium-2.html
Doom 64,Nintendo 64,"action,fps",EU,Midway,"3,376","3,591",1997,5/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/doom-64.html
007 – Golden Eye,Nintendo 64,"action,fps",US,Nintendo,"4,512","3,520",1997,4/5 (17 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/007-golden-eye.html
Diddy Kong Racing,Nintendo 64,racing,JP,Rare,"2,755","3,422",1997,4.8/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/diddy-kong-racing.html
Mortal Kombat Trilogy,Nintendo 64,"arcade,fighting",EU,Midway,"2,729","3,329",1996,4.5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mortal-kombat-trilogy.html
Mortal Kombat 4,Nintendo 64,"arcade,fighting",EU,Midway,"2,992","2,866",1998,4.6/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mortal-kombat-4.html
Yoshi’s Story,Nintendo 64,"action,adventure",EU,Nintendo,"3,553","2,821",1997,4.5/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/yoshis-story.html
Perfect Dark,Nintendo 64,"action,fps",EU,Rare,"2,128","2,817",2000,5/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/perfect-dark.html
Mario Party,Nintendo 64,other,EU,Nintendo,"3,176","2,782",1998,3.4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mario-party.html
Castlevania,Nintendo 64,"adventure,platformer",EU,Konami,"1,905","2,767",1999,2.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/castlevania-2.html
F-ZERO X,Nintendo 64,racing,EU,Nintendo,"2,524","2,612",1998 ,4.5/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/f-zero-x.html
Toy Story 2,Nintendo 64,"action,adventure",EU,Activision,"2,351","2,536",1999,4.2/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/toy-story-2.html
Killer Instinct Gold,Nintendo 64,"arcade,fighting",EU,Nintendo,"2,161","2,293",1996,4.7/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/killer-instinct-gold.html
Zelda No Densetsu – Toki No Ocarina,Nintendo 64,role-playing,JP,Nintendo,"3,234","2,211",1998,3.3/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/zelda-no-densetsu-toki-no-ocarina.html
Bomberman Hero,Nintendo 64,"action,adventure",EU,Nintendo,"2,224","2,210",1998,3.3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/bomberman-hero.html
Hoshi No Kirby 64,Nintendo 64,platformer,JP,Nintendo,"2,346","2,188","March 24, 2000",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/hoshi-no-kirby-64.html
Mario Golf,Nintendo 64,sport,EU,Nintendo,"1,920","1,986",1999,4.2/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/mario-golf.html
Cruis’n USA,Nintendo 64,racing,EU,Nintendo,"1,670","1,964",1996,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/cruisn-usa.html
WWF No Mercy,Nintendo 64,"fighting,sport",EU,THQ,"2,299","1,876",2000,3.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/wwf-no-mercy.html
