name,console,genre,region,publisher,views,download,released,rate,site,link
Pokémon HeartGold &amp; SoulSilver 2010,Nintendo DS,platformer,EU,Nintendo,"30,155","25,290",None,3.7/5 (82 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-heartgold-soulsilver-2010.html
Pokemon Moon Black 2,Nintendo DS,role-playing,WW,Nintendo,"44,481","19,971",Unknown,3.8/5 (102 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-moon-black-2.html
Pokémon Black and White 2,Nintendo DS,role-playing,EU,Nintendo,"22,267","13,740",None,3.6/5 (36 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-black-and-white-2.html
Pokémon Black and White,Nintendo DS,adventure,EU,Nintendo,"18,530","12,249",None,3.6/5 (10 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-black-and-white.html
Pokémon Platinum,Nintendo DS,role-playing,EU,Nintendo,"15,909","11,842",None,3.7/5 (32 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-platinum.html
New Super Mario Bros.,Nintendo DS,adventure,EU,Nintendo,"14,331","11,354",None,4.1/5 (20 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/new-super-mario-bros-2.html
Pokemon Diamond Sun and Moon,Nintendo DS,role-playing,WW,Nintendo,"30,796","11,086",Unknown,3.7/5 (73 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-diamond-sun-and-moon.html
Pokémon Diamond &amp; Pearl,Nintendo DS,"role-playing,simulator",EU,Nintendo,"10,676","9,585",None,4/5 (12 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-diamond-pearl.html
Pokemon Silver Yellow,Nintendo DS,other,WW,Nintendo,"19,699","8,665",Unknown,4/5 (44 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-silver-yellow-1.html
Mario Party DS,Nintendo DS,"action,puzzle",EU,Nintendo,"7,836","8,048",None,3.7/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/mario-party-ds.html
The Legend of Zelda: Spirit Tracks,Nintendo DS,"action,adventure",EU,Nintendo,"7,316","7,411",None,4.3/5 (11 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/the-legend-of-zelda-spirit-tracks.html
Pokemon Fusion Platinum,Nintendo DS,adventure,WW,Nintendo,"11,840","7,162",Unknown,3.6/5 (21 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-fusion-platinum.html
Pokémon Heart Red,Nintendo DS,other,WW,Nintendo,"16,549","6,983",Unknown,3.8/5 (37 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-heart-red.html
Pokemon Sacred Gold,Nintendo DS,role-playing,WW,Nintendo,"19,349","6,482",Unknown,3.7/5 (13 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-sacred-gold.html
